df_hash,22ZHK4.7HTV1R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BHA8
person_label,V76
date_time_start,2025-11-03_13-57-52.524000_+03
date_time_start_unix,1762163872.524
date_time_end,2025-11-03_14-06-10.311000_+03
length_difference_noticed,no

time,quality
15.609,75
16.828,77
17.705,76
18.583,77
19.802,65
20.701,32
21.606,42
22.775,34
23.699,41
24.579,39
25.798,49
26.676,53
27.628,60
28.724,71
29.975,77
30.530,80
31.746,83
32.916,79
33.503,73
34.721,71
35.599,72
36.480,73
37.839,68
38.571,68
39.448,75
40.668,71
41.546,74
42.468,70
43.643,75
44.545,74
45.445,78
46.615,79
47.492,78
48.564,81
49.637,78
50.515,77
51.393,68
52.856,72
53.489,68
54.371,68
55.630,79
56.462,79
57.583,79
58.560,74
59.436,78
60.359,78
61.533,77
62.418,75
63.287,72
64.506,77
65.386,73
66.361,72
67.872,72
68.357,77
69.361,78
70.456,78
71.330,81
72.257,79
73.429,84
74.306,81
75.277,85
76.404,79
77.329,80
78.204,80
79.374,65
80.302,65
81.178,62
82.397,61
83.469,56
84.178,72
85.371,84
86.440,76
87.176,76
88.585,77
89.224,84
90.150,79
91.322,79
92.247,75
93.267,76
94.438,78
95.220,78
96.096,83
97.314,78
98.192,78
99.069,73
100.288,76
101.260,76
102.052,83
103.505,73
104.188,66
105.160,54
106.238,52
107.260,54
108.040,63
109.214,63
110.136,76
111.162,81
112.185,81
113.126,78
113.987,80
115.203,78
116.083,78
117.253,81
118.131,78
119.200,84
119.984,83
121.153,82
122.130,80
122.911,80
124.173,80
125.004,79
126.028,80
127.146,81
128.269,80
128.953,77
130.261,80
130.952,80
132.125,83
133.048,77
133.974,80
135.051,78
136.022,78
136.948,79
137.826,81
138.998,81
139.923,80
140.899,79
142.259,81
142.896,77
143.773,81
144.994,79
145.869,74
146.774,64
148.011,53
148.843,33
149.770,29
150.939,23
151.963,22
152.743,33
153.915,43
154.839,58
155.765,73
157.228,79
157.837,79
158.691,81
160.250,76
160.933,76
161.665,77
162.834,70
163.760,66
164.640,68
165.857,71
166.742,68
167.612,68
168.830,75
169.733,71
170.780,75
171.902,78
172.746,77
173.609,76
174.825,78
175.948,75
176.630,74
178.191,73
178.870,75
179.557,81
181.127,81
181.652,71
182.530,75
183.996,73
184.626,73
185.600,73
186.698,80
187.650,82
188.527,79
189.839,76
190.573,72
191.497,73
192.670,68
193.547,67
194.424,69
195.643,76
196.855,74
197.639,48
198.783,38
199.495,35
200.566,38
201.591,35
202.470,40
203.492,61
204.565,67
205.689,56
206.368,57
207.928,56
208.607,56
209.639,63
210.558,69
211.438,69
212.316,69
213.488,68
214.414,67
215.581,56
216.460,43
217.545,27
218.268,0
219.482,0
220.704,0
221.247,9
222.504,0
223.334,19
224.212,31
225.870,48
226.547,39
227.185,0
228.413,30
229.283,0
230.210,0
231.377,0
232.304,0
233.181,0
234.352,0
235.323,6
236.155,0
237.329,20
238.310,25
239.128,0
240.329,28
241.227,19
242.102,18
243.669,0
244.200,0
245.170,0
246.535,0
247.173,19
248.077,0
249.268,3
250.146,0
251.025,0
252.385,0
253.121,0
254.192,0
255.313,0
256.237,30
256.973,33
258.190,27
259.067,32
259.945,44
261.262,28
262.041,27
262.918,33
264.232,34
265.109,33
265.941,37
267.111,38
267.988,31
269.206,20
270.182,0
270.963,16
271.889,40
273.058,44
273.985,35
274.862,22
276.058,0
276.961,0
277.862,37
279.006,40
279.981,20
280.860,0
282.031,27
282.908,28
284.074,22
285.004,23
286.025,42
286.757,15
287.978,0
288.870,14
289.734,14
291.242,24
291.829,29
292.754,28
293.925,24
294.944,0
295.727,0
296.897,7
297.778,7
298.701,0
299.871,0
300.797,30
301.867,0
302.990,41
303.771,55
304.649,35
305.867,32
306.888,30
307.719,28
308.842,28
309.719,32
310.596,21
311.815,25
312.692,50
313.865,56
314.838,22
315.809,22
316.594,20
317.762,22
318.737,22
319.573,23
320.930,0
321.662,0
322.540,0
323.709,0
324.928,0
325.513,55
326.777,64
327.752,68
328.584,31
329.658,35
330.827,43
331.461,24
332.682,32
333.557,0
334.462,0
335.656,31
336.531,0
337.408,0
338.630,0
339.797,8
340.385,13
341.602,0
342.509,3
343.405,1
344.576,9
345.454,32
346.380,0
347.549,0
348.426,0
349.353,0
350.814,0
351.545,0
352.328,18
353.590,14
354.424,0
355.394,6
356.661,0
357.688,26
358.274,39
359.445,33
360.372,47
361.395,39
362.466,37
363.344,37
364.325,42
365.440,34
366.317,32
367.244,39
368.462,51
369.291,57
370.218,64
371.388,48
372.265,42
373.196,0
374.361,0
375.292,0
376.164,27
377.336,0
378.355,31
379.138,66
380.454,72
381.186,67
382.112,74
383.282,73
384.210,44
385.086,48
386.263,18
387.182,31
388.108,23
389.375,22
390.156,31
391.133,0
392.249,29
393.130,26
394.056,29
395.423,26
396.103,35
397.140,46
398.245,32
399.231,28
399.985,26
401.176,0
402.100,0
402.929,0
404.147,0
405.120,0
406.145,0
407.123,22
408.113,37
408.925,45
410.097,49
410.972,39
411.898,39
413.117,34
413.994,25
414.917,21
416.237,22
416.972,0
417.943,0
419.110,0
419.971,23
420.822,20
422.230,25
422.918,24
423.793,23
425.012,20
425.890,29
426.767,29
427.989,31
428.866,22
429.743,0
