df_hash,22ZHK4.EMHYEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G6QH
person_label,V45
date_time_start,2025-10-27_15-00-12.639000_+03
date_time_start_unix,1761562812.639
date_time_end,2025-10-27_15-08-55.301000_+03
length_difference_noticed,no

time,acc_mag
5.205,1.037
5.235,1.032
5.265,1.029
5.295,1.040
5.325,1.040
5.355,1.026
5.385,1.032
5.415,1.034
5.445,1.031
5.475,1.037
5.505,1.036
5.535,1.031
5.565,1.027
5.595,1.036
5.625,1.031
5.655,1.031
5.685,1.036
5.715,1.033
5.745,1.035
5.775,1.033
5.805,1.027
5.835,1.035
5.865,1.031
5.895,1.043
5.925,1.028
5.955,1.032
5.985,1.033
6.015,1.031
6.045,1.034
6.075,1.031
6.105,1.030
6.135,1.035
6.165,1.034
6.195,1.031
6.225,1.034
6.255,1.033
6.285,1.038
6.315,1.027
6.345,1.037
6.375,1.033
6.405,1.031
6.435,1.044
6.465,1.031
6.495,1.032
6.525,1.028
6.555,1.041
6.585,1.035
6.615,1.032
6.645,1.037
6.675,1.032
6.705,1.024
6.735,1.037
6.765,1.038
6.795,1.029
6.825,1.037
6.855,1.032
6.885,1.035
6.915,1.030
6.945,1.035
6.975,1.035
7.005,1.028
7.035,1.040
7.065,1.029
7.095,1.031
7.125,1.039
7.155,1.035
7.185,1.025
7.215,1.034
7.245,1.038
7.275,1.038
7.305,1.035
7.335,1.032
7.365,1.032
7.395,1.030
7.425,1.033
7.455,1.030
7.485,1.032
7.515,1.032
7.545,1.041
7.575,1.036
7.605,1.030
7.635,1.032
7.665,1.038
7.695,1.033
7.725,1.033
7.755,1.029
7.785,1.037
7.815,1.032
7.845,1.032
7.875,1.037
7.905,1.028
7.935,1.033
7.965,1.037
7.995,1.037
8.025,1.036
8.055,1.028
8.085,1.031
8.115,1.032
8.145,1.031
8.175,1.036
8.205,1.035
8.235,1.028
8.265,1.040
8.295,1.033
8.325,1.030
8.355,1.035
8.385,1.030
8.415,1.032
8.445,1.028
8.475,1.034
8.505,1.035
8.535,1.031
8.565,1.034
8.595,1.030
8.625,1.038
8.655,1.029
8.685,1.032
8.715,1.038
8.745,1.042
8.775,1.031
8.805,1.033
8.835,1.033
8.865,1.035
8.895,1.032
8.925,1.028
8.955,1.031
8.985,1.036
9.015,1.035
9.045,1.039
9.075,1.033
9.105,1.028
9.135,1.035
9.165,1.032
9.195,1.031
9.225,1.033
9.255,1.031
9.285,1.039
9.315,1.028
9.345,1.033
9.375,1.026
9.405,1.038
9.435,1.044
9.465,1.036
9.495,1.024
9.525,1.032
9.555,1.030
9.585,1.032
9.615,1.037
9.645,1.034
9.675,1.030
9.705,1.038
9.735,1.035
9.765,1.034
9.795,1.030
9.825,1.036
9.855,1.032
9.885,1.032
9.915,1.040
9.945,1.032
9.975,1.037
10.005,1.046
10.035,1.026
10.065,1.035
10.095,1.033
10.125,1.042
10.155,1.035
10.185,1.031
10.215,1.034
10.245,1.030
10.275,1.030
10.305,1.035
10.335,1.036
10.365,1.031
10.395,1.039
10.425,1.031
10.455,1.035
10.485,1.035
10.515,1.032
10.545,1.033
10.575,1.033
10.605,1.036
10.635,1.034
10.665,1.035
10.695,1.036
10.725,1.035
10.755,1.035
10.785,1.034
10.815,1.040
10.845,1.037
10.875,1.030
10.905,1.031
10.935,1.021
10.965,1.029
10.995,1.041
11.025,1.037
11.055,1.032
11.085,1.041
11.115,1.036
11.145,1.032
11.175,1.038
11.205,1.031
11.235,1.028
11.265,1.035
11.295,1.034
11.325,1.034
11.355,1.036
11.385,1.036
11.415,1.037
11.445,1.034
11.475,1.035
11.505,1.031
11.535,1.036
11.565,1.040
11.595,1.031
11.625,1.030
11.655,1.037
11.685,1.032
11.715,1.029
11.745,1.034
11.775,1.036
11.805,1.032
11.835,1.039
11.865,1.036
11.895,1.036
11.925,1.038
11.955,1.032
11.985,1.033
12.015,1.037
12.045,1.034
12.075,1.029
12.105,1.035
12.135,1.037
12.165,1.030
12.195,1.040
12.225,1.031
12.255,1.039
12.285,1.034
12.315,1.036
12.345,1.032
12.375,1.033
12.405,1.036
12.435,1.030
12.465,1.030
12.495,1.034
12.525,1.035
12.555,1.035
12.585,1.033
12.615,1.030
12.645,1.036
12.675,1.033
12.705,1.037
12.735,1.030
12.765,1.039
12.795,1.034
12.825,1.029
12.855,1.035
12.885,1.040
12.915,1.033
12.945,1.036
12.975,1.035
13.005,1.035
13.035,1.033
13.065,1.042
13.095,1.034
13.125,1.024
13.155,1.035
13.185,1.037
13.215,1.034
13.245,1.031
13.275,1.037
13.305,1.033
13.335,1.039
13.365,1.041
13.395,1.030
13.425,1.031
13.455,1.037
13.485,1.034
13.515,1.037
13.545,1.030
13.575,1.038
13.605,1.036
13.635,1.031
13.665,1.033
13.695,1.034
13.725,1.031
13.755,1.036
13.785,1.038
13.815,1.033
13.845,1.029
13.875,1.035
13.905,1.035
13.935,1.034
13.965,1.034
13.995,1.042
14.025,1.030
14.055,1.036
14.085,1.039
14.115,1.032
14.145,1.033
14.175,1.039
14.205,1.032
14.235,1.039
14.265,1.039
14.295,1.033
14.325,1.037
14.355,1.036
14.385,1.040
14.415,1.031
14.445,1.033
14.475,1.042
14.505,1.038
14.535,1.032
14.565,1.036
