df_hash,22ZHK4.EMHYEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G6QH
person_label,V45
date_time_start,2025-10-27_15-00-12.639000_+03
date_time_start_unix,1761562812.639
date_time_end,2025-10-27_15-08-55.301000_+03
length_difference_noticed,no

time,quality
16.236,64
17.596,78
18.479,81
19.213,80
20.478,78
21.356,78
22.209,79
23.402,82
24.376,77
25.350,76
26.423,76
27.252,77
28.179,74
29.393,79
30.369,82
31.346,79
32.324,79
33.250,74
34.126,76
35.344,78
36.272,75
37.150,72
38.272,74
39.388,80
40.119,79
41.366,74
42.215,74
43.242,67
44.315,59
45.243,61
46.047,63
47.431,57
48.117,57
49.094,68
50.356,65
51.164,73
52.017,78
53.333,77
54.064,77
55.185,75
56.306,69
57.382,67
57.964,71
59.137,68
60.060,70
60.991,77
62.349,72
63.229,73
63.913,69
65.375,59
66.102,53
66.886,67
68.056,71
68.984,71
70.200,70
71.029,63
71.978,55
72.931,60
74.052,73
74.931,75
75.807,74
77.074,76
77.904,70
78.782,66
80.000,67
80.877,71
81.803,74
82.973,81
84.093,78
84.828,75
86.049,76
86.826,77
87.802,73
88.975,68
89.847,68
90.748,65
91.918,63
92.919,65
93.890,67
95.017,56
95.795,47
96.672,23
97.842,23
98.769,26
99.646,24
100.872,28
101.742,28
102.620,33
103.981,29
105.012,27
105.788,24
106.812,63
107.933,62
108.616,52
109.812,54
110.663,66
111.885,63
112.760,65
113.734,65
114.564,67
115.733,68
116.611,71
117.540,68
118.948,58
119.679,64
120.754,67
121.685,67
122.608,72
123.534,75
124.655,69
125.926,65
126.459,65
127.630,72
128.798,71
129.478,73
130.653,70
131.531,67
132.406,69
133.625,68
134.548,67
135.385,75
136.950,77
137.484,72
138.408,67
139.621,59
140.450,67
141.668,72
142.548,73
143.521,82
144.642,76
145.763,74
146.449,76
147.324,78
148.696,76
149.466,72
150.343,70
151.467,71
152.394,73
153.369,73
154.542,68
155.657,63
156.245,70
157.853,79
158.343,75
159.270,78
160.442,77
161.361,75
162.244,74
163.412,76
164.291,78
165.217,80
166.633,74
167.263,70
168.189,52
169.553,43
170.334,42
171.208,38
172.333,34
173.259,31
174.136,48
175.306,51
176.283,62
177.112,74
178.472,77
179.207,78
180.086,79
181.303,72
182.181,68
183.058,70
184.280,66
185.203,65
186.032,74
187.262,74
188.128,72
189.051,74
190.224,74
191.245,65
192.326,63
193.206,65
194.075,68
195.247,73
196.172,79
197.098,78
198.026,76
199.145,74
200.072,76
200.949,77
202.165,75
203.091,77
204.020,75
205.093,73
206.068,71
206.896,73
208.211,69
209.038,67
210.062,66
211.135,57
211.967,71
212.942,78
214.109,69
214.943,63
215.948,58
217.039,58
217.944,55
218.838,60
220.010,71
220.985,71
221.766,70
223.081,72
223.911,77
224.982,75
225.958,69
226.836,72
227.907,73
228.932,73
229.810,67
230.784,54
231.906,53
232.833,53
233.755,44
235.029,41
235.851,46
236.708,50
237.891,51
238.779,46
239.684,38
240.876,41
241.753,40
242.630,37
243.852,48
244.728,46
245.605,58
246.823,58
248.002,58
248.776,63
249.797,66
250.675,50
251.598,32
252.773,35
253.843,30
254.574,34
255.796,28
256.646,0
257.597,28
258.718,34
259.596,35
260.619,43
261.987,63
262.813,64
263.595,61
264.764,60
265.740,48
266.762,52
267.685,59
268.568,63
269.735,61
270.856,67
271.637,62
272.660,56
273.831,36
274.563,38
275.542,30
276.755,41
277.487,0
278.668,0
279.634,0
280.462,21
281.435,46
282.752,55
283.481,54
284.411,52
285.532,52
286.418,58
287.337,54
288.506,59
289.482,62
290.309,57
291.527,32
292.451,33
293.282,33
294.644,26
295.670,28
296.256,27
297.572,38
298.449,44
299.276,53
300.594,43
301.399,37
302.210,35
303.471,36
304.348,36
305.177,35
306.396,31
307.319,71
308.154,78
309.370,59
310.247,52
311.223,25
312.591,25
313.316,24
314.147,28
315.319,0
316.246,37
317.123,30
318.342,22
319.265,30
320.095,31
321.265,45
322.312,36
323.068,31
324.287,30
325.165,56
326.052,58
327.307,0
328.341,31
329.018,25
330.244,29
331.116,27
332.135,25
333.210,29
334.086,26
335.013,35
336.183,20
337.211,35
338.035,30
339.182,28
340.083,29
341.256,31
342.325,37
343.137,26
344.226,20
345.153,30
346.035,1
346.909,10
348.127,33
349.004,33
349.881,30
351.103,33
352.079,33
352.855,31
354.168,43
354.951,59
355.877,66
357.050,71
358.234,70
358.851,65
360.060,33
360.899,36
361.973,28
363.090,24
363.967,33
364.799,35
366.015,0
366.943,0
367.773,0
369.047,11
369.870,20
371.038,31
371.967,0
372.940,38
374.012,0
374.939,0
375.817,0
376.694,3
377.913,27
378.813,49
379.668,47
380.889,17
381.766,0
382.690,0
384.052,0
385.032,0
385.664,0
386.834,0
387.806,30
388.638,53
389.807,67
390.734,38
391.611,28
392.830,34
393.757,36
394.589,34
395.755,38
396.825,48
397.559,38
398.729,46
399.901,44
400.544,48
401.999,53
402.675,62
403.606,59
404.726,58
405.754,51
406.773,29
407.940,40
408.674,28
409.503,32
410.673,30
411.596,41
412.429,54
413.658,59
414.816,63
415.596,43
416.715,41
417.548,35
418.522,33
419.644,46
420.472,21
421.447,18
422.642,0
423.446,33
424.515,36
425.542,38
426.565,40
427.396,36
428.525,33
429.442,27
430.368,34
