df_hash,22ZHK4.7H06EP
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.REJ0
person_label,V156
date_time_start,2026-06-08_19-48-47.051000_+03
date_time_start_unix,1780930127.051
date_time_end,2026-06-08_19-59-06.457000_+03
length_difference_noticed,no

time,acc_mag
4.356,1.057
4.386,1.034
4.416,1.039
4.446,1.039
4.476,1.043
4.506,1.041
4.536,1.031
4.566,1.026
4.596,1.026
4.626,1.030
4.656,1.028
4.686,1.024
4.716,1.025
4.746,1.027
4.776,1.025
4.806,1.024
4.836,1.026
4.866,1.026
4.896,1.027
4.926,1.040
4.956,1.037
4.986,1.031
5.016,1.021
5.046,1.022
5.076,1.024
5.106,1.022
5.136,1.028
5.166,1.025
5.196,1.028
5.226,1.024
5.256,1.024
5.286,1.031
5.316,1.042
5.346,1.035
5.376,1.031
5.406,1.026
5.436,1.028
5.466,1.028
5.496,1.028
5.526,1.024
5.556,1.018
5.586,1.021
5.616,1.024
5.646,1.038
5.676,1.048
5.706,1.036
5.736,1.034
5.766,1.029
5.796,1.029
5.826,1.030
5.856,1.014
5.886,1.022
5.916,1.024
5.946,1.021
5.976,1.027
6.006,1.038
6.036,1.041
6.066,1.038
6.096,1.035
6.126,1.032
6.156,1.028
6.186,1.023
6.216,1.023
6.246,1.024
6.276,1.018
6.306,1.025
6.336,1.027
6.366,1.041
6.396,1.038
6.426,1.038
6.456,1.029
6.486,1.029
6.516,1.023
6.546,1.025
6.576,1.021
6.606,1.023
6.636,1.027
6.666,1.021
6.696,1.032
6.726,1.042
6.756,1.041
6.786,1.034
6.816,1.028
6.846,1.028
6.876,1.028
6.906,1.028
6.936,1.026
6.966,1.022
6.996,1.018
7.026,1.024
7.056,1.025
7.086,1.038
7.116,1.041
7.146,1.032
7.176,1.035
7.206,1.033
7.236,1.033
7.266,1.025
7.296,1.019
7.326,1.021
7.356,1.025
7.386,1.034
7.416,1.042
7.446,1.031
7.476,1.035
7.506,1.032
7.536,1.026
7.566,1.026
7.596,1.025
7.626,1.025
7.656,1.024
7.686,1.027
7.716,1.027
7.746,1.028
7.776,1.034
7.806,1.039
7.836,1.033
7.866,1.025
7.896,1.022
7.926,1.023
7.956,1.024
7.986,1.022
8.016,1.029
8.046,1.029
8.076,1.030
8.106,1.028
8.136,1.034
8.166,1.035
8.196,1.031
8.226,1.033
8.256,1.025
8.286,1.029
8.316,1.028
8.346,1.022
8.376,1.025
8.406,1.026
8.436,1.025
8.466,1.035
8.496,1.034
8.526,1.029
8.556,1.026
8.586,1.024
8.616,1.029
8.646,1.027
8.676,1.027
8.706,1.022
8.736,1.025
8.766,1.029
8.796,1.034
8.826,1.031
8.856,1.035
8.886,1.035
8.916,1.029
8.946,1.024
8.976,1.025
9.006,1.024
9.036,1.024
9.066,1.029
9.096,1.024
9.126,1.029
9.156,1.032
9.186,1.025
9.216,1.029
9.246,1.031
9.276,1.027
9.306,1.029
9.336,1.029
9.366,1.029
9.396,1.031
9.426,1.026
9.456,1.028
9.486,1.029
9.516,1.029
9.546,1.025
9.576,1.031
9.606,1.031
9.636,1.025
9.666,1.028
9.696,1.031
9.726,1.035
9.756,1.026
9.786,1.023
9.816,1.022
9.846,1.029
9.876,1.031
9.906,1.033
9.936,1.021
9.966,1.031
9.996,1.032
10.026,1.029
10.056,1.028
10.086,1.028
10.116,1.029
10.146,1.029
10.176,1.028
10.206,1.029
10.236,1.028
10.266,1.025
10.296,1.027
10.326,1.029
10.356,1.029
10.386,1.026
10.416,1.026
10.446,1.031
10.476,1.026
10.506,1.032
10.536,1.031
10.566,1.026
10.596,1.024
10.626,1.029
10.656,1.029
10.686,1.025
10.716,1.031
10.746,1.027
10.776,1.032
10.806,1.029
10.836,1.028
10.866,1.029
10.896,1.031
10.926,1.028
10.956,1.031
10.986,1.028
11.016,1.029
11.046,1.027
11.076,1.028
11.106,1.029
11.136,1.031
11.166,1.031
11.196,1.029
11.226,1.028
11.256,1.029
11.286,1.031
11.316,1.028
11.346,1.028
11.376,1.030
11.406,1.034
11.436,1.027
11.466,1.025
11.496,1.028
11.526,1.028
11.556,1.028
11.586,1.033
11.616,1.021
11.646,1.029
11.676,1.032
11.706,1.031
11.736,1.028
11.766,1.025
11.796,1.028
11.826,1.028
11.856,1.029
11.886,1.031
11.916,1.031
11.946,1.029
11.976,1.029
12.006,1.031
12.036,1.031
12.066,1.029
12.096,1.028
12.126,1.029
12.156,1.026
12.186,1.026
12.216,1.025
12.246,1.031
12.276,1.028
12.306,1.032
12.336,1.029
12.366,1.026
12.396,1.028
12.426,1.026
12.456,1.029
12.486,1.025
12.516,1.031
12.546,1.029
12.576,1.034
12.606,1.034
12.636,1.026
12.666,1.028
12.696,1.029
12.726,1.028
12.756,1.032
12.786,1.029
12.816,1.025
12.846,1.032
12.876,1.035
12.906,1.029
12.936,1.028
12.966,1.031
12.996,1.033
13.026,1.026
13.056,1.029
13.086,1.032
13.116,1.029
13.146,1.030
13.176,1.032
13.206,1.032
13.236,1.029
13.266,1.025
13.296,1.025
13.326,1.026
13.356,1.029
13.386,1.040
13.416,1.020
13.446,1.026
13.476,1.035
13.506,1.031
13.536,1.029
13.566,1.026
13.596,1.030
13.626,1.030
13.656,1.028
13.686,1.029
13.716,1.028
