df_hash,22ZHK4.8GUL1J
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KJ8S
person_label,V80
date_time_start,2025-11-03_15-40-52.460000_+03
date_time_start_unix,1762170052.46
date_time_end,2025-11-03_15-49-11.895000_+03
length_difference_noticed,no

time,acc_mag
4.689,0.999
4.719,0.996
4.749,0.999
4.779,1.000
4.809,0.999
4.839,1.000
4.869,1.001
4.899,0.999
4.929,0.999
4.959,0.999
4.989,0.995
5.019,1.001
5.049,1.000
5.079,0.996
5.109,0.997
5.139,0.998
5.169,1.003
5.199,1.001
5.229,0.996
5.259,0.996
5.289,0.997
5.319,0.999
5.349,1.002
5.379,1.001
5.409,0.995
5.439,0.996
5.469,1.000
5.499,1.000
5.529,1.000
5.559,1.000
5.589,0.997
5.619,0.998
5.649,0.998
5.679,1.000
5.709,1.000
5.739,0.998
5.769,0.997
5.799,0.996
5.829,1.000
5.859,1.000
5.889,0.996
5.919,0.996
5.949,1.001
5.979,1.005
6.009,1.003
6.039,0.998
6.069,0.991
6.099,0.997
6.129,0.999
6.159,1.001
6.189,1.007
6.219,0.996
6.249,1.000
6.279,1.004
6.309,1.000
6.339,0.998
6.369,0.994
6.399,1.000
6.429,1.000
6.459,0.996
6.489,0.999
6.519,0.999
6.549,0.998
6.579,1.000
6.609,0.998
6.639,0.996
6.669,0.992
6.699,1.000
6.729,1.006
6.759,1.003
6.789,1.003
6.819,0.996
6.849,0.996
6.879,0.992
6.909,0.996
6.939,1.003
6.969,1.006
6.999,1.000
7.029,0.998
7.059,1.006
7.089,1.000
7.119,0.991
7.149,0.995
7.179,0.999
7.209,1.000
7.239,1.002
7.269,0.999
7.299,0.999
7.329,0.999
7.359,1.002
7.389,0.995
7.419,0.994
7.449,0.998
7.479,0.998
7.509,1.001
7.539,1.003
7.569,1.000
7.599,0.996
7.629,0.999
7.659,0.999
7.689,1.000
7.719,1.006
7.749,1.000
7.779,0.995
7.809,1.003
7.839,1.000
7.869,0.998
7.899,0.999
7.929,1.000
7.959,0.999
7.989,0.999
8.019,1.001
8.049,1.001
8.079,1.000
8.109,0.999
8.139,0.999
8.169,0.996
8.199,0.997
8.229,0.998
8.259,1.000
8.289,1.000
8.319,1.003
8.349,1.000
8.379,0.995
8.409,0.997
8.439,0.998
8.469,1.002
8.499,1.002
8.529,1.002
8.559,0.999
8.589,0.997
8.619,0.999
8.649,0.998
8.679,1.000
8.709,1.002
8.739,1.000
8.769,1.003
8.799,1.000
8.829,0.998
8.859,1.000
8.889,1.000
8.919,0.999
8.949,0.998
8.979,0.999
9.009,1.001
9.039,0.998
9.069,0.998
9.099,1.001
9.129,1.000
9.159,0.995
9.189,0.997
9.219,0.998
9.249,0.999
9.279,1.000
9.309,1.002
9.339,1.001
9.369,0.995
9.399,0.999
9.429,1.001
9.459,0.998
9.489,1.000
9.519,1.000
9.549,1.000
9.579,1.000
9.609,1.000
9.639,0.997
9.669,1.000
9.699,1.001
9.729,0.999
9.759,0.997
9.789,1.000
9.819,0.997
9.849,0.997
9.879,1.000
9.909,1.001
9.939,1.005
9.969,0.999
9.999,0.994
10.029,0.998
10.059,1.000
10.089,1.004
10.119,1.002
10.149,0.998
10.179,0.997
10.209,1.004
10.239,0.997
10.269,0.999
10.299,1.000
10.329,1.001
10.359,0.998
10.389,1.000
10.419,1.001
10.449,1.000
10.479,1.001
10.509,0.996
10.539,0.996
10.569,1.005
10.599,1.003
10.629,0.992
10.659,0.997
10.689,1.001
10.719,1.002
10.749,1.000
10.779,0.995
10.809,0.994
10.839,1.000
10.869,1.000
10.899,1.001
10.929,1.006
10.959,0.997
10.989,0.998
11.019,1.006
11.049,1.000
11.079,0.992
11.109,0.994
11.139,1.000
11.169,1.004
11.199,1.005
11.229,1.001
11.259,0.999
11.289,0.997
11.319,0.998
11.349,0.998
11.379,0.997
11.409,1.000
11.439,1.005
11.469,1.006
11.499,0.998
11.529,0.997
11.559,0.998
11.589,0.999
11.619,1.002
11.649,1.004
11.679,1.004
11.709,0.990
11.739,1.003
11.769,0.996
11.799,0.997
11.829,1.000
11.859,1.001
11.889,1.000
11.919,1.000
11.949,1.000
11.979,1.002
12.009,1.000
12.039,1.001
12.069,0.999
12.099,0.999
12.129,0.997
12.159,0.998
12.189,1.002
12.219,1.005
12.249,1.001
12.279,0.996
12.309,0.999
12.339,1.005
12.369,1.003
12.399,1.002
12.429,1.005
12.459,0.996
12.489,0.997
12.519,1.003
12.549,1.003
12.579,0.997
12.609,1.001
12.639,1.001
12.669,1.001
12.699,0.998
12.729,1.005
12.759,0.999
12.789,1.000
12.819,0.999
12.849,1.003
12.879,1.001
12.909,0.999
12.939,0.999
12.969,1.003
12.999,1.002
13.029,1.002
13.059,0.999
13.089,0.997
13.119,1.001
13.149,0.999
13.179,1.000
13.209,1.005
13.239,1.000
13.269,0.997
13.299,0.998
13.329,1.001
13.359,1.000
13.389,1.000
13.419,1.003
13.449,1.002
13.479,1.000
13.509,1.004
13.539,1.001
13.569,1.003
13.599,1.002
13.629,0.999
13.659,0.998
13.689,0.998
13.719,0.998
13.749,0.996
13.779,1.008
13.809,1.002
13.839,1.002
13.869,0.997
13.899,0.998
13.929,0.999
13.959,1.004
13.989,1.004
14.019,1.001
14.049,0.999
