df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,battery
8.285,19
18.279,19
28.273,19
38.266,19
48.265,19
58.354,19
68.345,19
78.241,19
88.235,19
98.329,19
108.271,19
118.277,19
128.263,19
138.252,19
148.255,19
158.240,19
168.255,19
178.228,19
188.226,19
198.215,19
208.258,19
218.251,19
228.245,19
238.248,18
248.233,18
258.229,18
268.220,18
278.214,18
288.208,18
298.207,18
308.294,18
318.237,18
328.231,18
338.231,18
348.317,18
358.261,18
368.259,18
378.288,18
388.219,18
398.236,18
408.327,18
418.223,18
428.223,18
438.255,18
448.205,18
458.199,18
468.197,18
478.210,18
488.326,18
