df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,omega
27.691,0.686
28.423,0.686
29.352,0.686
29.842,0.686
30.571,0.685
32.308,0.684
33.772,0.685
34.370,0.684
35.204,0.685
35.880,0.684
36.479,0.671
37.346,0.678
38.087,0.678
38.613,0.665
39.247,0.665
41.682,0.658
42.414,0.658
43.194,0.658
43.926,0.662
44.716,0.658
45.338,0.658
45.926,0.658
46.706,0.658
47.626,0.658
48.264,0.660
48.849,0.660
49.534,0.660
55.384,0.663
59.140,0.660
59.826,0.663
60.746,0.663
61.380,0.663
62.209,0.659
63.184,0.663
63.728,0.663
64.256,0.663
65.196,0.659
66.064,0.658
66.695,0.658
67.481,0.659
68.305,0.659
68.987,0.654
70.060,0.654
70.693,0.649
71.375,0.645
71.625,0.645
76.346,0.643
78.976,0.643
79.275,0.645
80.694,0.643
81.365,0.643
82.148,0.643
82.927,0.643
83.947,0.636
84.241,0.636
88.207,0.627
89.023,0.636
89.958,0.627
90.533,0.627
91.319,0.627
92.038,0.622
92.872,0.622
94.237,0.626
95.556,0.626
96.385,0.627
97.308,0.628
98.039,0.637
99.112,0.637
99.794,0.637
100.528,0.637
101.257,0.637
101.895,0.644
102.802,0.644
103.457,0.644
104.326,0.638
110.371,0.638
115.412,0.630
117.001,0.638
117.594,0.638
118.567,0.630
119.199,0.636
119.977,0.643
120.759,0.645
121.339,0.643
121.929,0.640
130.663,0.640
131.339,0.640
131.919,0.635
132.798,0.635
134.258,0.635
136.647,0.640
142.317,0.640
143.030,0.640
144.687,0.640
146.745,0.640
147.239,0.647
148.009,0.655
148.846,0.655
148.936,0.655
150.836,0.658
151.857,0.658
153.372,0.655
153.908,0.648
154.589,0.658
155.230,0.658
155.955,0.658
156.692,0.658
156.979,0.658
158.684,0.658
159.319,0.658
160.001,0.658
160.339,0.658
162.292,0.658
163.312,0.658
163.852,0.658
164.438,0.658
165.884,0.658
166.631,0.654
167.326,0.654
167.999,0.649
168.824,0.654
169.359,0.660
169.992,0.663
170.677,0.662
172.287,0.662
172.919,0.662
173.849,0.662
174.500,0.661
175.355,0.662
181.256,0.663
182.723,0.663
183.350,0.662
184.912,0.663
187.839,0.666
189.347,0.666
190.128,0.666
190.811,0.666
192.222,0.675
193.008,0.666
202.362,0.668
203.340,0.664
205.095,0.664
205.727,0.662
206.558,0.664
207.242,0.664
208.117,0.664
208.758,0.658
209.527,0.663
210.123,0.658
210.994,0.652
212.066,0.652
212.510,0.658
213.332,0.658
214.260,0.652
214.995,0.652
215.540,0.652
216.410,0.645
217.234,0.638
217.916,0.645
219.330,0.645
220.161,0.645
220.940,0.655
221.524,0.662
222.353,0.650
223.039,0.650
223.771,0.659
224.603,0.659
225.277,0.659
226.106,0.659
227.029,0.660
228.060,0.660
231.320,0.658
232.200,0.654
233.030,0.658
233.713,0.654
234.445,0.654
236.153,0.654
236.978,0.654
238.200,0.652
243.407,0.650
247.992,0.650
248.740,0.650
251.413,0.650
266.718,0.650
267.491,0.650
269.689,0.650
270.324,0.650
271.102,0.646
271.736,0.646
276.271,0.646
277.001,0.646
277.686,0.650
280.973,0.651
282.079,0.651
286.998,0.653
298.695,0.653
299.328,0.656
300.109,0.676
300.744,0.676
304.503,0.709
319.172,0.733
319.704,0.733
320.291,0.733
326.095,0.749
327.165,0.749
330.964,0.749
332.137,0.757
332.820,0.757
339.352,0.757
342.635,0.738
343.541,0.718
345.599,0.708
347.103,0.712
347.804,0.707
349.200,0.699
349.641,0.684
350.707,0.667
351.198,0.667
352.954,0.675
354.371,0.667
355.196,0.667
356.389,0.660
357.000,0.660
357.540,0.657
359.493,0.657
360.419,0.657
361.001,0.657
361.687,0.657
363.533,0.668
368.258,0.668
372.449,0.685
374.370,0.685
375.720,0.685
381.911,0.695
385.028,0.695
406.190,0.706
421.203,0.706
435.098,0.717
442.313,0.706
461.033,0.706
465.079,0.695
476.590,0.695
478.978,0.689
480.484,0.679
