df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,ppg_quality
57.743,37
58.753,34
60.773,45
62.793,71
63.803,84
64.813,87
65.823,89
66.833,91
67.843,96
68.853,97
70.873,95
71.883,91
73.903,88
75.923,70
76.933,55
77.943,54
78.953,55
79.963,55
81.983,55
82.993,57
84.003,58
85.013,66
87.033,75
88.043,67
89.053,67
90.063,67
91.073,69
92.083,72
94.103,72
96.123,76
97.133,86
98.143,95
100.163,95
102.183,92
104.203,91
105.213,88
107.233,80
109.253,60
110.263,48
111.273,43
112.283,45
113.293,49
115.313,50
116.323,45
118.343,61
120.363,82
122.383,90
124.403,69
126.423,52
127.433,48
129.453,41
130.463,41
131.473,45
132.483,42
133.483,49
135.503,60
137.523,64
138.533,59
140.553,48
142.573,37
143.583,30
144.593,21
146.613,15
148.633,27
149.643,34
151.663,43
153.683,55
155.703,74
156.713,85
158.733,91
159.743,91
160.753,93
162.773,92
164.793,92
166.813,90
168.833,89
170.853,89
171.863,91
173.883,90
175.903,82
177.923,57
179.943,44
180.953,44
181.963,43
184.993,27
186.003,33
187.013,44
189.033,69
191.053,73
193.073,90
195.093,102
196.103,90
198.123,64
199.133,51
200.143,37
202.163,36
204.183,37
207.213,57
209.233,82
211.253,94
212.263,96
213.273,93
214.283,91
216.303,88
218.323,88
220.343,86
222.363,85
224.383,86
226.403,85
227.413,86
229.433,89
231.453,80
232.463,73
233.473,76
235.493,74
237.513,74
239.533,71
240.543,80
242.563,93
244.583,91
246.603,88
248.623,83
249.633,76
250.643,72
251.653,67
252.663,70
253.673,73
255.693,79
257.713,70
259.733,70
260.743,65
261.753,58
264.783,31
265.793,29
266.803,35
267.813,37
268.823,36
270.843,30
271.853,37
272.863,50
275.893,60
276.903,63
277.913,62
279.933,67
281.953,55
282.963,54
283.973,55
284.983,52
287.003,47
289.023,47
291.043,43
293.063,42
295.083,28
297.103,23
298.113,23
300.133,31
302.153,49
303.163,46
304.173,49
306.193,61
309.223,37
311.243,39
312.253,35
313.263,31
314.273,29
315.283,30
316.293,29
317.303,28
320.333,49
321.343,41
322.353,51
324.373,54
325.383,53
326.393,56
327.403,57
328.413,57
329.423,61
331.443,70
333.463,65
335.483,71
337.503,66
339.523,66
340.533,70
341.543,69
342.553,70
344.573,76
346.593,83
348.613,88
350.633,84
351.643,86
352.653,90
353.663,90
355.683,81
357.703,74
359.723,73
361.743,73
363.763,72
364.773,71
366.793,74
367.803,82
368.813,87
370.833,83
372.853,85
374.873,79
377.903,61
378.913,52
379.923,51
381.943,40
383.963,36
384.973,39
385.983,43
386.993,48
389.013,58
391.033,60
393.053,66
395.073,49
397.093,42
400.123,45
402.143,39
404.163,59
406.183,57
408.203,46
410.223,25
411.233,25
412.243,17
413.253,13
414.263,5
416.283,22
417.293,31
418.303,42
420.323,50
422.343,46
424.363,53
426.383,49
428.403,20
429.413,10
431.433,16
433.453,8
434.463,5
444.563,5
446.583,20
447.593,27
448.603,33
449.613,43
450.623,53
453.653,61
455.673,44
457.693,36
458.703,29
459.713,21
460.723,15
461.733,13
463.753,26
464.763,37
466.783,49
467.793,54
468.803,61
470.823,55
472.843,37
474.863,40
475.873,42
477.893,47
479.913,58
481.933,79
483.953,95
485.973,92
486.983,97
489.003,108
490.013,106
491.023,103
493.043,96
