df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,rr_int
9.991,4005
10.723,1170
11.405,750
12.087,670
12.778,760
13.355,735
13.599,740
15.017,695
15.841,760
16.670,800
17.356,800
17.498,720
17.502,170
17.550,20
18.620,10
19.985,1120
20.571,1350
21.265,625
21.935,650
22.666,680
23.354,725
24.031,755
24.811,695
25.452,685
26.274,720
26.956,750
27.639,705
28.370,680
29.052,710
29.784,730
30.418,730
31.197,690
31.987,725
32.708,770
33.493,815
34.171,750
34.907,705
35.780,750
36.417,760
37.096,740
37.832,705
38.558,670
39.192,695
40.022,755
40.752,815
41.581,770
42.263,735
43.092,755
43.823,790
44.463,735
45.188,665
45.871,680
46.602,700
47.386,760
48.114,795
48.797,725
49.478,715
49.917,755
50.405,370
51.038,420
51.282,765
51.286,160
51.290,110
51.428,15
51.432,10
51.477,10
51.481,10
51.485,10
51.723,15
52.550,360
53.233,790
53.963,720
54.646,685
55.329,660
55.503,725
55.638,275
55.670,15
55.822,145
56.840,295
57.523,745
58.253,695
59.115,760
59.765,810
60.594,775
61.325,765
62.153,785
62.836,800
63.526,740
64.201,695
65.066,705
65.907,770
66.590,820
67.418,770
68.247,795
68.930,820
69.758,795
70.490,745
71.320,765
71.571,785
72.001,295
72.830,445
73.271,770
74.438,495
74.634,1315
76.291,860
77.364,880
77.998,840
78.923,880
78.981,895
79.801,10
80.490,855
81.312,770
81.995,755
82.872,770
83.701,830
84.091,795
84.530,500
85.212,300
85.360,780
85.511,265
85.897,15
86.581,350
87.308,700
88.145,775
88.966,805
89.795,830
90.477,835
91.160,730
92.021,735
92.720,740
93.403,780
94.133,745
94.818,680
95.502,660
96.360,685
97.156,810
97.985,880
98.813,800
99.642,830
100.471,870
101.239,855
101.886,730
102.714,725
103.396,740
104.273,785
105.666,785
106.858,1415
107.296,1270
108.417,375
108.429,1160
108.808,10
109.539,355
110.221,780
111.050,745
112.415,725
112.756,1485
113.146,300
113.978,395
114.658,750
115.340,770
116.169,735
116.851,735
117.582,720
118.414,740
119.147,775
119.776,770
120.556,720
121.238,695
121.872,710
122.994,710
123.286,1010
123.292,320
123.533,10
123.968,360
124.944,295
125.482,990
126.748,415
128.405,1510
129.087,1575
129.818,730
130.504,710
131.190,695
131.866,740
132.597,715
133.287,685
134.108,695
134.260,765
134.311,160
134.791,15
135.230,630
135.233,370
135.331,10
135.379,75
135.382,20
135.474,235
136.595,795
136.649,255
137.131,10
138.011,495
138.256,795
138.740,385
139.377,400
140.056,725
140.788,670
141.470,710
142.190,715
142.932,725
143.130,720
143.137,240
143.566,10
144.248,355
144.541,755
144.728,295
144.960,115
145.760,335
146.498,800
147.173,720
147.856,685
148.719,725
148.848,740
149.371,225
150.098,530
150.781,725
151.610,725
152.292,760
153.121,785
153.852,750
154.575,710
155.219,705
155.900,715
156.680,730
156.902,730
156.980,205
157.021,10
157.024,10
157.336,10
157.996,430
158.630,650
159.264,660
159.946,685
160.238,720
160.629,235
161.359,450
162.188,690
162.924,750
163.700,785
164.382,795
165.117,725
165.796,695
166.478,710
167.161,720
167.846,690
168.575,665
169.257,675
169.940,710
170.622,730
171.353,690
172.192,710
172.865,770
173.704,815
174.392,785
175.107,715
176.082,700
176.086,940
176.619,10
177.301,565
177.304,735
177.596,180
179.400,705
179.410,1145
179.839,220
180.519,335
181.201,625
181.932,665
182.620,695
183.297,685
183.980,720
184.808,760
185.640,750
186.223,725
187.051,745
187.733,785
188.416,755
189.147,690
189.976,720
190.658,755
191.438,710
192.170,735
192.861,795
193.730,785
194.415,825
194.664,720
195.388,285
195.933,725
196.753,200
197.343,1070
198.020,635
198.751,645
199.385,695
200.116,720
200.968,785
201.628,740
202.310,710
203.138,765
204.069,840
204.942,870
205.674,865
206.502,785
207.187,785
208.062,790
208.748,770
209.379,700
210.111,710
210.938,740
211.767,800
212.455,820
213.278,745
214.107,780
214.862,805
215.522,735
216.354,755
217.178,780
217.861,810
218.593,740
219.275,720
220.106,750
220.786,750
221.468,690
222.200,720
223.030,745
223.711,795
224.540,790
225.222,745
226.051,780
226.880,810
228.001,800
228.294,1195
229.122,235
229.805,835
230.536,675
231.218,710
232.047,770
232.876,805
233.558,780
234.387,800
235.265,835
236.096,815
236.776,750
237.466,700
238.147,720
238.872,725
239.847,660
239.850,1050
240.140,10
240.920,275
241.749,860
242.583,770
243.309,810
243.605,835
244.433,250
245.649,770
246.478,1355
247.258,730
247.891,725
248.430,665
249.256,625
249.549,815
249.987,260
250.670,405
251.358,725
252.620,690
253.010,1340
253.303,310
254.034,385
254.867,685
255.398,750
256.377,610
256.381,985
256.384,15
256.667,15
257.435,270
258.031,705
258.777,725
259.445,685
260.127,720
260.844,715
261.785,600
262.077,1245
263.881,1305
264.564,605
265.247,680
265.995,690
266.660,685
267.439,650
267.492,805
268.025,10
268.756,630
269.588,740
270.280,795
270.950,725
271.688,660
271.737,705
272.217,10
273.496,610
273.875,1280
274.023,580
275.532,685
276.215,730
276.946,705
277.669,685
277.687,755
278.165,10
278.896,610
279.627,665
280.115,695
