df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,heart_rate
10.992,46
11.892,46
12.770,46
13.940,46
14.866,46
15.786,84
16.914,83
17.865,81
18.717,73
19.936,80
20.815,79
21.691,78
22.910,77
23.813,78
24.665,78
25.883,81
26.761,81
27.693,82
28.857,82
29.843,83
30.710,83
31.977,83
32.757,83
33.773,83
34.808,82
35.731,82
36.608,81
37.780,81
38.705,81
39.582,82
40.791,82
41.683,82
42.580,81
43.775,81
44.717,80
45.530,81
46.748,81
47.627,82
48.503,82
49.722,82
50.630,81
51.726,81
52.696,81
53.598,81
54.500,81
55.673,81
56.547,82
57.474,82
58.648,83
59.521,82
60.447,82
61.619,81
62.495,81
63.453,80
64.640,80
65.517,80
66.395,80
67.565,80
68.491,80
69.418,79
70.834,78
71.471,78
72.353,77
73.565,78
74.442,77
75.316,77
76.491,77
77.461,77
78.290,77
79.508,77
80.390,74
81.263,72
82.482,72
83.363,73
84.242,74
85.459,77
86.333,75
87.211,74
88.503,74
89.307,74
90.381,75
91.403,76
92.330,76
93.207,77
94.377,78
95.255,80
96.181,80
97.355,81
98.228,80
99.161,80
100.325,78
101.258,76
102.130,76
103.307,76
104.225,77
105.102,77
106.272,76
107.198,76
108.076,76
109.247,76
110.172,76
111.058,76
112.220,78
113.149,80
114.023,80
115.242,80
116.120,81
117.002,81
118.193,81
119.097,81
120.268,81
121.190,81
122.067,81
122.945,81
124.163,81
125.090,81
125.994,81
127.137,81
128.042,74
128.892,78
130.115,76
130.988,77
131.920,79
133.085,79
134.003,81
134.840,81
136.059,81
136.936,81
137.862,81
139.032,81
139.910,81
140.836,81
142.006,81
143.031,81
143.811,82
145.015,82
145.857,83
146.783,83
148.246,83
148.937,83
149.757,82
150.928,82
151.858,82
152.731,82
153.909,82
155.171,82
155.704,82
157.027,82
157.850,82
158.831,83
159.897,84
160.779,85
161.662,86
162.871,86
163.995,85
164.626,84
166.189,83
166.771,83
167.599,83
168.826,83
169.696,84
170.573,84
171.792,85
172.670,85
173.623,84
174.766,83
175.643,83
176.536,83
177.741,83
178.630,82
179.543,82
180.733,82
181.688,82
182.520,82
183.688,82
184.613,82
185.491,82
186.661,82
187.538,82
188.513,81
189.635,81
190.512,81
191.441,81
192.852,81
193.535,81
194.656,81
195.651,81
196.559,81
197.391,81
198.556,81
199.482,81
200.365,81
201.530,81
202.456,82
203.580,81
204.503,81
205.430,79
206.308,78
207.481,77
208.452,76
209.281,76
210.503,78
211.377,79
212.255,79
213.480,79
214.364,78
215.228,78
216.447,78
217.326,78
218.202,78
219.461,78
220.347,79
221.178,79
222.399,80
223.278,80
224.181,80
225.374,80
226.246,80
227.123,79
228.345,78
229.220,78
230.146,78
231.321,78
232.340,78
233.120,78
234.290,78
235.167,78
236.154,77
237.263,77
238.239,77
239.067,78
240.335,79
241.212,81
242.041,79
243.211,79
244.137,79
245.015,76
246.185,77
247.160,76
247.993,76
249.181,76
250.084,82
251.260,81
252.181,82
253.058,81
253.936,81
255.155,81
256.032,81
256.910,81
258.128,81
259.049,84
259.883,85
261.102,85
261.980,85
262.906,84
264.076,87
264.953,88
265.880,87
267.050,88
267.927,88
268.904,88
270.023,87
270.901,86
271.827,85
272.997,85
273.923,85
274.801,85
275.971,88
276.897,88
277.896,88
278.945,88
279.895,88
280.749,88
281.918,89
282.845,90
283.722,92
284.892,94
285.819,95
286.696,96
287.866,96
288.792,96
289.670,95
290.888,96
291.771,95
292.644,95
293.813,95
294.740,95
295.617,95
296.811,95
297.713,93
298.737,91
299.810,90
300.746,90
301.565,90
302.783,90
303.661,91
304.539,92
305.757,93
306.635,92
307.561,92
308.731,92
309.634,92
310.486,92
311.730,92
312.582,93
313.462,93
314.678,93
315.587,92
316.482,91
317.652,90
318.530,90
319.456,90
320.626,92
321.507,94
322.430,96
323.895,97
324.478,98
325.403,99
326.578,100
327.451,101
328.389,101
329.547,101
330.484,101
331.351,100
332.521,99
333.447,98
334.325,96
335.495,94
336.423,93
337.298,93
338.468,93
339.398,94
340.272,94
341.442,94
342.370,94
343.246,93
344.487,92
345.346,91
346.220,89
347.459,87
348.325,86
349.340,85
350.412,86
351.290,86
352.216,86
353.389,87
354.265,87
355.336,88
356.453,88
357.260,89
358.163,89
359.337,90
360.424,91
361.137,91
362.307,91
363.331,91
364.111,90
365.284,90
366.183,90
367.085,90
368.304,89
369.181,89
370.058,89
371.228,89
372.106,89
373.032,89
374.202,89
375.080,89
376.055,88
377.176,88
378.200,88
379.028,89
380.154,90
381.076,92
381.953,93
383.123,94
384.121,95
384.927,95
386.146,95
387.023,95
387.901,95
389.100,95
389.997,95
390.875,95
392.093,95
392.971,95
393.848,95
395.067,95
396.008,95
396.822,95
398.041,95
398.921,95
399.796,95
401.040,95
401.892,95
402.842,95
403.988,95
404.866,95
405.792,95
406.962,95
407.840,95
408.766,95
409.936,97
410.814,95
411.740,91
412.914,91
413.859,89
414.762,90
415.883,91
416.811,93
417.690,94
418.857,95
419.783,94
420.661,94
422.224,99
422.757,100
423.722,98
424.805,98
