df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,spo2
27.642,95
28.374,95
29.056,95
29.789,95
30.421,95
32.276,95
33.746,95
34.178,95
35.197,95
35.782,95
36.463,95
37.100,95
38.074,95
38.578,95
39.196,95
41.585,95
42.267,95
43.141,95
43.827,95
44.701,95
45.192,95
45.874,95
46.606,95
47.431,95
48.117,95
48.801,95
49.483,95
55.342,95
59.134,95
59.768,95
60.597,95
61.329,95
62.157,95
62.848,95
63.716,95
64.207,95
65.179,95
65.910,95
66.593,95
67.422,95
68.253,95
68.942,95
69.764,95
70.495,95
71.358,95
71.614,95
76.294,96
78.928,96
79.267,95
80.684,96
81.316,96
82.005,96
82.876,96
83.705,96
84.095,96
88.189,96
88.972,96
89.798,96
90.481,96
91.163,96
92.024,96
92.723,96
94.137,96
95.550,96
96.377,96
97.161,96
97.991,96
98.817,96
99.646,96
100.520,96
101.251,96
101.889,96
102.718,96
103.399,96
104.277,96
110.224,96
115.366,96
116.854,96
117.586,96
118.560,96
119.191,96
119.781,96
120.563,95
121.243,96
121.878,96
130.650,96
131.332,96
131.869,96
132.601,96
134.112,96
136.598,96
142.303,96
142.981,96
144.590,96
146.737,96
147.177,95
147.860,95
148.831,95
148.928,95
150.788,95
151.626,95
153.127,95
153.856,95
154.582,95
155.223,95
155.903,95
156.685,95
156.972,95
158.641,95
159.277,95
159.949,95
160.242,95
162.193,95
162.936,95
163.703,95
164.431,95
165.799,95
166.482,95
167.167,95
167.949,95
168.580,95
169.260,95
169.943,95
170.625,95
172.231,95
172.868,95
173.842,95
174.476,95
175.111,95
181.204,95
182.715,95
183.301,95
184.813,95
187.737,95
189.151,95
189.980,95
190.663,95
192.173,95
193.001,95
202.314,95
203.143,95
204.946,95
205.677,95
206.506,95
207.236,95
208.066,95
208.751,95
209.385,95
210.114,95
210.942,95
211.770,95
212.501,95
213.282,95
214.111,95
214.987,95
215.526,95
216.399,95
217.182,96
217.865,95
219.278,95
220.155,95
220.790,95
221.472,95
222.203,95
223.033,95
223.715,95
224.543,95
225.227,95
226.055,95
226.887,95
228.005,95
231.223,95
232.051,95
232.880,95
233.562,95
234.392,95
236.142,95
236.780,95
238.192,95
243.320,95
247.895,95
248.726,95
251.401,95
266.665,95
267.443,95
269.682,95
270.316,95
270.953,95
271.730,95
276.219,95
276.950,95
277.678,95
280.801,95
282.073,95
286.799,95
298.640,95
299.277,95
299.959,95
300.736,95
304.447,94
319.023,93
319.560,93
320.141,93
325.946,93
327.067,93
330.818,93
332.086,93
332.769,93
339.301,93
342.616,93
343.389,94
345.541,94
346.955,94
347.786,94
349.002,94
349.587,95
350.464,95
351.147,95
352.902,95
354.364,95
354.998,95
356.371,95
356.948,95
357.533,95
359.482,95
360.263,95
360.994,95
361.531,95
363.481,95
368.209,95
372.398,95
374.303,95
375.572,95
381.811,94
384.981,94
406.140,94
421.152,94
435.046,94
442.261,94
460.848,94
465.030,94
476.580,94
478.969,94
480.432,95
