df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,battery
10.781,2
20.841,2
31.014,2
40.810,2
50.803,2
60.799,3
70.791,3
80.784,3
90.780,3
100.771,3
110.765,3
120.808,3
130.800,4
140.797,4
150.836,4
160.781,4
170.775,4
180.769,4
190.762,4
200.804,5
210.750,6
220.845,6
230.786,7
240.779,7
250.773,7
260.766,8
270.765,9
298.829,17
308.835,17
318.914,17
328.825,17
338.803,17
348.845,17
358.843,17
368.890,17
378.826,17
388.820,17
398.915,16
408.807,16
418.800,16
428.947,16
438.811,16
448.832,16
458.872,16
468.820,16
478.810,16
488.852,16
498.846,16
508.790,16
518.784,16
528.777,15
538.771,15
548.778,15
558.812,15
568.801,15
578.794,15
588.884,15
598.781,15
608.777,15
618.768,14
628.907,14
638.755,14
648.749,14
658.841,14
668.824,14
678.834,14
688.776,14
698.867,14
708.789,14
718.780,14
728.788,14
738.796,13
748.887,13
758.842,13
768.778,13
778.773,13
788.774,13
798.812,13
808.754,13
818.748,13
828.750,13
838.788,13
848.780,13
858.871,13
868.773,13
878.761,13
888.756,12
898.749,12
