df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,ppg_quality
57.778,37
60.808,12
62.828,10
63.838,21
64.848,13
69.898,3
71.918,18
73.938,23
75.958,41
77.978,40
79.998,36
81.008,41
83.028,43
85.048,76
87.068,69
89.088,81
90.098,79
91.108,94
92.118,108
94.138,91
96.158,80
97.168,92
98.178,82
99.188,85
100.198,86
102.218,54
104.238,48
105.248,44
107.268,31
109.288,20
111.308,13
113.328,21
114.338,21
115.348,17
116.358,15
118.378,23
120.398,39
122.418,22
124.438,17
125.448,42
126.458,65
127.468,79
129.488,91
131.508,103
133.528,100
135.548,81
136.558,67
137.568,57
138.578,50
140.598,23
142.618,39
144.638,28
147.668,5
148.678,16
151.708,21
152.718,42
153.728,66
155.748,99
158.778,107
159.788,108
160.798,112
162.818,81
164.838,34
166.858,20
168.878,15
170.898,10
173.928,30
174.938,41
175.948,52
176.958,55
177.968,63
178.978,67
179.988,69
180.998,71
182.008,72
183.018,73
185.038,67
187.058,71
189.078,58
191.098,44
192.108,42
193.118,39
194.128,30
196.148,12
200.188,3
202.208,8
203.218,12
205.238,14
207.258,15
209.278,22
211.298,26
212.308,24
214.328,21
215.338,25
216.348,26
218.368,13
219.378,8
220.388,8
229.478,2
231.498,10
233.518,5
237.558,16
238.568,14
240.588,6
242.608,14
244.628,28
246.648,35
247.658,41
248.668,54
249.678,56
250.688,50
251.698,48
253.718,63
255.738,55
257.758,30
258.768,25
259.778,31
260.788,40
262.808,24
264.828,31
266.848,68
268.868,91
270.888,96
271.898,128
273.918,128
274.928,147
276.948,157
343.624,79
345.644,100
347.664,95
349.684,146
350.694,109
352.714,73
353.724,81
354.734,78
356.754,79
358.774,35
359.784,41
361.804,51
363.824,44
365.844,26
366.854,19
368.874,19
369.884,18
371.904,25
372.914,32
374.934,43
376.954,50
378.974,45
380.994,21
383.014,18
384.024,20
386.044,9
390.084,9
391.094,11
393.114,7
394.124,6
397.154,1
399.174,20
401.194,15
403.214,15
405.234,50
407.254,34
408.264,23
409.274,13
412.304,38
413.314,24
414.324,33
416.344,37
417.354,41
419.374,57
420.384,51
421.394,44
422.404,42
423.414,49
424.424,45
425.434,43
427.454,41
428.464,34
429.474,30
430.484,24
431.494,25
433.514,34
434.524,39
436.544,51
437.554,44
438.564,37
440.584,54
442.604,48
444.624,47
445.634,40
447.654,43
449.674,48
451.694,56
453.714,46
455.734,49
456.744,51
458.764,58
459.774,60
460.784,64
462.804,72
464.824,71
466.844,70
467.854,72
469.874,75
470.884,75
471.894,72
473.914,48
474.924,40
476.944,28
477.954,25
479.974,17
480.984,14
483.004,12
485.024,35
487.044,35
489.064,34
490.074,33
492.094,40
494.114,49
496.134,38
498.154,35
500.174,34
501.184,40
503.204,51
505.224,78
507.244,62
509.264,97
511.284,107
512.294,99
513.304,95
515.324,79
518.354,79
520.374,52
523.404,52
524.414,43
526.434,31
529.464,58
531.484,54
533.504,53
534.514,60
535.524,69
536.534,76
537.544,77
540.574,68
542.594,57
544.614,59
546.634,57
547.644,60
549.664,60
550.674,67
553.704,54
555.724,44
557.744,26
566.834,6
568.854,9
570.874,21
573.904,32
575.924,31
577.944,37
579.964,64
581.984,73
584.004,75
585.014,77
586.024,77
587.034,75
588.044,76
589.054,73
591.074,71
593.094,70
595.114,70
598.144,70
599.154,71
600.164,71
601.174,72
602.184,73
604.204,73
605.214,71
606.224,69
608.244,66
609.254,67
611.274,71
613.294,73
615.314,73
616.324,73
617.334,75
619.354,74
620.364,71
621.374,68
622.384,67
624.404,66
626.424,69
628.444,70
630.464,70
631.474,69
632.484,69
633.494,73
635.514,73
637.534,72
639.554,72
642.584,72
643.594,70
644.604,70
646.624,71
647.634,72
649.654,72
650.664,70
651.674,71
653.694,71
655.714,70
657.734,70
659.754,76
662.784,81
663.794,82
664.804,81
665.814,83
666.824,83
668.844,81
670.864,76
672.884,76
673.894,75
675.914,76
676.924,75
677.934,73
679.954,72
681.974,71
683.994,71
687.024,70
689.044,58
691.064,49
693.084,52
695.104,53
697.124,41
698.134,41
700.154,48
701.164,42
702.174,32
704.194,12
708.234,37
711.264,58
713.284,69
714.294,77
715.304,88
716.314,92
718.334,74
720.354,48
722.374,63
724.394,60
726.414,56
728.434,67
730.454,77
733.484,82
734.494,74
735.504,66
737.524,44
739.544,34
741.564,24
743.584,27
745.604,44
746.614,57
747.624,72
748.634,66
749.644,77
750.654,74
752.674,78
753.684,78
754.694,81
755.704,74
756.714,70
757.724,64
759.744,71
761.764,86
762.774,85
764.794,85
765.804,87
767.824,83
768.834,81
769.844,79
770.854,75
772.874,49
774.894,7
776.914,1
778.934,4
779.944,4
781.964,8
783.984,41
784.994,49
786.004,41
788.024,22
790.044,23
792.064,19
793.074,14
794.084,9
795.094,17
797.114,38
799.134,41
801.154,39
803.164,38
805.184,25
806.194,28
808.214,41
810.234,44
811.244,46
812.254,37
814.274,55
816.294,51
818.314,39
819.324,39
820.334,34
821.344,30
823.364,63
825.384,64
827.404,73
829.424,87
831.444,102
832.454,90
834.474,76
835.484,88
