df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,rr_int
9.123,4385
9.126,15
11.173,20
11.316,2090
11.320,45
11.414,30
11.417,15
11.420,20
11.424,15
11.469,10
11.473,15
11.481,15
11.512,15
11.515,10
11.518,15
11.560,10
11.563,15
11.615,10
11.658,10
11.661,10
11.665,10
11.668,10
11.706,10
11.710,10
11.746,10
11.758,10
11.761,10
11.764,10
11.767,10
11.804,15
11.807,15
11.810,10
11.813,10
11.853,10
11.856,15
11.859,10
11.874,10
11.904,10
11.907,10
11.910,10
13.270,30
13.413,1525
13.419,50
13.562,30
13.566,30
13.675,35
13.754,220
13.757,30
13.803,30
13.949,160
14.388,85
14.778,390
15.217,380
15.363,530
15.369,55
16.045,40
16.058,650
17.556,60
17.995,1595
18.386,300
18.532,660
19.122,570
19.802,450
20.238,75
20.243,490
20.436,25
20.481,240
20.499,60
21.749,970
22.188,365
22.432,405
22.724,225
23.114,300
23.553,415
23.846,375
24.089,295
24.527,275
24.820,510
25.022,270
25.030,25
25.210,40
25.844,250
25.850,615
25.892,30
26.039,30
26.054,50
26.235,165
26.770,105
26.868,585
27.307,135
27.599,400
27.843,540
27.848,40
27.894,30
28.013,60
28.720,585
29.257,225
29.404,600
29.549,205
29.695,70
29.800,230
29.939,75
30.670,675
30.677,35
30.768,40
30.775,150
31.086,30
31.090,20
31.093,20
31.209,15
31.212,20
32.477,30
32.571,1460
32.574,60
32.864,100
32.869,260
32.913,40
33.205,260
33.210,75
33.985,450
34.131,480
34.522,260
34.667,200
34.670,45
34.960,70
35.642,285
35.646,645
35.788,85
35.792,20
35.795,60
35.798,15
36.112,15
36.229,320
36.243,15
36.276,10
36.279,10
36.282,15
36.285,20
37.592,40
37.641,1355
37.739,10
38.714,150
38.860,1030
38.865,60
39.026,90
39.153,25
39.157,20
39.162,25
39.166,30
39.250,180
39.255,40
39.298,20
39.306,20
39.314,20
39.469,20
40.420,170
40.518,870
40.663,250
40.956,60
40.959,270
41.102,220
41.200,50
41.202,45
41.492,205
41.497,70
41.675,150
41.787,125
41.945,160
42.321,350
42.613,45
42.616,300
42.906,40
43.153,240
43.446,310
43.734,195
44.271,360
44.417,535
44.564,160
44.711,85
44.954,220
45.100,250
45.107,55
45.831,85
46.074,610
46.079,275
46.367,310
47.196,265
47.489,645
47.635,300
48.024,120
48.172,450
48.463,45
48.707,265
49.584,335
49.975,845
50.414,390
50.511,470
50.514,55
50.806,55
50.949,260
51.242,130
51.245,290
51.632,45
51.641,370
51.732,35
51.784,25
52.074,80
52.218,215
52.461,265
52.607,425
52.899,235
53.457,500
53.895,260
54.021,195
54.167,185
54.557,90
54.849,420
54.856,285
55.678,55
56.507,820
56.511,540
56.515,50
57.189,225
57.482,685
57.628,335
58.458,90
58.749,890
58.993,205
59.286,290
59.773,335
59.968,425
60.262,300
60.553,270
60.943,290
60.946,360
61.923,60
62.405,985
62.896,310
63.039,560
63.625,140
63.630,570
63.633,30
63.637,20
63.868,30
64.599,255
64.697,720
65.038,105
65.282,335
65.671,285
65.674,370
66.257,30
66.403,475
66.796,190
66.988,285
67.231,540
67.235,25
67.238,35
67.622,290
67.768,295
67.917,25
67.963,15
67.966,10
67.969,30
68.451,535
68.743,285
70.400,1345
70.403,320
70.547,50
70.985,70
71.229,485
71.232,80
71.523,180
71.814,525
71.817,65
72.107,275
72.938,50
73.326,775
73.471,420
73.618,270
73.764,105
74.300,535
74.303,50
74.595,30
75.422,305
75.567,840
76.006,150
76.104,320
77.080,260
77.225,955
77.517,80
77.522,265
78.054,85
78.639,465
79.321,650
80.003,715
80.020,645
80.540,60
80.686,430
80.833,220
80.979,70
81.467,260
81.615,400
81.809,65
82.100,530
82.490,335
82.783,105
83.223,260
83.370,440
83.465,15
84.878,280
84.882,1445
85.028,45
85.125,60
85.130,45
85.173,35
85.182,35
85.185,30
85.188,25
85.220,15
85.223,20
85.317,20
85.321,25
85.415,30
85.418,35
85.427,30
85.564,30
85.567,15
86.536,30
86.975,1075
87.121,430
87.221,250
87.316,40
87.319,35
87.657,65
87.661,190
87.803,215
88.486,155
88.489,345
88.779,235
89.120,390
89.461,235
89.754,425
89.900,260
90.290,120
90.293,385
90.436,10
90.439,155
90.487,15
91.558,20
91.704,1085
91.850,225
91.855,95
91.860,25
91.996,25
91.999,35
92.003,60
92.095,65
93.214,90
93.655,1160
93.946,300
94.482,380
95.164,590
95.167,645
95.360,35
95.848,65
96.432,625
96.822,500
96.968,480
97.553,135
97.556,485
97.700,110
98.236,140
98.382,535
98.528,265
98.772,205
98.775,110
100.039,555
100.043,665
100.332,35
100.868,215
100.871,520
101.453,55
101.697,815
101.700,50
101.989,185
101.993,100
102.673,300
102.964,345
102.967,230
103.966,105
104.145,1095
105.060,655
105.063,320
105.158,25
105.305,210
105.743,405
106.621,85
107.014,860
107.108,345
107.159,160
107.839,70
108.132,665
108.229,280
108.522,330
108.970,505
109.058,135
109.789,425
110.033,185
110.036,320
110.082,15
110.085,10
110.089,20
110.179,45
110.183,25
111.300,25
111.303,1085
