df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,omega
459.413,0.612
459.627,0.618
460.829,0.612
466.190,0.618
468.676,0.612
468.724,0.606
469.992,0.612
470.688,0.618
470.769,0.612
474.138,0.618
476.884,0.612
479.544,0.612
479.839,0.612
520.350,0.612
521.083,0.612
521.809,0.612
523.659,0.608
534.627,0.484
535.372,0.482
536.098,0.479
536.683,0.475
537.460,0.473
537.945,0.470
543.060,0.470
545.892,0.460
546.719,0.448
547.358,0.444
557.688,0.441
560.857,0.441
561.689,0.441
563.249,0.441
565.300,0.441
573.342,0.441
573.981,0.441
574.853,0.441
575.438,0.441
576.071,0.441
576.749,0.441
577.435,0.446
578.120,0.453
580.116,0.448
580.945,0.448
581.729,0.456
582.312,0.453
582.895,0.456
583.530,0.461
584.309,0.461
584.940,0.465
585.925,0.461
586.452,0.461
589.284,0.461
590.312,0.463
590.897,0.465
591.476,0.468
592.193,0.468
592.939,0.468
594.289,0.468
595.030,0.468
595.669,0.468
596.393,0.469
597.181,0.469
597.951,0.471
599.270,0.471
599.859,0.472
603.957,0.472
607.558,0.472
610.071,0.474
612.921,0.475
613.460,0.480
614.923,0.485
615.614,0.488
616.236,0.488
616.872,0.488
617.800,0.488
620.428,0.488
621.075,0.485
622.531,0.485
623.890,0.491
624.483,0.499
625.497,0.499
627.399,0.499
628.085,0.499
628.773,0.499
629.452,0.491
630.227,0.480
631.010,0.475
631.458,0.475
632.179,0.475
634.958,0.475
635.738,0.475
637.056,0.469
639.472,0.462
640.003,0.462
640.663,0.469
641.682,0.469
642.081,0.470
642.704,0.475
643.585,0.470
644.776,0.464
645.732,0.462
646.319,0.462
647.780,0.455
648.422,0.463
651.204,0.462
651.922,0.465
652.711,0.467
653.399,0.465
655.626,0.456
656.072,0.447
656.915,0.443
661.532,0.447
662.262,0.451
662.891,0.451
663.724,0.451
664.505,0.455
665.672,0.451
666.455,0.447
667.867,0.443
669.673,0.448
670.256,0.455
670.940,0.457
671.772,0.459
672.492,0.459
673.275,0.459
674.052,0.457
674.738,0.457
675.472,0.458
677.276,0.458
677.906,0.460
678.449,0.460
679.275,0.460
679.329,0.462
680.930,0.460
681.716,0.458
682.542,0.458
683.513,0.460
684.010,0.461
709.263,0.463
712.231,0.461
712.960,0.463
713.597,0.465
714.327,0.465
722.617,0.465
723.204,0.467
752.247,0.469
752.933,0.471
759.480,0.476
760.595,0.483
761.277,0.483
761.859,0.495
762.544,0.495
763.668,0.504
796.670,0.506
830.955,0.513
831.627,0.535
832.311,0.535
833.090,0.546
845.329,0.557
879.842,0.599
