df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,spo2
459.363,96
459.603,96
460.776,96
466.086,96
468.626,96
468.686,96
469.941,96
470.670,96
470.720,96
474.130,96
476.876,96
479.444,96
479.788,96
520.299,96
520.982,96
521.758,96
523.594,96
534.536,99
535.361,99
535.948,99
536.631,99
537.312,99
537.896,100
542.965,100
545.796,100
546.570,100
547.350,100
557.643,100
560.809,100
561.637,100
563.051,100
565.293,100
573.193,100
573.968,100
574.606,100
575.289,100
575.971,100
576.662,100
577.383,100
578.114,100
580.064,100
580.938,100
581.721,100
582.306,100
582.794,100
583.476,100
584.160,100
584.893,100
585.913,100
586.404,100
589.277,100
590.302,100
590.885,100
591.425,100
592.168,100
592.788,100
594.201,100
594.935,100
595.566,100
596.294,100
597.174,100
597.808,99
599.173,99
599.808,99
603.951,99
607.409,99
609.995,99
612.775,99
613.360,99
614.871,99
615.602,99
616.138,99
616.837,99
617.505,99
620.380,99
621.064,99
622.523,99
623.793,99
624.476,99
625.205,99
627.306,99
627.936,99
628.763,99
629.443,99
630.032,99
630.716,99
631.447,99
632.128,99
634.952,99
635.589,99
637.048,100
639.197,100
639.975,100
640.610,100
641.390,100
642.072,100
642.660,99
643.532,100
644.763,100
645.439,100
646.266,100
647.729,100
648.364,100
651.191,100
651.872,100
652.701,100
653.384,100
655.379,100
656.019,100
656.893,100
661.525,100
662.253,100
662.843,100
663.673,100
664.405,100
665.621,100
666.442,100
667.718,100
669.375,100
670.058,100
670.932,100
671.720,100
672.443,100
673.226,100
674.044,100
674.682,100
675.323,100
677.127,100
677.806,100
678.442,100
679.268,100
679.323,100
680.891,100
681.709,100
682.535,100
683.315,100
683.997,100
709.254,100
712.180,100
712.919,100
713.590,100
714.279,100
722.468,100
723.197,100
752.215,100
752.898,99
759.274,99
760.542,99
761.225,99
761.761,99
762.494,99
763.662,99
796.375,99
830.891,99
831.619,98
832.267,98
832.989,98
845.177,98
879.792,97
