df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,perfusion_ir
459.407,0.120
459.620,0.120
460.824,0.120
466.092,0.120
468.670,0.120
468.719,0.120
469.989,0.120
470.681,0.120
470.724,0.110
474.133,0.120
476.881,0.110
479.452,0.110
479.836,0.110
520.346,0.110
521.077,0.110
521.764,0.110
523.597,0.110
534.578,0.240
535.366,0.240
536.092,0.250
536.677,0.250
537.457,0.250
537.942,0.250
542.979,0.250
545.888,0.240
546.576,0.240
547.354,0.230
557.685,0.240
560.854,0.240
561.685,0.240
563.245,0.230
565.296,0.230
573.336,0.230
573.976,0.230
574.847,0.230
575.432,0.220
576.066,0.220
576.746,0.220
577.431,0.230
578.117,0.230
580.112,0.220
580.941,0.220
581.725,0.220
582.309,0.220
582.892,0.220
583.522,0.220
584.305,0.220
584.936,0.220
585.919,0.220
586.447,0.220
589.280,0.220
590.306,0.230
590.890,0.230
591.471,0.230
592.186,0.220
592.933,0.220
594.252,0.230
595.026,0.230
595.663,0.220
596.343,0.220
597.177,0.220
597.811,0.220
599.222,0.220
599.855,0.220
603.954,0.220
607.412,0.220
610.041,0.220
612.918,0.220
613.456,0.210
614.919,0.210
615.606,0.210
616.232,0.210
616.866,0.210
617.795,0.200
620.388,0.200
621.069,0.200
622.527,0.200
623.886,0.200
624.480,0.200
625.212,0.200
627.310,0.200
628.081,0.200
628.768,0.200
629.447,0.210
630.223,0.210
631.003,0.210
631.452,0.210
632.176,0.220
634.955,0.220
635.734,0.220
637.051,0.220
639.450,0.220
639.987,0.220
640.659,0.220
641.394,0.220
642.076,0.220
642.662,0.220
643.581,0.220
644.771,0.220
645.729,0.220
646.314,0.230
647.777,0.230
648.410,0.240
651.194,0.240
651.918,0.240
652.706,0.230
653.393,0.230
655.385,0.240
656.065,0.230
656.900,0.230
661.528,0.230
662.259,0.230
662.888,0.230
663.719,0.240
664.499,0.240
665.669,0.240
666.446,0.240
667.863,0.230
669.667,0.240
670.252,0.240
670.936,0.240
671.754,0.240
672.446,0.240
673.272,0.240
674.048,0.240
674.734,0.240
675.468,0.240
677.272,0.240
677.809,0.240
678.445,0.240
679.271,0.240
679.326,0.250
680.926,0.250
681.712,0.250
682.538,0.250
683.320,0.250
684.004,0.260
709.257,0.260
712.228,0.260
712.952,0.260
713.593,0.260
714.322,0.260
722.613,0.260
723.200,0.260
752.241,0.260
752.902,0.270
759.471,0.270
760.590,0.270
761.271,0.270
761.855,0.270
762.540,0.270
763.665,0.270
796.667,0.270
830.940,0.270
831.623,0.270
832.304,0.270
833.084,0.270
845.321,0.270
879.836,0.270
