df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,acc_mag
4.633,0.969
4.663,0.964
4.693,0.967
4.723,0.965
4.753,0.962
4.783,0.968
4.813,0.966
4.843,0.966
4.873,0.965
4.903,0.966
4.933,0.969
4.963,0.964
4.993,0.965
5.023,0.969
5.053,0.968
5.083,0.964
5.113,0.969
5.143,0.968
5.173,0.967
5.203,0.966
5.233,0.967
5.263,0.962
5.293,0.966
5.323,0.966
5.353,0.969
5.383,0.966
5.413,0.966
5.443,0.971
5.473,0.963
5.503,0.968
5.533,0.966
5.563,0.965
5.593,0.967
5.623,0.965
5.653,0.968
5.683,0.966
5.713,0.968
5.743,0.966
5.773,0.968
5.803,0.968
5.833,0.966
5.863,0.967
5.893,0.964
5.923,0.962
5.953,0.969
5.983,0.966
6.013,0.968
6.043,0.964
6.073,0.968
6.103,0.962
6.133,0.968
6.163,0.968
6.193,0.967
6.223,0.965
6.253,0.965
6.283,0.966
6.313,0.964
6.343,0.966
6.373,0.969
6.403,0.966
6.433,0.968
6.463,0.966
6.493,0.968
6.523,0.966
6.553,0.964
6.583,0.969
6.613,0.969
6.643,0.966
6.673,0.965
6.703,0.964
6.733,0.966
6.763,0.966
6.793,0.963
6.823,0.968
6.853,0.963
6.883,0.967
6.913,0.970
6.943,0.966
6.973,0.966
7.003,0.963
7.033,0.964
7.063,0.965
7.093,0.966
7.123,0.968
7.153,0.963
7.183,0.970
7.213,0.966
7.243,0.962
7.273,0.967
7.303,0.968
7.333,0.965
7.363,0.968
7.393,0.966
7.423,0.966
7.453,0.965
7.483,0.966
7.513,0.961
7.543,0.965
7.573,0.964
7.603,0.966
7.633,0.968
7.663,0.966
7.693,0.967
7.723,0.968
7.753,0.966
7.783,0.963
7.813,0.970
7.843,0.965
7.873,0.966
7.903,0.967
7.933,0.963
7.963,0.967
7.993,0.967
8.023,0.966
8.053,0.968
8.083,0.967
8.113,0.964
8.143,0.965
8.173,0.967
8.203,0.963
8.233,0.968
8.263,0.965
8.293,0.963
8.323,0.965
8.353,0.966
8.383,0.963
8.413,0.965
8.443,0.968
8.473,0.966
8.503,0.966
8.533,0.965
8.563,0.966
8.593,0.963
8.623,0.965
8.653,0.970
8.683,0.964
8.713,0.966
8.743,0.965
8.773,0.968
8.803,0.965
8.833,0.966
8.863,0.967
8.893,0.963
8.923,0.965
8.953,0.966
8.983,0.962
9.013,0.966
9.043,0.968
9.073,0.968
9.103,0.970
9.133,0.965
9.163,0.967
9.193,0.965
9.223,0.963
9.253,0.964
9.283,0.967
9.313,0.969
9.343,0.963
9.373,0.966
9.403,0.966
9.433,0.968
9.463,0.967
9.493,0.966
9.523,0.966
9.553,0.965
9.583,0.965
9.613,0.966
9.643,0.967
9.673,0.965
9.703,0.963
9.733,0.968
9.763,0.967
9.793,0.970
9.823,0.968
9.853,0.968
9.883,0.967
9.913,0.969
9.943,0.967
9.973,0.963
10.003,0.965
10.033,0.969
10.063,0.963
10.093,0.963
10.123,0.966
10.153,0.964
10.183,0.963
10.213,0.963
10.243,0.964
10.273,0.967
10.303,0.965
10.333,0.965
10.363,0.968
10.393,0.964
10.423,0.965
10.453,0.965
10.483,0.965
10.513,0.964
10.543,0.967
10.573,0.963
10.603,0.966
10.633,0.965
10.663,0.965
10.693,0.968
10.723,0.965
10.753,0.965
10.783,0.968
10.813,0.967
10.843,0.965
10.873,0.965
10.903,0.967
10.933,0.965
10.963,0.965
10.993,0.965
11.023,0.968
11.053,0.960
11.083,0.968
11.113,0.963
11.143,0.965
11.173,0.965
11.203,0.966
11.233,0.967
11.263,0.967
11.293,0.965
11.323,0.963
11.353,0.966
11.383,0.968
11.413,0.968
11.443,0.968
11.473,0.963
11.503,0.963
11.533,0.966
11.563,0.965
11.593,0.968
11.623,0.967
11.653,0.965
11.683,0.963
11.713,0.963
11.743,0.967
11.773,0.965
11.803,0.965
11.833,0.965
11.863,0.967
11.893,0.968
11.923,0.965
11.953,0.963
11.983,0.967
12.013,0.964
12.043,0.963
12.073,0.963
12.103,0.965
12.133,0.966
12.163,0.963
12.193,0.967
12.223,0.963
12.253,0.963
12.283,0.968
12.313,0.969
12.343,0.967
12.373,0.963
12.403,0.971
12.433,0.965
12.463,0.965
12.493,0.966
12.523,0.969
12.553,0.965
12.583,0.965
12.613,0.965
12.643,0.965
12.673,0.967
12.703,0.965
12.733,0.969
12.763,0.965
12.793,0.965
12.823,0.966
12.853,0.964
12.883,0.969
12.913,0.965
12.943,0.965
12.973,0.965
13.003,0.964
13.033,0.966
13.063,0.967
13.093,0.965
13.123,0.965
13.153,0.969
13.183,0.964
13.213,0.966
13.243,0.963
13.273,0.964
13.303,0.965
13.333,0.965
13.363,0.966
13.393,0.963
13.423,0.965
13.453,0.967
13.483,0.967
13.513,0.967
13.543,0.966
13.573,0.963
13.603,0.969
13.633,0.967
13.663,0.967
13.693,0.967
13.723,0.964
13.753,0.968
13.783,0.966
13.813,0.963
13.843,0.968
13.873,0.966
13.903,0.962
13.933,0.966
13.963,0.965
13.993,0.963
