time,heart_rate
635.293,87
636.171,87
637.097,86
638.267,85
639.144,84
640.071,84
641.338,83
642.167,83
643.046,83
644.264,83
645.092,84
646.019,84
647.216,85
648.067,84
648.993,84
650.168,84
651.093,84
651.966,84
653.234,85
654.063,85
655.235,85
656.111,85
657.066,86
657.920,86
659.085,86
660.011,86
660.893,87
662.110,87
663.329,88
663.862,87
665.130,86
666.002,85
666.885,85
668.081,86
668.933,86
669.812,85
671.029,84
671.907,82
672.786,81
674.377,80
674.884,80
675.807,80
676.977,80
678.102,80
678.783,84
679.951,81
680.828,82
681.755,80
682.925,79
683.851,78
684.729,78
685.937,77
686.776,77
687.703,77
688.876,77
689.799,77
690.677,77
691.847,77
692.773,77
693.651,77
694.821,79
695.747,77
696.624,77
697.844,77
698.721,77
699.599,77
700.894,77
701.695,79
702.597,80
703.894,80
704.669,82
705.595,82
706.863,83
707.642,83
708.577,84
709.739,85
710.617,86
711.543,88
712.713,89
713.598,91
714.517,89
715.692,89
716.613,89
717.491,89
718.709,89
719.587,89
720.541,89
721.706,89
722.661,89
723.441,87
724.707,87
725.583,87
726.412,87
727.631,87
728.510,87
729.386,87
730.615,87
731.539,87
732.360,87
733.579,87
734.505,87
735.334,82
736.553,84
737.430,83
738.406,77
739.527,74
740.427,76
741.336,75
742.500,75
743.378,75
744.304,75
745.474,75
746.426,75
747.278,75
748.546,75
749.326,75
750.274,75
751.422,75
752.349,84
753.226,83
754.405,85
755.322,85
756.200,85
757.516,83
758.296,83
759.174,82
760.344,82
761.279,82
762.148,86
763.390,88
764.244,90
765.121,88
766.381,88
767.223,88
768.095,88
769.314,88
770.192,88
771.072,88
772.337,88
773.166,88
774.092,88
775.262,92
776.149,93
777.066,94
778.236,92
779.113,92
780.045,92
781.210,92
782.136,92
783.013,92
784.183,92
785.110,89
785.987,90
787.158,89
788.084,89
788.961,89
790.135,89
791.058,89
791.935,89
793.154,89
794.032,89
794.909,89
796.128,89
797.005,89
797.886,94
799.101,95
799.979,93
800.919,93
802.124,93
802.978,93
803.879,93
805.049,93
805.927,93
806.853,93
808.027,93
808.949,96
809.827,95
811.021,94
811.923,92
812.801,89
814.019,88
814.897,87
815.802,87
816.996,87
817.971,87
818.752,87
819.977,87
820.845,87
821.777,87
822.944,87
823.852,87
824.745,85
825.915,85
826.792,84
827.720,84
828.889,84
829.864,84
830.692,84
832.011,84
832.740,85
833.715,85
834.836,86
835.762,86
836.640,86
837.810,85
838.736,85
839.663,85
840.784,85
841.710,85
842.588,85
843.760,85
844.763,85
845.561,89
846.732,86
847.658,87
848.535,88
849.754,87
850.632,85
851.509,86
852.729,85
853.605,85
854.483,85
855.702,85
856.628,85
857.463,79
858.676,77
859.553,79
860.432,78
861.649,78
862.527,78
863.453,78
864.623,78
865.524,78
866.428,78
867.597,78
868.492,84
869.401,80
870.571,81
871.497,80
872.375,80
873.569,80
874.471,74
875.352,77
876.521,76
877.462,76
878.371,83
879.492,83
880.419,85
881.297,86
882.517,88
883.392,90
884.270,91
885.489,93
886.399,94
887.244,95
888.463,94
889.389,94
890.221,91
891.436,92
892.363,91
893.191,91
894.494,91
895.309,91
896.165,91
897.384,92
898.261,91
899.188,91
