df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,temperature
396.912,34.375
398.186,34.406
398.918,34.469
399.934,34.531
400.918,34.562
401.961,34.656
402.908,34.750
403.993,34.750
404.907,34.781
406.028,34.812
406.906,34.844
407.953,34.844
408.904,34.844
409.928,34.844
410.985,34.875
411.926,34.812
412.902,34.812
413.925,34.906
415.167,34.906
415.924,34.875
416.910,34.875
417.949,34.906
419.044,34.906
419.921,34.938
420.994,34.938
421.920,34.969
422.896,34.969
423.919,34.938
424.937,34.969
425.917,35.000
426.937,35.031
427.966,35.000
429.186,35.062
430.161,35.062
430.890,35.094
432.111,35.125
432.937,35.125
433.964,35.188
434.887,35.188
435.943,35.188
436.913,35.156
437.912,35.250
438.885,35.250
439.932,35.281
440.981,35.250
441.907,35.219
442.882,35.219
443.906,35.188
445.276,35.156
445.907,35.188
446.928,35.156
447.918,35.125
448.927,35.094
449.909,35.062
451.220,35.125
451.949,35.156
452.924,35.219
453.899,35.219
454.979,35.250
456.339,35.250
456.922,35.250
457.897,35.219
458.920,35.250
459.994,35.344
460.919,35.344
461.894,35.281
462.918,35.281
463.893,35.281
464.966,35.312
466.037,35.312
466.974,35.375
467.890,35.375
469.034,35.406
469.891,35.375
470.913,35.344
471.888,35.375
472.933,35.375
473.886,35.375
474.959,35.375
475.890,35.375
476.915,35.344
477.884,35.375
478.907,35.344
479.885,35.344
480.954,35.375
481.897,35.375
482.905,35.406
484.077,35.438
484.957,35.469
485.879,35.469
487.007,35.469
488.169,35.500
488.904,35.500
489.876,35.500
490.914,35.562
492.256,35.531
492.898,35.531
493.922,35.531
494.897,35.562
495.976,35.594
496.896,35.562
497.920,35.469
498.894,35.531
499.918,35.531
500.893,35.500
502.163,35.531
502.916,35.500
503.916,35.469
504.939,35.469
505.914,35.469
506.890,35.531
507.913,35.656
508.993,35.656
509.912,35.688
510.935,35.719
511.910,35.781
513.083,35.844
513.909,35.875
514.884,35.906
515.908,35.938
516.883,35.938
517.907,35.906
518.905,35.906
519.905,35.906
520.880,35.906
521.904,35.875
522.902,35.812
523.929,35.812
524.881,35.844
525.911,35.844
526.876,35.781
528.100,35.781
528.972,35.781
530.093,35.812
531.117,35.781
531.897,35.812
532.922,35.781
533.896,35.781
534.951,35.781
535.895,35.781
536.870,35.844
537.946,35.844
539.163,35.844
539.892,35.844
541.161,35.812
541.940,35.844
542.874,35.875
543.992,35.906
544.916,35.875
545.893,35.875
546.914,35.906
547.887,35.969
548.938,35.875
549.924,35.875
550.909,35.938
551.886,35.938
