df_hash,22ZHK4.2N6TLG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.06LR
person_label,V87
date_time_start,2025-11-04_14-58-38.258000_+03
date_time_start_unix,1762253918.258
date_time_end,2025-11-04_15-07-26.934000_+03
length_difference_noticed,no

time,acc_mag
14.578,1.028
14.608,1.028
14.638,1.028
14.668,1.030
14.698,1.028
14.728,1.025
14.758,1.028
14.788,1.027
14.818,1.029
14.848,1.029
14.878,1.024
14.908,1.028
14.938,1.026
14.968,1.028
14.998,1.032
15.028,1.023
15.058,1.028
15.088,1.029
15.118,1.026
15.148,1.026
15.178,1.030
15.208,1.030
15.238,1.026
15.268,1.027
15.298,1.029
15.328,1.027
15.358,1.032
15.388,1.027
15.418,1.029
15.448,1.030
15.478,1.030
15.508,1.030
15.538,1.026
15.568,1.027
15.598,1.026
15.628,1.024
15.658,1.026
15.688,1.024
15.718,1.028
15.748,1.031
15.778,1.027
15.808,1.026
15.838,1.031
15.868,1.034
15.898,1.026
15.928,1.028
15.958,1.028
15.988,1.024
16.018,1.013
16.048,1.025
16.078,1.031
16.108,1.033
16.138,1.031
16.168,1.033
16.198,1.031
16.228,1.027
16.258,1.027
16.288,1.027
16.318,1.027
16.348,1.027
16.378,1.027
16.408,1.031
16.438,1.027
16.468,1.029
16.498,1.025
16.528,1.025
16.558,1.032
16.588,1.029
16.618,1.028
16.648,1.028
16.678,1.029
16.708,1.028
16.738,1.025
16.768,1.028
16.798,1.028
16.828,1.033
16.858,1.025
16.888,1.030
16.918,1.028
16.948,1.023
16.978,1.025
17.008,1.030
17.038,1.030
17.068,1.027
17.098,1.025
17.128,1.028
17.158,1.030
17.188,1.027
17.218,1.029
17.248,1.033
17.278,1.028
17.308,1.029
17.338,1.029
17.368,1.025
17.398,1.025
17.428,1.027
17.458,1.030
17.488,1.027
17.518,1.026
17.548,1.028
17.578,1.030
17.608,1.027
17.638,1.027
17.668,1.032
17.698,1.026
17.728,1.030
17.758,1.031
17.788,1.027
17.818,1.029
17.848,1.028
17.878,1.028
17.908,1.026
17.938,1.030
17.968,1.029
17.998,1.030
18.028,1.028
18.058,1.027
18.088,1.028
18.118,1.028
18.148,1.026
18.178,1.027
18.208,1.029
18.238,1.025
18.268,1.029
18.298,1.028
18.328,1.029
18.358,1.024
18.388,1.032
18.418,1.029
18.448,1.026
18.478,1.028
18.508,1.030
18.538,1.031
18.568,1.031
18.598,1.029
18.628,1.028
18.658,1.029
18.688,1.029
18.718,1.029
18.748,1.027
18.778,1.031
18.808,1.033
18.838,1.027
18.868,1.027
18.898,1.030
18.928,1.030
18.958,1.027
18.988,1.029
19.018,1.030
19.048,1.030
19.078,1.030
19.108,1.026
19.138,1.028
19.168,1.029
19.198,1.027
19.228,1.027
19.258,1.028
19.288,1.031
19.318,1.028
19.348,1.030
19.378,1.030
19.408,1.028
19.438,1.030
19.468,1.029
19.498,1.028
19.528,1.029
19.558,1.031
19.588,1.033
19.618,1.025
19.648,1.027
19.678,1.027
19.708,1.024
19.738,1.028
19.768,1.026
19.798,1.030
19.828,1.032
19.858,1.031
19.888,1.027
19.918,1.029
19.948,1.029
19.978,1.028
20.008,1.028
20.038,1.031
20.068,1.029
20.098,1.026
20.128,1.028
20.158,1.026
20.188,1.028
20.218,1.026
20.248,1.028
20.278,1.030
20.308,1.026
20.338,1.028
20.368,1.027
20.398,1.031
20.428,1.027
20.458,1.028
20.488,1.028
20.518,1.023
20.548,1.027
20.578,1.028
20.608,1.032
20.638,1.029
20.668,1.029
20.698,1.029
20.728,1.029
20.758,1.030
20.788,1.029
20.818,1.029
20.848,1.028
20.878,1.032
20.908,1.029
20.938,1.028
20.968,1.032
20.998,1.029
21.028,1.027
21.058,1.031
21.088,1.030
21.118,1.029
21.148,1.028
21.178,1.032
21.208,1.029
21.238,1.028
21.268,1.029
21.298,1.030
21.328,1.028
21.358,1.029
21.388,1.031
21.418,1.029
21.448,1.032
21.478,1.027
21.508,1.027
21.538,1.028
21.568,1.029
21.598,1.030
21.628,1.026
21.658,1.030
21.688,1.026
21.718,1.033
21.748,1.027
21.778,1.029
21.808,1.031
21.838,1.028
21.868,1.026
21.898,1.028
21.928,1.032
21.958,1.032
21.988,1.029
22.018,1.029
22.048,1.032
22.078,1.029
22.108,1.031
22.138,1.027
22.168,1.029
22.198,1.031
22.228,1.029
22.258,1.030
22.288,1.028
22.318,1.029
22.348,1.030
22.378,1.032
22.408,1.031
22.438,1.027
22.468,1.030
22.498,1.028
22.528,1.031
22.558,1.027
22.588,1.030
22.618,1.030
22.648,1.029
22.678,1.029
22.708,1.029
22.738,1.028
22.768,1.033
22.798,1.029
22.828,1.030
22.858,1.033
22.888,1.031
22.918,1.029
22.948,1.029
22.978,1.029
23.008,1.028
23.038,1.030
23.068,1.032
23.098,1.029
23.128,1.027
23.158,1.030
23.188,1.027
23.218,1.030
23.248,1.029
23.278,1.029
23.308,1.029
23.338,1.033
23.368,1.028
23.398,1.029
23.428,1.029
23.458,1.028
23.488,1.030
23.518,1.029
23.548,1.031
23.578,1.030
23.608,1.030
23.638,1.027
23.668,1.028
23.698,1.027
23.728,1.033
23.758,1.030
23.788,1.030
23.818,1.031
23.848,1.033
23.878,1.033
23.908,1.029
23.938,1.030
