df_hash,22ZHK4.KZN26T
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3H5E
person_label,V37
date_time_start,2025-10-27_12-49-40.600000_+03
date_time_start_unix,1761554980.6
date_time_end,2025-10-27_13-00-01.553000_+03
length_difference_noticed,no

time,rr_int
10.189,3970
10.481,1295
10.485,280
10.627,15
10.634,10
10.776,15
10.779,15
11.019,20
11.993,475
12.431,905
12.434,435
12.480,15
12.724,15
13.114,280
13.117,465
13.260,20
13.263,10
13.309,10
13.315,15
13.323,20
13.357,15
13.552,250
13.556,10
14.381,830
14.527,10
14.576,175
14.580,10
14.625,10
14.629,10
14.631,10
14.809,10
14.812,15
14.869,160
15.064,10
15.894,355
16.722,805
17.696,845
17.699,905
18.526,10
18.672,855
19.354,180
19.357,635
20.134,10
20.329,825
20.377,190
20.380,10
20.621,260
21.744,665
22.139,555
22.768,375
23.452,470
23.498,790
23.501,10
23.547,15
23.597,35
23.601,15
23.715,135
23.841,10
24.229,520
24.911,10
25.252,820
25.256,160
25.301,15
25.304,20
25.307,15
25.362,10
25.371,15
25.886,25
25.889,610
26.715,10
27.593,920
28.437,780
29.251,835
30.079,885
30.371,850
30.376,225
30.908,10
31.762,535
32.580,835
33.249,855
33.541,785
34.125,220
35.052,600
35.934,895
36.760,935
36.904,795
36.908,175
36.955,20
37.001,15
37.004,15
37.636,25
38.415,595
39.244,855
39.976,790
40.755,735
41.585,820
41.730,870
42.315,10
43.144,620
44.119,895
44.266,920
44.363,325
44.367,10
45.338,530
45.344,420
45.436,15
45.635,255
47.288,850
48.117,900
48.848,775
48.851,755
48.994,10
49.677,190
49.823,595
50.510,240
50.654,585
51.188,10
51.204,750
51.872,10
52.165,700
52.309,10
52.748,460
53.577,335
54.259,800
54.264,730
55.234,10
55.917,950
56.891,815
57.184,875
57.188,250
57.333,60
58.916,10
59.577,1655
59.623,780
59.826,10
60.353,245
60.356,485
60.938,10
61.766,645
62.888,775
63.278,1170
64.107,385
64.936,795
64.941,845
65.228,10
65.813,245
66.499,565
67.324,770
67.329,845
68.301,10
69.136,895
69.275,855
69.810,225
70.639,530
71.666,820
72.345,865
72.348,815
72.589,10
72.592,210
72.641,15
72.649,15
72.652,10
73.028,20
74.004,420
74.539,925
74.686,685
75.515,10
77.220,965
77.224,1560
77.615,10
77.903,500
78.878,290
78.882,875
78.975,55
78.978,25
79.073,20
79.078,15
80.145,15
80.243,1265
80.389,265
80.393,15
80.535,10
80.539,15
80.782,20
80.975,385
81.657,10
82.339,775
82.489,745
82.636,10
82.729,155
82.732,15
82.736,10
82.740,10
82.781,15
82.784,10
82.787,10
83.317,10
84.145,560
84.289,895
84.972,220
85.171,670
85.218,200
85.264,10
85.267,10
85.316,10
85.703,15
86.681,510
87.361,790
87.507,795
88.046,220
88.336,530
88.778,215
89.554,490
89.603,775
90.383,10
90.579,815
90.582,185
90.586,15
90.589,10
90.627,15
90.724,15
91.115,70
91.117,435
91.943,10
92.772,820
92.776,845
93.503,10
94.333,770
95.258,850
96.091,880
96.136,815
96.380,10
97.208,360
97.355,970
98.378,555
98.657,350
99.450,270
101.254,955
101.791,1810
102.619,475
102.627,865
102.766,10
102.775,185
102.912,15
102.915,50
102.960,15
102.964,10
103.111,20
103.397,20
104.180,410
105.009,825
105.155,840
105.837,205
106.571,595
107.348,805
107.351,770
107.498,10
107.546,175
107.550,15
107.713,15
107.789,10
108.080,15
108.908,525
109.059,755
109.591,150
110.566,590
110.859,940
111.249,285
112.077,415
112.223,845
112.228,185
112.320,15
112.809,10
113.637,530
114.468,795
115.306,845
116.124,890
116.269,795
116.952,195
117.781,610
118.610,880
119.487,895
119.494,785
120.316,10
120.416,790
121.145,240
121.973,625
121.977,855
122.656,10
123.489,750
124.313,800
124.319,840
125.193,10
126.019,855
126.751,755
127.531,775
128.362,830
128.366,830
128.652,10
129.043,270
129.188,480
129.336,10
129.921,165
129.931,650
130.604,10
131.676,620
132.406,1125
133.236,785
134.210,835
134.892,870
134.895,775
135.724,10
136.603,765
137.380,840
138.110,875
138.939,730
139.768,765
140.597,825
140.745,850
141.279,230
141.425,525
142.404,185
142.407,615
142.985,10
143.813,875
143.862,870
144.642,10
144.650,770
145.520,10
146.498,860
147.137,905
147.961,790
148.688,765
148.692,800
149.521,10
150.249,795
150.544,745
150.591,170
150.624,20
150.631,35
150.642,25
150.649,10
150.652,10
151.028,15
151.032,500
152.062,10
152.107,890
152.110,10
152.113,10
152.153,10
152.160,20
152.163,20
152.166,15
152.199,20
152.202,20
152.205,75
152.208,10
152.686,10
153.537,560
153.661,810
153.710,185
153.713,15
153.760,15
153.807,10
154.246,20
155.075,550
155.078,815
155.903,10
155.907,835
156.635,10
157.447,705
158.243,795
158.247,805
158.975,10
159.218,775
159.413,350
159.417,10
159.560,10
159.563,10
159.859,365
160.681,10
161.315,795
162.047,795
162.192,730
162.827,10
163.557,730
163.850,745
164.423,335
164.484,535
165.215,10
165.897,730
166.726,780
167.557,810
167.753,820
168.286,10
168.433,750
168.437,160
168.530,20
168.537,10
168.541,15
169.123,10
169.964,555
170.626,840
171.309,765
172.186,735
172.189,785
173.015,10
173.709,775
173.844,725
174.380,190
175.062,515
175.891,760
175.894,775
176.622,10
176.626,705
177.305,10
178.134,740
