df_hash,22ZHK4.KZN26T
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3H5E
person_label,V37
date_time_start,2025-10-27_12-49-40.600000_+03
date_time_start_unix,1761554980.6
date_time_end,2025-10-27_13-00-01.553000_+03
length_difference_noticed,no

time,acc_mag
4.776,1.008
4.806,1.014
4.836,1.013
4.866,1.012
4.896,1.006
4.926,1.015
4.956,1.017
4.986,1.010
5.016,1.007
5.046,1.010
5.076,1.009
5.106,1.013
5.136,1.014
5.166,1.013
5.196,0.999
5.226,1.013
5.256,1.018
5.286,1.004
5.316,1.009
5.346,1.014
5.376,1.008
5.406,1.015
5.436,1.012
5.466,1.014
5.496,1.011
5.526,1.011
5.556,1.008
5.586,1.010
5.616,1.010
5.646,1.009
5.676,1.010
5.706,1.007
5.736,1.015
5.766,1.008
5.796,1.011
5.826,1.018
5.856,1.013
5.886,1.008
5.916,1.008
5.946,1.009
5.976,1.011
6.006,1.015
6.036,1.018
6.066,0.998
6.096,1.011
6.126,1.015
6.156,1.005
6.186,1.013
6.216,1.014
6.246,1.012
6.276,1.009
6.306,1.010
6.336,1.013
6.366,1.013
6.396,1.008
6.426,1.010
6.456,1.012
6.486,1.011
6.516,1.011
6.546,1.011
6.576,1.012
6.606,1.016
6.636,1.018
6.666,1.010
6.696,1.007
6.726,1.010
6.756,1.012
6.786,1.014
6.816,1.013
6.846,1.014
6.876,1.006
6.906,1.018
6.936,1.015
6.966,1.008
6.996,1.012
7.026,1.011
7.056,1.010
7.086,1.010
7.116,1.014
7.146,1.010
7.176,1.014
7.206,1.014
7.236,1.014
7.266,1.011
7.296,1.014
7.326,1.011
7.356,1.007
7.386,1.008
7.416,1.018
7.446,1.015
7.476,1.008
7.506,1.010
7.536,1.014
7.566,1.011
7.596,1.010
7.626,1.013
7.656,1.014
7.686,1.008
7.716,1.014
7.746,1.009
7.776,1.007
7.806,1.012
7.836,1.011
7.866,1.009
7.896,1.014
7.926,1.005
7.956,1.009
7.986,1.008
8.016,1.012
8.046,1.007
8.076,1.015
8.106,1.015
8.136,1.013
8.166,1.013
8.196,1.007
8.226,1.012
8.256,1.014
8.286,1.010
8.316,1.007
8.346,1.010
8.376,1.011
8.406,1.012
8.436,1.016
8.466,1.016
8.496,1.004
8.526,1.015
8.556,1.013
8.586,1.007
8.616,1.008
8.646,1.011
8.676,1.012
8.706,1.012
8.736,1.016
8.766,1.015
8.796,1.011
8.826,1.009
8.856,1.010
8.886,1.014
8.916,1.020
8.946,1.014
8.976,1.011
9.006,1.011
9.036,1.010
9.066,1.016
9.096,1.015
9.126,1.006
9.156,1.015
9.186,1.010
9.216,1.012
9.246,1.014
9.276,1.015
9.306,1.007
9.336,1.013
9.366,1.016
9.396,1.007
9.426,1.007
9.456,1.011
9.486,1.012
9.516,1.013
9.546,1.013
9.576,1.010
9.606,1.016
9.636,1.015
9.666,1.015
9.696,1.013
9.726,1.012
9.756,1.006
9.786,1.009
9.816,1.023
9.846,1.030
9.876,1.019
9.906,1.007
9.936,1.009
9.966,1.004
9.996,1.009
10.026,1.015
10.056,1.018
10.086,1.012
10.116,1.022
10.146,1.019
10.176,1.006
10.206,1.012
10.236,1.014
10.266,1.009
10.296,1.014
10.326,1.011
10.356,1.011
10.386,1.012
10.416,1.010
10.446,1.011
10.476,1.016
10.506,1.014
10.536,1.014
10.566,1.014
10.596,1.010
10.626,1.006
10.656,1.016
10.686,1.018
10.716,1.013
10.746,1.018
10.776,1.018
10.806,1.017
10.836,1.015
10.866,1.016
10.896,1.015
10.926,1.027
10.956,1.027
10.986,1.014
11.016,1.000
11.046,1.010
11.076,1.014
11.106,1.014
11.136,1.015
11.166,1.014
11.196,1.011
11.226,1.012
11.256,1.016
11.286,1.017
11.316,1.017
11.346,1.017
11.376,1.007
11.406,1.010
11.436,1.005
11.466,1.008
11.496,1.014
11.526,1.019
11.556,1.019
11.586,1.016
11.616,1.014
11.646,1.008
11.676,1.013
11.706,1.018
11.736,1.018
11.766,1.009
11.796,1.007
11.826,1.015
11.856,1.017
11.886,1.011
11.916,1.012
11.946,1.015
11.976,1.014
12.006,1.013
12.036,1.014
12.066,1.014
12.096,1.012
12.126,1.014
12.156,1.011
12.186,1.012
12.216,1.013
12.246,1.012
12.276,1.010
12.306,1.018
12.336,1.020
12.366,1.010
12.396,1.007
12.426,1.013
12.456,1.014
12.486,1.012
12.516,1.014
12.546,1.012
12.576,1.011
12.606,1.017
12.636,1.010
12.666,1.012
12.696,1.017
12.726,1.015
12.756,1.014
12.786,1.016
12.816,1.014
12.846,1.010
12.876,1.011
12.906,1.011
12.936,1.013
12.966,1.014
12.996,1.015
13.026,1.011
13.056,1.006
13.086,1.014
13.116,1.017
13.146,1.011
13.176,1.012
13.206,1.014
13.236,1.015
13.266,1.014
13.296,1.016
13.326,1.009
13.356,1.002
13.386,1.017
13.416,1.016
13.446,1.008
13.476,1.010
13.506,1.015
13.536,1.015
13.566,1.012
13.596,1.014
13.626,1.012
13.656,1.011
13.686,1.009
13.716,1.012
13.746,1.013
13.776,1.016
13.806,1.013
13.836,1.007
13.866,1.009
13.896,1.015
13.926,1.019
13.956,1.010
13.986,1.006
14.016,1.009
14.046,1.011
14.076,1.015
14.106,1.017
14.136,1.011
