df_hash,22ZHK4.KZN26T
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3H5E
person_label,V37
date_time_start,2025-10-27_12-49-40.600000_+03
date_time_start_unix,1761554980.6
date_time_end,2025-10-27_13-00-01.553000_+03
length_difference_noticed,no

time,ppg_quality
57.871,38
59.891,23
60.901,17
62.921,2
66.961,16
68.971,47
72.001,72
74.021,74
75.031,81
76.041,90
78.061,102
80.081,82
81.091,78
83.111,70
85.131,86
87.151,70
88.161,65
89.171,74
90.181,81
91.191,83
93.211,91
94.221,89
96.241,88
97.251,59
98.261,50
99.271,29
100.281,16
101.291,9
102.301,2
109.371,19
111.391,42
113.411,66
115.431,83
116.441,87
117.451,90
118.461,92
120.481,92
122.501,89
124.521,86
125.531,87
126.541,87
128.561,85
129.571,88
130.581,90
131.591,86
133.611,89
134.621,95
135.631,98
136.641,98
137.651,99
139.671,99
140.681,97
142.701,100
144.721,95
145.731,92
146.741,93
147.751,96
149.771,94
150.781,93
151.791,95
153.811,87
155.831,82
157.851,81
159.871,82
160.881,81
161.891,78
162.901,81
164.921,94
166.941,96
168.961,90
169.971,87
170.981,82
173.001,70
174.011,70
176.031,66
178.051,66
180.071,73
181.081,77
183.101,89
185.121,88
187.141,90
189.161,89
191.181,89
193.201,87
194.211,86
195.221,86
196.231,87
198.251,85
200.271,83
202.291,82
204.311,88
205.321,91
206.331,90
207.341,89
209.361,81
211.381,75
213.401,78
214.411,79
216.431,71
217.441,61
219.461,58
220.471,46
222.491,55
224.511,34
227.541,40
228.551,44
230.571,49
231.581,15
233.601,3
240.671,16
241.681,43
242.691,65
243.701,70
244.711,79
246.731,96
248.751,95
249.761,94
250.771,84
251.781,79
252.791,73
253.801,70
255.821,66
256.831,61
257.841,59
259.861,44
261.881,34
263.901,34
264.911,29
265.921,43
266.931,39
268.951,53
270.971,64
271.981,73
272.991,58
275.011,62
276.021,43
277.031,47
279.051,36
280.061,32
282.081,24
284.101,36
285.111,38
287.131,45
288.141,49
289.151,48
291.171,45
292.181,40
293.191,42
294.201,46
295.211,41
296.221,35
298.241,24
299.251,25
302.281,37
304.301,21
306.321,22
308.341,19
310.361,19
311.371,2
313.391,5
326.521,5
328.541,39
329.551,55
330.561,54
332.581,51
334.601,51
335.611,48
336.621,37
337.631,26
338.641,29
339.651,34
340.661,31
341.671,43
342.681,51
343.691,55
344.701,48
346.721,57
348.741,50
350.761,57
352.781,83
354.801,100
355.811,102
357.831,117
359.851,89
361.871,65
363.891,24
365.911,15
366.921,7
376.011,18
377.021,26
378.031,36
379.041,45
381.061,59
382.071,62
384.091,75
386.111,68
388.121,79
390.141,76
392.161,65
393.171,67
394.181,71
395.191,72
397.211,71
399.231,70
401.251,80
402.261,66
403.271,47
404.281,27
405.291,20
406.301,13
408.321,3
414.381,8
415.391,9
416.401,12
417.411,5
418.421,3
419.431,24
421.451,21
422.461,25
424.481,49
425.491,52
428.521,56
430.541,48
432.561,45
433.571,40
434.581,48
436.601,55
439.631,53
441.651,54
443.671,61
444.681,55
446.701,57
447.711,46
449.731,44
450.741,45
452.761,14
454.781,17
456.801,13
458.821,4
460.841,15
462.861,20
463.871,19
465.891,14
467.911,22
469.931,20
471.951,9
473.971,6
475.991,24
477.001,28
479.021,27
481.041,31
483.061,69
485.081,60
486.091,56
488.111,54
489.121,51
490.131,58
492.151,50
494.171,1
503.261,26
505.281,60
507.301,20
509.321,14
512.351,6
514.371,12
515.381,24
516.391,57
518.411,89
520.431,89
521.441,94
523.461,104
524.471,104
525.481,101
527.501,91
529.521,85
530.531,89
531.541,82
534.571,51
536.591,43
538.611,41
540.631,34
542.651,19
543.661,13
545.681,7
547.701,25
549.721,25
551.741,29
552.751,40
554.771,52
556.791,37
558.811,21
560.831,20
562.851,22
564.871,10
576.991,9
578.001,15
579.011,8
581.031,23
583.051,13
584.061,18
585.071,20
587.091,43
588.101,52
589.111,77
590.121,84
592.141,102
593.151,118
594.161,110
596.181,126
598.201,107
601.231,85
603.251,87
605.271,107
607.291,101
609.311,98
610.321,85
611.331,78
613.351,75
614.361,51
616.381,43
617.391,42
618.401,36
