df_hash,22ZHK4.KZN26T
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3H5E
person_label,V37
date_time_start,2025-10-27_12-49-40.600000_+03
date_time_start_unix,1761554980.6
date_time_end,2025-10-27_13-00-01.553000_+03
length_difference_noticed,no

time,quality
15.847,53
17.309,54
17.898,59
18.772,61
19.990,61
20.869,71
21.795,43
22.964,37
23.890,29
24.719,28
25.938,32
26.816,41
27.742,41
28.913,59
29.839,67
30.716,79
31.891,76
32.791,75
33.696,72
34.859,80
35.929,78
36.663,73
37.976,74
38.711,75
39.637,71
40.807,64
41.879,73
42.708,58
43.793,53
44.806,41
45.631,30
47.047,34
47.682,34
48.607,42
49.779,46
50.952,46
51.581,65
52.848,55
53.630,54
54.700,45
55.725,50
56.603,48
57.526,40
58.699,31
59.821,26
60.503,31
61.672,20
62.551,0
63.573,24
64.650,18
65.525,24
66.453,20
67.656,32
68.740,49
69.426,73
70.594,75
71.521,71
72.398,75
73.569,62
74.498,54
75.371,47
76.590,38
77.467,27
78.345,23
79.563,35
80.441,42
81.318,44
82.632,35
83.509,26
84.533,24
85.657,22
86.532,65
87.315,68
88.509,70
89.457,64
90.294,72
91.507,78
92.336,74
93.263,69
94.435,72
95.310,68
96.237,65
97.409,33
98.332,28
99.210,20
100.380,26
101.308,29
102.186,29
103.405,24
104.281,0
105.163,0
106.378,41
107.254,39
108.132,72
109.366,70
110.276,73
111.105,66
112.370,71
113.203,64
114.089,68
115.298,66
116.182,64
117.102,74
118.285,73
119.149,80
120.075,75
121.245,75
122.173,78
123.146,73
124.223,77
125.145,77
126.220,79
127.193,76
128.123,77
128.997,76
130.361,77
131.095,69
131.970,51
133.189,39
134.069,38
134.944,44
136.166,42
137.040,54
137.917,72
139.139,64
140.015,66
140.940,64
142.112,67
143.085,69
143.917,70
145.130,74
146.059,77
146.934,77
148.058,77
149.027,75
150.058,71
151.181,72
152.101,81
152.838,68
154.054,70
154.933,71
155.809,68
157.079,69
157.908,66
158.783,64
160.099,63
160.880,64
161.854,62
162.975,61
163.899,62
164.779,40
165.949,39
166.876,44
168.048,43
169.115,48
169.943,54
170.776,78
171.897,72
172.824,71
173.702,70
174.871,65
175.797,69
176.723,75
177.844,81
178.771,74
179.648,66
180.821,71
182.036,69
182.622,78
183.842,79
184.961,73
185.596,70
186.915,78
187.742,81
188.715,79
189.789,81
190.913,78
191.589,82
192.765,82
193.639,80
194.526,81
195.738,76
196.617,80
197.539,82
198.709,76
199.681,80
200.513,78
201.685,77
202.562,74
203.538,75
204.660,70
205.775,74
206.461,64
207.631,32
208.700,23
209.435,26
210.605,17
211.625,20
212.411,22
213.630,21
214.504,21
215.384,17
216.601,0
217.627,9
218.356,11
219.870,12
220.452,5
221.335,3
222.645,4
223.472,0
224.320,0
225.530,23
226.399,39
227.329,36
228.898,31
229.373,40
230.443,37
231.810,36
232.447,40
233.274,21
234.446,25
235.374,28
236.250,25
237.463,28
238.391,31
239.223,32
240.393,44
241.363,38
242.389,50
243.420,67
244.291,54
245.172,40
246.387,31
247.266,29
248.145,23
249.455,27
250.240,0
251.262,0
252.381,31
253.359,0
254.139,0
255.455,0
256.429,30
257.114,54
258.474,48
259.160,50
260.086,52
261.258,60
262.184,68
263.105,61
264.232,40
265.448,26
266.037,31
267.206,26
268.134,0
269.027,0
270.320,0
271.161,5
272.127,0
273.200,0
274.124,0
274.957,42
276.418,37
277.246,37
277.933,37
279.151,35
280.025,35
280.951,32
282.413,24
283.002,24
284.068,35
285.097,38
286.023,39
286.899,39
288.115,51
288.995,55
289.873,55
291.043,58
291.971,58
292.992,55
294.066,54
295.187,46
295.820,46
297.039,41
297.916,49
298.794,62
300.059,69
301.231,71
301.781,61
302.988,33
303.868,26
304.794,36
306.203,50
306.838,27
307.764,0
308.934,0
309.815,0
310.738,3
311.909,0
312.785,2
313.711,0
314.930,27
315.759,19
316.736,22
317.905,24
318.783,16
319.808,22
320.830,27
321.755,0
322.633,38
323.851,32
324.729,1
325.606,6
326.778,10
327.708,33
328.605,37
329.803,33
330.679,21
331.554,28
332.774,38
333.699,31
334.528,31
335.746,43
336.787,38
337.547,28
338.866,23
339.938,30
340.524,0
341.695,0
342.571,0
343.546,37
344.671,43
345.793,27
346.517,26
347.642,24
348.523,32
349.448,34
350.616,26
351.639,22
352.513,21
353.685,20
354.516,15
355.434,37
356.565,54
357.493,38
358.461,22
359.680,0
360.524,0
361.390,0
362.662,0
363.437,30
364.363,27
365.582,22
366.414,27
367.336,24
368.848,0
369.430,0
370.457,15
371.554,0
372.452,35
373.238,0
374.455,29
375.332,25
376.454,26
377.428,49
378.454,46
379.234,55
380.448,62
381.376,63
382.206,56
383.376,60
384.303,62
385.374,73
386.349,74
387.229,47
388.299,48
389.369,47
390.201,50
391.131,42
392.346,46
393.223,49
394.101,61
395.394,70
396.198,55
397.218,48
398.293,43
399.179,27
400.050,11
401.267,13
402.145,14
403.022,11
404.241,13
405.119,12
405.997,22
407.214,0
408.092,0
409.261,0
410.431,0
411.070,0
411.992,43
413.164,47
414.082,44
415.015,38
416.236,34
417.018,38
418.037,23
419.158,28
420.279,40
420.913,17
422.379,23
423.012,26
423.892,21
425.058,19
425.985,0
426.964,26
428.320,0
428.958,54
429.835,61
431.105,62
