df_hash,22ZHK4.KZN26T
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3H5E
person_label,V37
date_time_start,2025-10-27_12-49-40.600000_+03
date_time_start_unix,1761554980.6
date_time_end,2025-10-27_13-00-01.553000_+03
length_difference_noticed,no

time,battery
13.407,52
23.449,52
33.394,52
43.390,52
53.382,52
63.425,52
73.370,52
83.412,52
93.358,52
103.411,52
113.394,52
123.389,52
133.381,52
143.376,52
153.369,52
163.411,52
173.356,52
183.399,52
193.444,52
203.387,52
213.380,52
223.374,52
233.369,52
243.362,52
253.365,51
263.471,51
273.357,51
283.337,51
293.331,51
303.375,51
313.367,51
323.384,51
333.452,51
343.349,51
353.343,51
363.336,51
373.331,51
383.327,51
393.321,51
403.458,51
413.362,51
423.348,51
433.343,51
443.419,51
453.377,51
463.323,51
473.372,51
483.331,51
493.364,51
503.351,51
513.341,51
523.335,51
533.332,51
543.325,51
553.316,51
563.310,51
573.304,51
583.298,51
593.340,51
603.432,51
613.345,51
