df_hash,22ZHK4.DL526H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VAEV
person_label,V69
date_time_start,2025-11-03_11-46-34.998000_+03
date_time_start_unix,1762155994.998
date_time_end,2025-11-03_11-55-22.325000_+03
length_difference_noticed,no

time,perfusion_ir
194.999,0.180
196.463,0.180
199.435,0.180
203.481,0.180
217.862,0.170
222.758,0.170
238.678,0.170
246.479,0.180
251.695,0.180
265.247,0.180
274.707,0.180
276.802,0.190
279.382,0.190
282.212,0.190
284.260,0.190
288.160,0.190
289.037,0.210
289.863,0.210
293.081,0.210
293.136,0.210
294.741,0.210
300.393,0.210
305.954,0.210
307.806,0.210
308.886,0.220
316.971,0.220
322.139,0.220
322.967,0.220
328.040,0.220
341.442,0.210
342.273,0.210
352.802,0.210
355.045,0.210
355.093,0.200
356.946,0.200
357.775,0.200
371.328,0.200
374.497,0.200
375.430,0.200
379.904,0.200
380.733,0.200
380.785,0.200
384.887,0.200
397.357,0.200
406.965,0.200
410.722,0.200
416.128,0.190
416.426,0.190
426.168,0.190
438.849,0.190
439.966,0.200
446.164,0.200
452.740,0.190
454.202,0.190
458.553,0.190
458.931,0.200
471.116,0.200
471.180,0.200
475.217,0.200
