df_hash,22ZHK4.DL526H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VAEV
person_label,V69
date_time_start,2025-11-03_11-46-34.998000_+03
date_time_start_unix,1762155994.998
date_time_end,2025-11-03_11-55-22.325000_+03
length_difference_noticed,no

time,heart_rate
15.567,77
16.668,77
17.594,77
18.472,77
19.888,77
20.568,77
21.492,77
22.615,77
23.542,77
24.715,77
25.638,77
26.521,77
27.393,77
28.612,77
29.565,77
30.367,77
31.587,77
32.487,77
33.340,77
34.559,77
35.437,77
36.314,77
37.533,77
38.411,77
39.288,79
40.507,77
41.384,77
42.283,77
43.481,77
44.361,77
45.237,78
46.456,78
47.332,77
48.209,78
49.432,77
50.306,77
51.232,77
52.402,78
53.279,78
54.206,79
55.376,79
56.253,78
57.179,78
58.398,78
59.248,78
60.153,78
61.323,80
62.201,78
63.127,79
64.297,79
65.175,79
66.101,79
67.294,80
68.197,80
69.075,80
70.245,80
71.171,80
72.048,80
73.218,80
74.144,80
75.024,81
76.241,81
77.119,81
77.996,81
79.225,80
80.092,80
80.970,80
82.188,80
83.066,80
83.949,80
85.163,81
86.068,81
86.917,83
88.136,83
89.062,84
89.891,85
91.110,85
91.987,84
92.913,84
94.084,83
94.961,83
95.838,82
97.057,82
97.935,82
98.844,82
100.041,81
100.908,81
101.835,80
103.005,80
103.882,80
104.808,80
105.996,79
106.856,79
107.782,79
108.956,79
109.830,79
110.756,79
111.926,79
112.803,79
113.730,79
114.902,80
115.877,81
116.704,81
117.874,82
118.804,81
119.726,81
120.847,80
121.855,80
122.651,80
123.857,80
124.747,80
125.660,80
126.844,80
127.721,80
128.599,80
129.817,81
130.695,80
131.572,81
132.791,81
133.669,81
134.613,81
135.765,81
136.642,81
137.523,81
138.739,82
139.616,82
140.545,82
141.761,82
142.590,82
143.517,82
144.686,82
145.565,82
146.490,82
147.660,82
148.539,82
149.464,82
150.705,82
151.511,82
152.438,83
153.607,82
154.634,82
155.411,82
156.581,82
157.507,82
158.385,82
159.555,82
160.481,82
161.359,81
162.529,81
163.503,81
164.332,81
165.651,81
166.428,81
167.306,81
168.480,82
169.406,82
170.280,82
171.450,82
172.376,82
173.254,82
174.472,82
175.350,82
176.227,82
177.446,82
178.421,82
179.201,82
180.426,82
181.298,82
182.467,82
183.393,82
184.273,82
185.148,82
186.367,81
187.245,81
188.144,81
189.341,81
190.254,81
191.146,81
192.315,81
193.192,82
194.119,82
195.288,82
196.166,82
197.092,82
198.263,82
199.142,82
200.066,82
201.236,82
202.113,82
203.040,82
204.210,82
205.087,82
206.013,82
207.183,83
208.061,84
208.987,83
210.157,84
211.085,83
211.961,83
213.131,83
214.057,83
214.935,83
216.105,83
217.080,83
217.912,83
219.079,83
220.005,83
220.882,83
222.052,84
222.981,84
223.856,85
225.075,85
225.952,85
226.830,85
228.048,84
228.928,83
229.852,83
231.022,82
231.904,82
232.777,82
233.996,82
234.873,82
235.751,82
236.969,82
237.847,82
238.773,82
239.943,82
240.821,82
241.747,82
242.917,82
243.794,82
244.721,81
245.891,80
247.012,79
247.695,78
248.865,78
249.745,77
250.668,77
251.838,77
253.011,77
253.642,77
254.812,77
255.738,77
256.616,77
257.823,77
258.712,77
259.592,77
260.759,80
261.688,82
262.563,84
263.791,86
264.659,87
265.537,89
266.757,90
267.633,89
268.511,89
269.730,89
270.607,89
271.780,89
272.703,89
273.604,89
274.606,86
275.682,85
276.568,83
277.432,84
278.661,82
279.528,82
280.454,81
281.624,81
282.505,80
283.428,80
284.598,80
285.484,76
286.402,75
287.572,73
288.498,72
289.427,72
290.570,72
291.479,72
292.377,72
293.545,71
294.467,72
295.323,73
296.788,74
297.419,74
298.322,74
299.516,74
300.398,74
301.271,75
302.494,76
303.370,78
304.251,78
305.463,78
306.341,77
307.218,77
308.441,73
309.341,69
310.241,67
311.411,65
312.288,66
313.214,66
314.384,66
315.262,65
316.188,61
317.388,61
318.236,62
319.162,63
320.332,65
321.258,66
322.431,67
323.307,68
324.238,68
325.109,68
326.281,69
327.206,70
328.086,71
329.253,72
330.180,73
331.057,74
332.276,74
333.153,74
334.032,74
335.249,73
336.373,72
337.006,72
338.223,72
339.101,72
339.978,77
341.197,77
342.074,76
342.963,74
344.174,73
345.053,72
345.926,72
347.144,72
348.025,71
348.949,71
350.118,72
350.996,73
351.949,75
353.092,76
353.969,76
354.896,75
356.066,75
357.238,74
357.869,74
359.039,73
359.942,73
360.843,73
362.015,74
362.939,74
363.820,75
364.987,74
365.917,74
366.791,74
367.961,74
368.887,76
369.767,78
370.943,79
371.861,78
372.738,78
373.957,78
374.837,79
375.736,80
376.931,81
377.808,81
378.686,81
379.910,81
380.832,80
381.659,79
382.878,79
383.756,79
384.633,79
385.852,79
386.732,81
387.607,81
388.826,82
389.752,81
390.584,81
391.800,81
392.677,81
393.554,81
394.773,81
395.651,81
396.577,81
397.747,77
398.631,82
399.561,79
400.967,81
401.598,79
402.524,80
403.696,79
404.621,79
405.509,79
406.668,79
407.605,80
408.476,81
409.642,82
410.569,83
411.446,84
412.664,84
413.542,84
414.419,83
415.641,82
416.516,81
417.404,80
418.612,80
419.512,80
420.367,80
421.586,80
422.477,80
423.342,80
424.559,80
425.437,81
426.317,81
427.533,81
428.465,80
429.339,80
