df_hash,22ZHK4.DL526H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VAEV
person_label,V69
date_time_start,2025-11-03_11-46-34.998000_+03
date_time_start_unix,1762155994.998
date_time_end,2025-11-03_11-55-22.325000_+03
length_difference_noticed,no

time,quality
15.742,52
16.671,44
17.597,46
18.475,48
19.898,40
20.571,44
21.498,44
22.618,44
23.545,42
24.719,45
25.641,43
26.564,38
27.396,41
28.615,39
29.636,46
30.370,45
31.597,47
32.512,45
33.346,37
34.608,45
35.440,51
36.318,48
37.538,47
38.415,46
39.293,57
40.512,45
41.388,44
42.287,39
43.484,36
44.507,30
45.385,29
46.504,28
47.335,27
48.259,34
49.477,41
50.314,44
51.239,33
52.405,35
53.282,44
54.209,46
55.392,46
56.259,52
57.185,58
58.402,53
59.250,43
60.156,40
61.326,52
62.204,37
63.130,44
64.302,47
65.224,56
66.106,57
67.297,56
68.200,49
69.078,50
70.248,46
71.184,49
72.051,50
73.222,54
74.147,64
75.081,66
76.244,69
77.122,68
78.001,63
79.364,58
80.097,43
80.973,33
82.191,27
83.070,25
84.239,30
85.166,35
86.335,39
86.920,52
88.139,52
89.066,57
89.894,64
91.115,57
91.990,62
92.924,63
94.089,60
94.966,61
95.843,64
97.106,49
97.938,49
98.853,50
100.323,48
100.913,40
101.840,44
103.009,50
103.887,49
104.811,50
106.176,54
106.859,57
107.786,52
109.001,51
109.879,51
110.759,54
111.929,54
112.806,58
113.733,55
115.046,61
116.121,58
116.725,57
117.923,61
119.095,59
119.729,59
120.850,60
122.020,61
122.655,56
123.864,57
124.750,54
125.663,41
126.847,38
127.724,36
128.602,30
129.820,39
130.707,36
131.575,45
132.794,59
133.674,52
134.644,55
135.768,54
136.645,56
137.816,55
138.742,51
139.619,60
140.740,58
141.764,66
142.595,63
143.523,67
144.690,73
145.758,72
146.493,69
147.664,69
148.881,69
149.466,69
150.926,66
151.516,60
152.444,51
153.612,48
154.637,46
155.414,47
156.585,53
157.511,54
158.388,60
159.565,56
160.484,55
161.362,54
162.531,54
163.507,58
164.336,56
165.654,60
166.431,52
167.310,55
168.671,60
169.500,62
170.283,59
171.453,53
172.379,52
173.258,51
174.475,53
175.353,52
176.230,47
177.454,50
178.424,49
179.205,46
180.469,39
181.303,42
182.472,43
183.399,56
184.371,57
185.152,54
186.370,62
187.293,65
188.149,63
189.347,60
190.463,61
191.194,67
192.318,72
193.195,73
194.147,69
195.292,68
196.169,69
197.095,69
198.266,66
199.286,72
200.071,69
201.239,62
202.117,48
203.042,38
204.212,26
205.090,30
206.016,36
207.187,40
208.110,49
208.990,60
210.169,66
211.184,53
211.965,53
213.134,49
214.060,46
214.938,43
216.107,46
217.084,48
218.155,49
219.083,49
220.010,56
220.894,53
222.055,58
222.986,66
223.859,65
225.084,65
226.008,61
226.833,60
228.052,56
228.975,64
229.855,75
231.026,82
232.013,77
232.783,63
234.004,60
234.879,62
235.754,61
236.972,59
237.850,56
238.779,58
239.948,51
240.824,51
241.752,49
242.920,46
243.798,42
244.724,44
245.896,49
247.018,51
247.700,58
248.867,63
249.791,52
250.671,38
251.841,33
253.014,20
253.647,23
254.815,24
255.743,22
256.621,17
257.886,26
258.716,24
259.739,19
260.764,28
261.881,32
262.569,34
263.836,38
264.662,42
265.542,59
267.048,47
267.636,40
268.515,26
269.734,33
270.610,0
271.785,32
272.715,34
273.608,27
274.613,40
275.777,38
276.610,38
277.435,0
278.717,31
279.531,42
280.458,36
281.629,36
282.600,39
283.433,28
284.603,30
285.506,39
286.405,55
287.576,58
288.501,49
289.430,61
290.573,66
291.623,58
292.381,60
293.863,62
294.549,66
295.327,67
296.791,63
297.423,63
298.444,60
299.519,54
300.491,49
301.274,51
302.687,58
303.465,57
304.445,51
305.467,47
306.345,36
307.222,33
308.447,63
309.346,74
310.244,69
311.414,59
312.292,33
313.265,0
314.387,0
315.265,0
316.191,33
317.391,61
318.240,58
319.167,60
320.335,63
321.261,66
322.434,74
323.452,77
324.281,79
325.113,71
326.475,70
327.209,65
328.333,65
329.256,64
330.229,64
331.060,65
332.279,63
333.156,56
334.039,53
335.253,52
336.376,52
337.202,37
338.226,36
339.105,41
339.982,44
341.200,44
342.077,53
343.049,67
344.180,71
345.295,72
345.929,73
347.149,68
348.073,63
348.997,65
350.121,54
351.000,54
351.952,71
353.095,66
353.973,73
354.899,72
356.076,72
357.241,74
357.872,75
359.043,71
359.946,72
360.847,68
362.211,71
362.942,61
364.012,57
364.991,47
366.111,45
366.794,39
367.964,38
368.890,40
369.866,43
370.984,58
371.864,53
372.742,49
373.960,46
375.032,39
375.741,54
376.935,59
377.811,59
378.691,76
380.151,79
380.835,84
381.663,67
382.881,51
383.760,44
384.639,38
385.857,42
387.025,41
387.612,48
388.829,49
389.756,42
390.732,20
391.803,0
392.680,0
393.559,34
394.780,0
395.655,24
396.584,27
397.750,40
398.771,29
399.602,31
400.972,36
401.603,29
402.529,24
403.744,24
404.624,24
405.794,22
406.672,29
407.661,50
408.619,59
409.646,66
410.578,69
411.449,72
412.670,74
413.550,72
414.423,69
415.738,74
416.519,76
417.442,80
418.616,30
419.515,29
420.372,0
421.591,0
422.512,0
423.439,0
424.562,0
425.440,37
426.461,48
427.539,30
428.508,24
429.435,0
430.754,0
