df_hash,22ZHK4.DL526H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VAEV
person_label,V69
date_time_start,2025-11-03_11-46-34.998000_+03
date_time_start_unix,1762155994.998
date_time_end,2025-11-03_11-55-22.325000_+03
length_difference_noticed,no

time,spo2
194.951,92
196.317,93
199.432,93
203.384,93
217.717,93
222.753,93
238.582,93
246.190,93
251.598,93
265.102,93
274.705,93
276.798,93
279.288,93
282.171,93
284.116,93
288.023,93
288.989,93
289.818,93
293.035,93
293.132,93
294.693,93
300.251,93
305.808,93
307.758,92
308.878,93
316.968,92
322.091,92
322.920,92
328.037,92
341.395,92
342.270,93
352.757,93
355.042,93
355.091,93
356.801,94
357.629,94
371.324,94
374.493,94
375.425,94
379.859,94
380.590,94
380.782,94
384.883,94
397.214,94
406.961,94
410.719,95
415.983,95
416.421,95
426.125,95
438.798,95
439.871,95
446.159,95
452.737,95
454.057,95
458.550,95
458.786,95
470.925,95
471.177,95
475.214,94
