df_hash,22ZHK4.DL526H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VAEV
person_label,V69
date_time_start,2025-11-03_11-46-34.998000_+03
date_time_start_unix,1762155994.998
date_time_end,2025-11-03_11-55-22.325000_+03
length_difference_noticed,no

time,acc_mag
4.438,1.043
4.468,1.050
4.498,1.048
4.528,1.052
4.558,1.043
4.588,1.049
4.618,1.049
4.648,1.053
4.678,1.051
4.708,1.045
4.738,1.045
4.768,1.048
4.798,1.049
4.828,1.051
4.858,1.052
4.888,1.054
4.918,1.050
4.948,1.046
4.978,1.050
5.008,1.051
5.038,1.043
5.068,1.043
5.098,1.049
5.128,1.056
5.158,1.055
5.188,1.048
5.218,1.050
5.248,1.048
5.278,1.048
5.308,1.050
5.338,1.056
5.368,1.045
5.398,1.052
5.428,1.054
5.458,1.054
5.488,1.048
5.518,1.046
5.548,1.043
5.578,1.042
5.608,1.055
5.638,1.053
5.668,1.052
5.698,1.051
5.728,1.051
5.758,1.048
5.788,1.046
5.818,1.048
5.848,1.047
5.878,1.054
5.908,1.051
5.938,1.048
5.968,1.049
5.998,1.050
6.028,1.052
6.058,1.051
6.088,1.050
6.118,1.044
6.148,1.056
6.178,1.053
6.208,1.050
6.238,1.045
6.268,1.045
6.298,1.048
6.328,1.049
6.358,1.054
6.388,1.050
6.418,1.056
6.448,1.051
6.478,1.052
6.508,1.054
6.538,1.045
6.568,1.044
6.598,1.046
6.628,1.059
6.658,1.046
6.688,1.050
6.718,1.051
6.748,1.053
6.778,1.050
6.808,1.048
6.838,1.048
6.868,1.051
6.898,1.052
6.928,1.049
6.958,1.049
6.988,1.047
7.018,1.048
7.048,1.050
7.078,1.058
7.108,1.050
7.138,1.054
7.168,1.047
7.198,1.053
7.228,1.054
7.258,1.045
7.288,1.048
7.318,1.051
7.348,1.054
7.378,1.052
7.408,1.048
7.438,1.050
7.468,1.049
7.498,1.050
7.528,1.054
7.558,1.049
7.588,1.044
7.618,1.049
7.648,1.052
7.678,1.050
7.708,1.052
7.738,1.051
7.768,1.049
7.798,1.051
7.828,1.046
7.858,1.051
7.888,1.053
7.918,1.053
7.948,1.050
7.978,1.052
8.008,1.052
8.038,1.052
8.068,1.050
8.098,1.055
8.128,1.049
8.158,1.043
8.188,1.046
8.218,1.050
8.248,1.050
8.278,1.050
8.308,1.039
8.338,1.050
8.368,1.052
8.398,1.057
8.428,1.049
8.458,1.049
8.488,1.048
8.518,1.046
8.548,1.050
8.578,1.050
8.608,1.055
8.638,1.047
8.668,1.051
8.698,1.049
8.728,1.051
8.758,1.042
8.788,1.051
8.818,1.049
8.848,1.051
8.878,1.053
8.908,1.047
8.938,1.042
8.968,1.047
8.998,1.053
9.028,1.046
9.058,1.045
9.088,1.050
9.118,1.053
9.148,1.053
9.178,1.051
9.208,1.049
9.238,1.049
9.268,1.050
9.298,1.051
9.328,1.052
9.358,1.050
9.388,1.051
9.418,1.052
9.448,1.053
9.478,1.045
9.508,1.047
9.538,1.048
9.568,1.044
9.598,1.047
9.628,1.056
9.658,1.048
9.688,1.045
9.718,1.050
9.748,1.051
9.778,1.052
9.808,1.055
9.838,1.056
9.868,1.050
9.898,1.056
9.928,1.052
9.958,1.050
9.988,1.046
10.018,1.045
10.048,1.050
10.078,1.051
10.108,1.051
10.138,1.053
10.168,1.054
10.198,1.049
10.228,1.051
10.258,1.052
10.288,1.056
10.318,1.045
10.348,1.047
10.378,1.049
10.408,1.054
10.438,1.053
10.468,1.048
10.498,1.047
10.528,1.053
10.558,1.050
10.588,1.051
10.618,1.050
10.648,1.042
10.678,1.052
10.708,1.052
10.738,1.050
10.768,1.047
10.798,1.053
10.828,1.046
10.858,1.047
10.888,1.051
10.918,1.045
10.948,1.051
10.978,1.054
11.008,1.062
11.038,1.048
11.068,1.051
11.098,1.050
11.128,1.048
11.158,1.048
11.188,1.053
11.218,1.050
11.248,1.047
11.278,1.044
11.308,1.048
11.338,1.045
11.368,1.050
11.398,1.057
11.428,1.047
11.458,1.053
11.488,1.055
11.518,1.047
11.548,1.046
11.578,1.047
11.608,1.046
11.638,1.049
11.668,1.054
11.698,1.052
11.728,1.052
11.758,1.049
11.788,1.053
11.818,1.046
11.848,1.051
11.878,1.048
11.908,1.049
11.938,1.046
11.968,1.046
11.998,1.053
12.028,1.050
12.058,1.052
12.088,1.052
12.118,1.051
12.148,1.054
12.178,1.053
12.208,1.050
12.238,1.048
12.268,1.051
12.298,1.048
12.328,1.052
12.358,1.048
12.388,1.050
12.418,1.053
12.448,1.050
12.478,1.050
12.508,1.048
12.538,1.048
12.568,1.051
12.598,1.054
12.628,1.049
12.658,1.047
12.688,1.050
12.718,1.051
12.748,1.044
12.778,1.051
12.808,1.054
12.838,1.057
12.868,1.051
12.898,1.048
12.928,1.052
12.958,1.055
12.988,1.051
13.018,1.049
13.048,1.043
13.078,1.058
13.108,1.056
13.138,1.049
13.168,1.042
13.198,1.050
13.228,1.051
13.258,1.054
13.288,1.049
13.318,1.051
13.348,1.051
13.378,1.051
13.408,1.053
13.438,1.049
13.468,1.054
13.498,1.050
13.528,1.050
13.558,1.052
13.588,1.056
13.618,1.052
13.648,1.046
13.678,1.046
13.708,1.045
13.738,1.049
13.768,1.050
13.798,1.056
13.828,1.052
