df_hash,22ZHK4.8FYAMK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZPV5
person_label,V99
date_time_start,2025-11-04_19-09-59.215000_+03
date_time_start_unix,1762268999.215
date_time_end,2025-11-04_19-18-14.354000_+03
length_difference_noticed,no

time,quality
11.595,100
12.472,0
13.691,0
14.572,18
15.446,23
16.710,24
17.542,40
18.516,33
19.638,19
20.516,33
21.443,38
22.612,30
23.539,42
24.416,61
25.635,75
26.515,74
27.546,47
28.752,0
29.733,22
30.661,24
31.591,34
32.493,27
33.337,27
34.605,28
35.437,38
36.357,40
37.534,39
38.408,56
39.335,41
40.744,41
41.430,65
42.335,61
43.478,43
44.696,57
45.281,60
46.646,51
47.380,69
48.307,51
49.523,30
50.354,40
51.229,61
52.476,50
53.325,48
54.251,66
55.617,65
56.299,54
57.226,60
58.395,56
59.370,52
60.199,54
61.469,51
62.298,55
63.173,69
64.389,63
65.269,45
66.146,51
67.346,47
68.245,35
69.161,34
70.346,53
71.369,44
72.104,51
73.415,56
74.193,42
75.118,28
76.287,42
77.210,29
78.090,24
79.309,50
80.210,60
81.064,58
82.238,70
83.162,79
84.282,78
85.208,71
86.135,54
87.352,64
88.228,58
89.108,52
89.986,57
91.204,67
92.371,59
92.959,57
94.178,55
95.059,61
95.984,46
97.157,27
98.030,32
99.006,58
100.126,52
101.163,36
101.978,45
103.100,48
104.028,33
104.903,26
106.265,18
107.291,20
107.877,0
109.047,0
109.974,0
110.953,25
112.070,27
112.947,27
113.922,38
115.084,31
115.923,28
116.801,50
118.017,50
118.894,56
119.821,63
120.998,65
121.877,67
122.892,61
123.965,55
124.891,55
126.012,59
126.938,55
128.105,53
128.744,40
129.962,52
130.843,32
131.762,30
132.982,32
133.812,34
134.787,46
135.954,49
137.029,50
137.712,41
138.883,34
139.809,42
140.686,44
141.856,43
142.782,50
143.661,50
144.830,51
145.756,66
146.877,66
147.852,53
149.022,42
149.802,46
150.877,35
151.706,36
152.629,30
153.845,56
154.972,42
155.798,29
157.215,34
157.749,28
158.580,25
159.844,27
160.817,47
161.697,49
162.770,29
163.648,42
164.527,57
165.792,52
166.670,47
167.597,63
168.718,60
169.689,55
170.474,60
171.693,55
172.569,54
173.446,66
174.665,64
175.593,33
176.519,36
177.639,59
178.518,51
179.443,55
180.613,72
181.490,70
182.514,68
183.586,71
184.707,68
185.390,69
186.627,67
187.632,58
188.510,51
189.583,54
190.460,44
191.389,40
192.799,46
193.495,25
194.363,34
195.545,41
196.556,41
197.723,37
198.797,46
199.384,56
200.308,60
201.576,37
202.455,36
203.327,56
204.646,43
205.572,42
206.255,53
207.425,61
208.352,42
209.325,48
210.448,38
211.325,48
212.212,50
213.422,42
214.314,31
215.252,0
216.397,4
217.276,0
218.245,7
219.661,0
220.344,0
221.221,0
222.535,0
223.220,0
224.147,0
225.316,0
226.245,0
227.121,0
228.290,12
229.217,16
230.094,22
231.314,39
232.334,47
233.116,29
234.287,23
235.164,20
236.090,0
237.260,0
238.281,0
239.016,0
240.234,0
241.209,0
242.038,0
243.208,0
244.086,0
245.012,22
246.182,19
247.084,23
248.031,0
249.156,8
250.083,13
250.959,5
252.129,0
253.104,0
253.933,0
255.115,27
256.083,34
256.907,23
258.125,29
259.026,0
259.882,0
261.100,0
262.001,0
262.855,18
264.073,32
264.954,33
265.879,23
267.048,25
267.925,25
268.851,24
270.023,30
270.950,10
272.116,0
273.186,4
274.019,0
274.810,26
275.968,22
276.894,17
278.069,19
279.039,0
280.160,0
280.809,28
281.964,37
283.133,22
283.769,25
284.938,22
285.816,26
286.848,17
287.915,0
288.792,30
289.718,26
290.886,25
291.764,0
292.689,0
293.859,29
294.789,0
295.669,0
296.879,0
297.809,3
298.780,10
300.196,4
300.882,35
301.613,29
302.830,33
303.707,28
304.585,37
305.998,33
306.681,0
307.607,2
308.871,20
309.950,11
310.727,0
311.751,0
312.674,0
313.566,28
314.725,45
315.651,53
316.577,52
317.771,55
318.819,59
319.654,45
320.815,35
321.755,0
322.478,0
323.694,0
324.578,0
325.451,0
326.669,0
327.546,34
328.518,0
329.642,0
330.601,0
331.592,0
332.713,33
333.545,43
334.420,0
335.592,0
336.520,16
337.397,20
338.614,10
339.490,12
340.367,1
341.587,33
342.761,29
343.438,0
344.706,0
345.438,0
346.363,6
347.534,25
348.606,0
349.386,21
350.507,19
351.435,18
352.454,19
353.482,24
354.408,33
355.288,20
356.649,25
357.622,40
358.304,33
359.430,31
360.357,32
361.327,27
362.452,31
363.374,32
364.206,30
365.474,19
366.303,20
367.180,27
368.744,28
369.276,0
370.204,27
371.380,23
372.254,26
373.225,27
374.444,29
375.272,27
376.202,36
377.515,37
378.344,26
379.367,0
380.342,0
381.220,5
382.098,7
383.317,6
384.340,0
385.364,0
386.292,29
387.190,32
388.237,46
389.310,43
390.142,38
391.067,19
392.296,22
393.166,30
394.052,29
395.262,23
396.140,22
397.307,28
398.237,0
399.111,0
400.281,0
401.207,0
402.086,0
403.303,7
404.182,0
405.133,0
406.031,0
407.157,0
408.225,17
408.961,28
410.129,45
411.056,35
411.933,38
413.110,43
414.031,48
415.107,48
416.125,36
417.003,40
417.980,26
419.100,25
419.977,33
420.903,30
422.318,30
422.952,17
424.195,18
425.047,17
425.973,27
