df_hash,22ZHK4.8FYAMK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZPV5
person_label,V99
date_time_start,2025-11-04_19-09-59.215000_+03
date_time_start_unix,1762268999.215
date_time_end,2025-11-04_19-18-14.354000_+03
length_difference_noticed,no

time,heart_rate
11.592,44
12.469,44
13.688,44
14.565,44
15.443,44
16.701,44
17.539,44
18.465,44
19.635,44
20.513,44
21.439,44
22.609,44
23.536,44
24.413,96
25.632,96
26.509,96
27.536,91
28.567,93
29.728,92
30.656,92
31.584,92
32.458,92
33.334,92
34.557,92
35.431,92
36.348,92
37.527,92
38.404,94
39.331,92
40.503,92
41.384,91
42.329,90
43.474,90
44.404,91
45.278,92
46.452,92
47.374,91
48.301,91
49.519,91
50.348,91
51.226,95
52.472,96
53.322,96
54.206,95
55.613,95
56.296,95
57.222,96
58.392,96
59.367,96
60.196,96
61.418,96
62.292,96
63.170,97
64.381,97
65.266,96
66.143,95
67.339,95
68.240,95
69.158,95
70.337,97
71.362,96
72.091,95
73.409,94
74.187,93
75.113,93
76.283,95
77.165,93
78.087,93
79.260,92
80.207,92
81.061,92
82.231,93
83.157,93
84.278,94
85.205,95
86.131,96
87.060,98
88.179,99
89.105,99
89.982,98
91.201,98
92.156,98
92.956,99
94.175,99
95.052,100
95.978,99
97.148,99
98.027,99
99.001,95
100.122,93
101.149,94
101.928,94
103.096,94
104.024,93
104.900,93
106.092,93
107.008,93
107.874,93
109.044,93
109.970,93
110.949,93
112.066,93
112.944,93
113.824,93
115.079,87
115.917,90
116.795,86
118.014,87
118.891,86
119.817,87
120.988,87
121.874,87
122.889,87
123.961,87
124.887,87
125.768,87
126.935,87
127.863,87
128.739,87
129.957,88
130.836,87
131.712,87
132.935,87
133.809,87
134.690,87
135.930,87
136.805,87
137.709,87
138.879,87
139.805,88
140.683,89
141.853,89
142.779,88
143.656,87
144.826,86
145.753,85
146.682,86
147.849,86
148.750,85
149.612,85
150.871,85
151.700,85
152.626,85
153.802,84
154.969,83
155.671,83
157.212,83
157.746,83
158.574,83
159.747,83
160.624,83
161.552,83
162.766,83
163.644,87
164.522,89
165.789,91
166.666,91
167.593,91
168.715,91
169.593,92
170.469,92
171.688,92
172.565,91
173.443,90
174.661,89
175.588,89
176.515,89
177.635,92
178.513,92
179.439,92
180.609,92
181.487,92
182.415,93
183.583,93
184.512,94
185.387,94
186.622,94
187.514,94
188.364,95
189.579,96
190.457,95
191.383,95
192.577,94
193.489,94
194.357,94
195.527,95
196.553,95
197.423,94
198.504,93
199.378,91
200.304,90
201.482,91
202.449,90
203.280,93
204.451,93
205.378,93
206.252,92
207.422,91
208.348,91
209.246,92
210.444,91
211.322,95
212.199,96
213.418,94
214.295,94
215.247,94
216.392,94
217.269,94
218.198,94
219.373,94
220.247,94
221.174,94
222.344,94
223.217,94
224.143,94
225.313,94
226.239,94
227.117,94
228.287,94
229.213,94
230.091,93
231.309,95
232.194,96
233.104,97
234.283,96
235.161,96
236.087,96
237.257,96
238.186,96
239.012,96
240.231,96
241.129,96
242.034,96
243.205,96
244.082,96
245.008,96
246.178,96
247.080,96
247.982,96
249.153,96
250.078,96
250.956,96
252.126,96
253.101,96
253.930,96
255.109,90
256.029,88
256.903,90
258.122,89
259.023,89
259.877,89
261.096,89
261.997,89
262.851,89
264.070,91
264.947,92
265.873,91
267.043,91
267.921,91
268.847,91
270.017,90
270.944,90
271.822,90
273.001,90
273.939,90
274.795,90
275.965,90
276.891,90
278.065,90
279.036,90
279.908,90
280.791,90
281.961,89
282.849,89
283.765,89
284.935,89
285.813,89
286.841,89
287.909,89
288.786,83
289.712,86
290.882,85
291.760,85
292.686,84
293.856,81
294.783,82
295.660,82
296.864,82
297.805,81
298.758,81
299.859,81
300.750,81
301.607,83
302.826,82
303.704,82
304.581,81
305.803,81
306.677,81
307.604,81
308.782,81
309.947,81
310.582,81
311.747,81
312.625,81
313.551,85
314.721,87
315.647,89
316.526,90
317.768,91
318.623,91
319.649,92
320.718,91
321.750,91
322.472,91
323.691,91
324.569,91
325.446,91
326.665,91
327.543,91
328.469,91
329.639,91
330.597,91
331.446,91
332.617,92
333.539,93
334.416,92
335.586,92
336.513,92
337.390,92
338.610,92
339.486,92
340.364,92
341.583,86
342.464,92
343.342,89
344.703,90
345.434,89
346.315,89
347.530,89
348.412,89
349.383,89
350.504,89
351.430,89
352.329,89
353.478,94
354.404,97
355.282,94
356.458,94
357.419,89
358.255,88
359.425,89
360.352,86
361.234,87
362.448,86
363.336,86
364.203,86
365.471,86
366.299,86
367.177,86
368.740,86
369.273,86
370.199,91
371.369,93
372.247,95
373.222,93
374.441,97
375.269,94
376.196,95
377.320,93
378.340,94
379.123,93
380.339,93
381.217,93
382.094,93
383.313,93
384.337,93
385.069,93
386.287,88
387.187,89
388.094,87
389.267,86
390.138,85
391.064,85
392.292,85
393.161,85
394.038,85
395.257,85
396.134,85
397.035,85
398.231,85
399.108,85
399.989,85
401.204,85
402.082,85
403.012,85
404.178,85
405.129,85
406.003,85
407.152,85
408.081,85
408.956,80
410.126,78
411.052,76
411.929,74
413.100,71
414.026,66
414.940,63
416.122,65
417.000,65
417.975,64
419.096,64
419.973,64
420.900,64
422.314,64
422.947,64
424.192,64
425.043,64
425.970,64
