df_hash,22ZHK4.8FYAMK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZPV5
person_label,V99
date_time_start,2025-11-04_19-09-59.215000_+03
date_time_start_unix,1762268999.215
date_time_end,2025-11-04_19-18-14.354000_+03
length_difference_noticed,no

time,ppg_quality
57.447,69
59.467,74
61.487,70
62.497,68
63.507,69
65.527,79
66.537,85
68.557,85
69.567,81
70.577,78
72.597,74
74.617,55
77.647,29
79.667,15
81.687,17
83.707,30
85.727,45
87.747,60
89.767,71
90.777,72
91.787,76
92.797,77
94.817,74
96.837,78
98.857,81
99.867,82
100.877,82
102.897,84
103.907,83
105.927,63
107.947,44
108.957,35
109.967,29
111.987,35
114.007,30
115.017,41
116.027,54
117.037,69
119.057,80
121.077,75
123.097,72
124.107,73
126.127,69
127.137,66
128.147,73
130.167,76
132.187,89
134.207,100
136.227,103
137.237,99
138.247,93
139.257,90
141.277,101
143.297,100
145.317,94
147.337,94
148.347,96
149.357,97
150.367,91
152.387,86
154.407,85
156.427,81
158.447,88
160.467,87
162.487,82
163.497,78
165.517,78
167.537,78
169.557,62
171.577,59
174.607,60
175.617,63
176.627,62
178.647,64
180.667,77
181.677,79
182.687,81
183.697,82
185.717,84
187.737,84
189.757,78
190.767,69
192.787,68
193.797,63
194.807,58
196.827,53
198.847,53
200.867,61
201.877,64
202.887,65
203.897,72
204.907,80
206.927,89
207.937,89
208.947,87
209.957,89
211.977,89
213.997,67
216.017,49
219.047,65
221.067,49
223.087,37
226.117,43
227.127,34
228.137,34
229.147,29
230.157,27
232.177,42
234.197,70
236.217,90
237.227,83
239.247,95
240.257,104
241.267,88
243.287,113
244.297,91
245.307,79
247.327,86
249.347,59
250.357,46
251.367,74
252.377,88
253.387,85
256.417,48
258.437,40
260.457,50
262.477,10
264.497,8
267.527,58
268.537,61
269.547,53
270.557,41
271.567,40
273.587,59
275.607,52
277.627,32
278.637,25
280.657,37
282.677,49
284.697,54
285.707,59
287.727,65
288.737,61
291.767,41
292.777,31
293.787,29
295.807,34
297.827,31
298.837,21
313.987,23
316.007,31
318.027,43
320.047,67
322.067,95
323.077,89
324.087,75
325.096,65
327.117,84
329.137,77
331.157,39
333.177,31
334.187,44
335.197,52
336.207,47
338.227,20
339.237,18
340.247,45
341.257,43
342.267,40
344.287,34
347.317,44
349.337,59
351.357,54
352.367,63
353.377,63
354.387,61
355.397,58
357.417,76
358.427,78
360.447,72
361.457,61
362.467,49
363.477,45
364.487,42
365.497,40
366.507,35
367.517,24
368.527,22
371.557,29
373.577,61
375.596,81
376.607,82
378.627,73
380.647,86
382.667,86
384.687,71
386.707,54
388.727,69
389.737,69
391.757,56
392.767,45
393.777,33
395.797,35
397.817,23
401.857,3
402.867,6
404.887,20
405.897,31
406.907,28
408.927,26
409.937,22
411.957,25
412.967,37
413.977,39
414.987,44
415.997,39
418.017,53
419.027,69
420.037,78
422.057,69
423.067,64
425.087,49
426.096,46
427.107,55
429.127,43
431.147,43
433.167,47
434.177,43
436.197,45
437.207,46
438.217,45
439.227,46
440.237,46
442.257,43
444.277,56
445.287,64
446.297,68
447.307,62
449.327,54
450.337,57
451.346,57
453.367,59
455.387,49
457.407,59
460.437,51
462.457,43
464.477,43
466.497,54
467.507,56
469.527,55
471.547,72
473.567,66
475.587,78
477.607,57
479.627,52
481.647,55
483.667,51
484.677,39
485.687,25
486.697,28
488.717,29
490.737,23
