df_hash,22ZHK4.8FYAMK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZPV5
person_label,V99
date_time_start,2025-11-04_19-09-59.215000_+03
date_time_start_unix,1762268999.215
date_time_end,2025-11-04_19-18-14.354000_+03
length_difference_noticed,no

time,acc_mag
4.402,1.021
4.432,1.022
4.462,1.024
4.492,1.024
4.522,1.024
4.552,1.022
4.582,1.021
4.612,1.025
4.642,1.027
4.672,1.030
4.702,1.024
4.732,1.020
4.762,1.024
4.792,1.027
4.822,1.025
4.852,1.025
4.882,1.021
4.912,1.029
4.942,1.023
4.972,1.024
5.002,1.027
5.032,1.025
5.062,1.024
5.092,1.025
5.122,1.023
5.152,1.026
5.182,1.021
5.212,1.027
5.242,1.024
5.272,1.028
5.302,1.026
5.332,1.025
5.362,1.024
5.392,1.027
5.422,1.021
5.452,1.022
5.482,1.027
5.512,1.032
5.542,1.022
5.572,1.025
5.602,1.024
5.632,1.024
5.662,1.025
5.692,1.025
5.722,1.022
5.752,1.026
5.782,1.021
5.812,1.028
5.842,1.030
5.872,1.025
5.902,1.021
5.932,1.024
5.962,1.026
5.992,1.029
6.022,1.027
6.052,1.021
6.082,1.027
6.112,1.030
6.142,1.021
6.172,1.022
6.202,1.026
6.232,1.022
6.262,1.023
6.292,1.029
6.322,1.026
6.352,1.022
6.382,1.021
6.412,1.029
6.442,1.029
6.472,1.027
6.502,1.024
6.532,1.024
6.562,1.028
6.592,1.024
6.622,1.029
6.652,1.018
6.682,1.026
6.712,1.024
6.742,1.021
6.772,1.025
6.802,1.028
6.832,1.021
6.862,1.024
6.892,1.026
6.922,1.022
6.952,1.024
6.982,1.027
7.012,1.021
7.042,1.023
7.072,1.029
7.102,1.024
7.132,1.022
7.162,1.024
7.192,1.024
7.222,1.024
7.252,1.029
7.282,1.021
7.312,1.024
7.342,1.025
7.372,1.023
7.402,1.025
7.432,1.027
7.462,1.025
7.492,1.022
7.522,1.027
7.552,1.026
7.582,1.026
7.612,1.025
7.642,1.021
7.672,1.024
7.702,1.028
7.732,1.028
7.762,1.021
7.792,1.027
7.822,1.025
7.852,1.027
7.882,1.028
7.912,1.025
7.942,1.025
7.972,1.026
8.002,1.022
8.032,1.025
8.062,1.024
8.092,1.024
8.122,1.029
8.152,1.024
8.182,1.024
8.212,1.027
8.242,1.021
8.272,1.027
8.302,1.024
8.332,1.027
8.362,1.026
8.392,1.022
8.422,1.027
8.452,1.025
8.482,1.022
8.512,1.022
8.542,1.029
8.572,1.028
8.602,1.023
8.632,1.024
8.662,1.028
8.692,1.030
8.722,1.025
8.752,1.023
8.782,1.025
8.812,1.025
8.842,1.021
8.872,1.027
8.902,1.022
8.932,1.025
8.962,1.025
8.992,1.026
9.022,1.028
9.052,1.030
9.082,1.026
9.112,1.019
9.142,1.025
9.172,1.025
9.202,1.024
9.232,1.023
9.262,1.022
9.292,1.024
9.322,1.028
9.352,1.029
9.382,1.026
9.412,1.022
9.442,1.030
9.472,1.024
9.502,1.028
9.532,1.027
9.562,1.024
9.592,1.024
9.622,1.024
9.652,1.026
9.682,1.023
9.712,1.028
9.742,1.033
9.772,1.025
9.802,1.021
9.832,1.024
9.862,1.024
9.892,1.025
9.922,1.027
9.952,1.023
9.982,1.021
10.012,1.028
10.042,1.024
10.072,1.031
10.102,1.029
10.132,1.023
10.162,1.025
10.192,1.025
10.222,1.028
10.252,1.025
10.282,1.024
10.312,1.026
10.342,1.024
10.372,1.022
10.402,1.022
10.432,1.028
10.462,1.025
10.492,1.028
10.522,1.026
10.552,1.025
10.582,1.026
10.612,1.022
10.642,1.027
10.672,1.025
10.702,1.025
10.732,1.027
10.762,1.027
10.792,1.026
10.822,1.022
10.852,1.029
10.882,1.030
10.912,1.020
10.942,1.022
10.972,1.027
11.002,1.026
11.032,1.025
11.062,1.023
11.092,1.026
11.122,1.025
11.152,1.028
11.182,1.031
11.212,1.028
11.242,1.022
11.272,1.025
11.302,1.025
11.332,1.026
11.362,1.028
11.392,1.023
11.422,1.028
11.452,1.024
11.482,1.022
11.512,1.023
11.542,1.026
11.572,1.021
11.602,1.024
11.632,1.024
11.662,1.020
11.692,1.025
11.722,1.029
11.752,1.024
11.782,1.025
11.812,1.025
11.842,1.025
11.872,1.026
11.902,1.025
11.932,1.021
11.962,1.030
11.992,1.028
12.022,1.025
12.052,1.022
12.082,1.027
12.112,1.022
12.142,1.024
12.172,1.026
12.202,1.024
12.232,1.026
12.262,1.021
12.292,1.028
12.322,1.033
12.352,1.027
12.382,1.022
12.412,1.021
12.442,1.023
12.472,1.027
12.502,1.021
12.532,1.021
12.562,1.027
12.592,1.028
12.622,1.023
12.652,1.023
12.682,1.024
12.712,1.027
12.742,1.025
12.772,1.025
12.802,1.028
12.832,1.027
12.862,1.026
12.892,1.022
12.922,1.029
12.952,1.024
12.982,1.024
13.012,1.028
13.042,1.023
13.072,1.025
13.102,1.025
13.132,1.028
13.162,1.030
13.192,1.024
13.222,1.029
13.252,1.026
13.282,1.023
13.312,1.026
13.342,1.026
13.372,1.027
13.402,1.024
13.432,1.025
13.462,1.027
13.492,1.028
13.522,1.025
13.552,1.026
13.582,1.021
13.612,1.027
13.642,1.028
13.672,1.026
13.702,1.027
13.732,1.024
13.762,1.028
