df_hash,22ZHK4.8FYAMK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZPV5
person_label,V99
date_time_start,2025-11-04_19-09-59.215000_+03
date_time_start_unix,1762268999.215
date_time_end,2025-11-04_19-18-14.354000_+03
length_difference_noticed,no

time,temperature
4.404,32.000
5.352,32.000
6.378,32.031
7.470,32.094
8.375,32.156
9.350,32.188
10.373,32.250
11.377,32.312
12.395,32.344
13.347,32.406
14.371,32.469
15.348,32.469
16.467,32.531
17.493,32.531
18.368,32.562
19.587,32.594
20.367,32.625
21.391,32.625
22.366,32.625
23.390,32.594
24.365,32.625
25.394,32.625
26.364,32.656
27.387,32.719
28.559,32.688
29.386,32.719
30.364,32.719
31.417,32.750
32.362,32.750
33.384,32.844
34.553,32.844
35.382,32.969
36.365,32.938
37.386,32.969
38.359,33.031
39.626,33.062
40.355,33.125
41.378,33.156
42.402,33.219
43.377,33.219
44.401,33.219
45.376,33.188
46.351,33.219
47.718,33.250
48.371,33.250
49.373,33.250
50.495,33.281
51.375,33.281
52.351,33.281
53.371,33.312
54.346,33.375
55.423,33.375
56.346,33.406
57.420,33.406
58.344,33.375
59.375,33.406
60.391,33.375
61.415,33.375
62.344,33.406
63.365,33.438
64.394,33.438
65.364,33.438
66.339,33.438
67.363,33.500
68.345,33.531
69.365,33.531
70.531,33.625
71.447,33.688
72.383,33.688
73.422,33.719
74.383,33.750
75.358,33.781
76.773,33.750
77.441,33.750
78.380,33.781
79.355,33.812
80.378,33.781
81.378,33.750
82.378,33.719
83.353,33.719
84.376,33.750
85.351,33.719
86.380,33.719
87.528,33.781
88.375,33.750
89.349,33.719
90.373,33.719
91.348,33.750
92.377,33.781
93.346,33.750
94.370,33.812
95.393,33.844
96.369,33.938
97.343,33.906
98.395,33.938
99.362,33.969
100.366,33.969
101.342,33.969
102.365,34.031
103.681,34.000
104.464,34.062
105.339,34.062
106.400,34.031
107.338,34.031
108.362,34.031
109.337,34.062
110.360,34.125
111.339,34.125
112.360,34.156
113.440,34.188
114.604,34.156
115.333,34.125
116.357,34.156
117.380,34.188
118.357,34.219
119.330,34.219
120.354,34.219
121.378,34.219
122.353,34.219
123.378,34.188
124.354,34.156
125.375,34.094
126.351,34.125
127.406,34.125
128.352,34.125
129.373,34.125
130.375,34.125
131.372,34.125
132.347,34.156
133.371,34.156
134.345,34.188
135.369,34.281
136.346,34.281
137.368,34.281
138.343,34.344
139.367,34.344
140.370,34.344
141.365,34.344
142.340,34.375
143.364,34.406
144.388,34.438
145.363,34.438
146.338,34.438
147.363,34.438
148.337,34.375
149.360,34.375
150.336,34.406
151.411,34.406
152.334,34.375
153.359,34.375
154.333,34.375
155.362,34.375
156.381,34.375
157.355,34.375
158.332,34.406
159.358,34.406
160.527,34.406
161.353,34.438
162.428,34.469
163.352,34.500
164.327,34.469
165.448,34.469
166.377,34.469
167.508,34.469
168.327,34.500
169.418,34.531
170.371,34.500
171.347,34.500
172.391,34.500
173.346,34.500
174.369,34.500
175.345,34.562
176.368,34.594
177.369,34.594
178.367,34.594
179.344,34.562
180.401,34.656
181.341,34.688
182.365,34.719
183.416,34.719
184.363,34.781
185.338,34.781
186.405,34.750
187.337,34.750
188.360,34.750
189.336,34.781
190.360,34.688
191.434,34.656
192.358,34.594
193.333,34.594
194.454,34.562
195.332,34.562
196.356,34.594
197.729,34.562
198.354,34.594
199.330,34.625
200.371,34.625
201.474,34.656
202.352,34.719
203.333,34.750
204.376,34.719
205.374,34.719
206.350,34.719
207.325,34.750
208.692,34.688
209.338,34.656
210.347,34.656
211.566,34.656
212.347,34.656
213.369,34.625
214.344,34.656
215.320,34.656
216.344,34.688
217.367,34.688
218.363,34.719
219.366,34.719
220.487,34.688
221.365,34.719
222.339,34.719
223.364,34.719
224.339,34.750
225.362,34.719
226.435,34.719
227.412,34.719
228.336,34.719
229.360,34.719
230.335,34.750
231.395,34.781
232.338,34.781
233.358,34.812
234.332,34.781
235.356,34.812
236.379,34.844
237.355,34.844
238.367,34.844
239.354,34.812
240.378,34.844
241.363,34.781
242.574,34.781
243.354,34.750
244.326,34.719
245.353,34.750
246.325,34.719
247.349,34.719
248.324,34.719
249.347,34.719
250.322,34.688
251.346,34.656
252.321,34.656
253.445,34.656
254.320,34.625
255.344,34.625
256.367,34.625
257.343,34.625
258.564,34.656
259.341,34.656
260.319,34.688
261.389,34.688
262.364,34.656
263.339,34.656
264.314,34.719
265.342,34.719
266.365,34.719
267.336,34.719
268.398,34.656
269.335,34.625
270.359,34.625
271.334,34.625
272.358,34.688
273.630,34.656
274.356,34.656
275.351,34.625
276.355,34.656
277.330,34.656
278.354,34.688
279.335,34.688
280.353,34.719
281.328,34.750
282.351,34.750
283.329,34.750
284.353,34.719
285.325,34.719
286.352,34.719
287.375,34.688
288.357,34.719
289.323,34.688
290.346,34.688
291.470,34.688
292.345,34.656
293.320,34.719
294.347,34.750
295.564,34.719
296.343,34.719
297.318,34.719
298.345,34.719
299.514,34.719
300.340,34.750
301.315,34.719
302.339,34.688
303.314,34.688
304.338,34.656
305.513,34.719
306.337,34.719
307.312,34.750
308.338,34.750
309.311,34.812
310.577,34.781
311.309,34.812
312.424,34.812
313.308,34.812
314.331,34.812
315.355,34.812
316.332,34.844
