df_hash,22ZHK4.8FYAMK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZPV5
person_label,V99
date_time_start,2025-11-04_19-09-59.215000_+03
date_time_start_unix,1762268999.215
date_time_end,2025-11-04_19-18-14.354000_+03
length_difference_noticed,no

time,rr_int
10.829,4280
10.958,2045
10.961,15
10.964,195
11.302,10
12.226,1250
12.372,10
12.762,135
13.445,365
14.030,660
14.468,655
14.712,435
14.739,245
14.858,160
15.006,80
16.126,420
16.272,650
16.275,260
16.470,10
16.474,10
16.662,15
16.664,105
16.714,165
17.396,625
17.783,185
17.786,365
18.320,10
18.612,525
18.615,125
18.618,95
18.660,15
18.664,10
18.669,15
18.672,10
18.761,10
18.907,215
19.591,640
20.074,130
20.708,470
21.398,650
21.976,675
22.659,645
23.194,610
23.198,600
23.780,10
24.462,580
24.998,620
25.730,635
26.412,630
27.242,690
27.403,845
27.553,260
27.682,15
27.688,10
28.757,10
28.803,1260
28.898,10
28.903,105
28.947,10
28.960,15
28.987,15
29.225,10
29.740,305
29.778,585
31.063,15
31.163,1155
31.241,145
31.244,20
31.287,20
31.294,105
31.336,25
31.339,10
31.348,10
31.385,10
31.388,15
31.436,10
31.580,260
32.263,700
32.554,10
32.560,290
32.950,10
33.627,365
33.773,690
33.777,135
33.822,10
33.825,10
33.828,15
33.919,10
33.923,10
34.358,160
34.362,320
34.898,10
35.480,565
35.487,575
36.083,10
36.552,580
37.381,585
37.968,635
38.115,695
38.648,10
39.382,730
39.385,725
40.084,10
40.750,680
41.092,650
41.186,265
41.189,10
41.192,15
41.195,15
41.282,40
41.964,265
42.548,625
42.553,595
43.085,10
43.816,585
43.962,685
44.060,285
44.063,10
44.111,30
44.704,330
45.181,215
45.912,495
46.448,675
47.280,650
47.767,625
48.252,555
48.257,560
48.789,10
49.376,550
49.958,565
50.502,625
50.593,605
51.177,10
51.860,645
52.006,685
52.103,185
52.107,10
52.181,10
52.189,10
52.347,10
52.543,20
53.127,420
53.809,635
53.814,645
53.989,10
54.004,105
54.008,20
54.012,10
54.015,15
54.199,15
54.203,10
54.394,15
54.398,350
54.931,10
55.223,620
55.229,170
55.272,10
55.275,15
55.279,15
55.372,10
55.623,20
55.666,360
56.199,10
56.881,615
57.077,650
57.563,200
57.568,485
58.148,10
58.151,605
58.832,10
59.612,620
59.807,670
60.098,590
60.101,10
60.345,195
61.171,380
61.317,575
61.320,190
61.756,30
62.341,340
62.976,620
63.706,635
63.710,690
64.397,10
64.440,680
65.071,10
65.656,680
65.659,665
65.900,10
66.241,215
66.485,340
66.499,275
66.634,15
66.875,45
67.460,260
67.996,550
68.581,635
68.630,550
69.361,10
69.946,650
70.238,680
70.536,395
71.213,260
71.234,690
71.376,10
71.409,135
71.414,20
71.506,10
71.511,15
71.896,15
72.042,435
72.188,290
72.194,10
73.163,390
73.310,545
73.316,195
73.364,25
73.376,15
73.382,15
73.428,15
73.456,15
73.463,25
73.580,240
74.821,625
75.164,560
75.175,250
75.178,60
75.260,15
75.263,15
75.267,15
75.406,20
75.410,255
76.238,10
76.332,705
76.336,175
76.384,20
76.918,20
77.063,520
77.067,185
77.161,30
77.222,15
77.258,15
77.276,15
77.356,15
77.359,15
77.363,10
77.407,15
77.410,15
77.453,30
78.185,270
78.188,670
78.869,10
78.872,655
78.875,20
79.453,15
79.550,540
79.553,155
79.699,15
79.989,15
80.086,455
80.677,10
81.502,610
81.938,660
82.670,650
82.718,635
83.306,10
83.796,600
84.287,590
84.330,560
84.571,10
84.719,315
84.863,15
84.867,205
85.957,560
86.083,585
86.667,10
87.498,615
87.531,665
87.909,190
88.617,445
88.620,665
89.154,10
89.691,575
90.421,595
90.426,600
90.957,10
91.544,575
91.691,615
92.078,10
92.082,560
92.764,10
93.200,545
93.907,570
93.910,585
94.419,10
95.150,635
96.127,695
96.661,765
97.347,730
98.075,750
98.078,655
98.611,10
99.326,635
99.879,605
100.466,580
100.513,565
101.038,10
101.683,595
102.511,665
102.560,795
103.242,10
103.246,755
103.686,10
104.032,360
104.754,420
105.192,750
105.826,440
105.830,630
106.272,10
106.363,425
106.558,245
107.532,385
107.537,700
107.630,10
107.679,30
108.215,85
108.751,465
109.483,600
110.701,735
110.705,1300
110.847,10
110.852,10
110.945,10
110.994,15
110.998,110
111.046,120
111.059,10
111.140,145
111.288,10
111.297,35
111.335,10
113.639,1365
113.658,775
114.066,10
114.992,735
115.577,760
116.161,660
116.168,635
116.266,10
116.405,165
116.410,20
116.554,15
116.560,10
116.844,15
117.526,415
118.112,680
118.209,670
118.360,140
118.363,10
118.366,15
118.404,10
118.407,15
118.452,15
118.455,10
118.608,15
118.794,65
118.797,380
118.940,10
118.943,120
119.037,25
119.041,15
119.089,10
119.623,10
120.305,545
120.451,725
120.646,270
120.650,15
120.698,15
121.572,365
121.576,695
121.719,10
121.817,130
121.865,25
121.868,115
121.962,10
121.966,10
122.012,20
122.255,10
122.696,335
122.745,400
122.749,15
122.938,15
123.669,260
124.351,715
124.497,725
125.034,135
125.719,550
125.765,645
126.447,10
126.693,640
126.984,290
126.994,320
127.131,10
127.135,10
127.569,100
128.111,515
128.154,455
128.157,15
128.160,10
128.163,15
128.398,230
129.763,610
130.494,910
131.176,705
131.859,680
132.541,650
132.834,665
