df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,temperature
15.626,32.219
16.627,32.250
17.625,32.281
18.600,32.375
19.624,32.438
20.599,32.469
21.623,32.500
22.597,32.500
23.650,32.562
24.596,32.625
25.622,32.625
26.601,32.656
27.672,32.688
28.632,32.750
29.617,32.781
30.592,32.781
31.616,32.844
32.591,32.906
33.620,32.938
34.613,33.000
35.614,33.031
36.595,33.062
37.612,33.094
38.734,33.094
39.611,33.125
40.589,33.188
41.616,33.219
42.585,33.250
43.609,33.250
44.882,33.312
45.608,33.375
46.583,33.375
47.613,33.406
48.602,33.438
49.605,33.469
50.589,33.469
51.607,33.438
52.677,33.469
53.603,33.500
54.626,33.500
55.601,33.500
56.625,33.562
57.650,33.562
58.625,33.594
59.801,33.562
60.623,33.656
61.598,33.688
62.621,33.719
63.599,33.750
64.620,33.781
65.595,33.844
66.619,33.812
67.595,33.844
68.622,33.844
69.641,33.875
70.616,33.875
71.595,33.875
72.861,33.938
73.694,33.938
74.614,33.906
75.768,33.938
76.759,34.000
77.693,34.062
78.638,34.094
79.586,34.125
80.614,34.125
81.634,34.125
82.609,34.156
83.584,34.219
84.656,34.188
85.583,34.219
86.709,34.219
87.582,34.188
88.611,34.188
89.781,34.188
90.604,34.219
91.676,34.250
92.604,34.250
93.578,34.281
94.602,34.344
95.626,34.312
96.600,34.344
97.576,34.375
98.617,34.375
99.586,34.375
100.647,34.406
101.622,34.375
102.600,34.375
103.625,34.344
104.596,34.344
105.622,34.375
106.653,34.375
107.618,34.406
108.593,34.469
109.622,34.469
110.611,34.469
111.618,34.469
112.643,34.500
113.615,34.562
114.589,34.625
115.613,34.594
116.588,34.625
117.864,34.594
118.591,34.594
119.611,34.594
120.591,34.562
121.758,34.594
122.584,34.594
123.622,34.562
124.583,34.531
125.606,34.562
126.731,34.531
127.606,34.562
128.602,34.562
129.604,34.594
130.581,34.625
131.687,34.656
132.581,34.594
133.602,34.594
134.921,34.625
135.612,34.625
136.576,34.625
137.652,34.656
138.678,34.625
139.598,34.688
140.578,34.719
141.650,34.719
142.623,34.781
143.596,34.812
144.587,34.812
145.941,34.844
146.578,34.844
147.594,34.844
148.718,34.844
149.592,34.812
150.616,34.781
151.594,34.781
152.663,34.750
153.590,34.719
154.614,34.750
155.601,34.781
156.615,34.781
158.060,34.750
158.611,34.812
159.832,34.844
160.610,34.844
161.669,34.875
162.759,34.906
163.831,34.938
164.608,34.906
165.582,34.906
166.609,34.906
167.581,34.938
168.605,34.906
169.610,34.875
170.604,34.906
171.579,34.906
172.602,34.906
173.577,34.875
174.601,34.875
175.673,34.906
176.605,34.906
177.575,34.906
178.844,34.969
179.577,34.969
180.652,34.969
181.572,34.969
182.596,34.969
183.624,34.969
184.598,35.000
185.572,34.969
186.594,35.000
187.569,35.000
188.592,35.000
189.762,34.969
190.598,35.000
191.572,35.000
192.640,35.031
193.565,35.094
194.589,35.094
195.564,35.094
196.636,35.094
197.611,35.125
198.586,35.125
199.610,35.062
200.585,35.094
201.609,35.094
202.590,35.094
203.607,35.062
204.905,35.031
205.607,35.094
206.633,35.094
207.605,35.125
208.580,35.094
209.603,35.188
210.579,35.188
211.603,35.188
212.642,35.188
213.602,35.188
214.725,35.156
215.690,35.125
216.575,35.125
217.599,35.125
218.647,35.125
219.598,35.094
220.576,35.094
221.841,35.094
222.572,35.094
223.595,35.125
224.571,35.156
225.616,35.188
226.569,35.188
227.647,35.188
228.568,35.219
229.740,35.219
230.569,35.250
231.590,35.281
232.593,35.250
233.600,35.219
234.613,35.219
235.593,35.219
236.709,35.250
237.587,35.250
238.567,35.281
239.585,35.375
240.563,35.375
241.584,35.438
242.581,35.531
243.634,35.594
244.558,35.625
245.584,35.656
246.747,35.688
247.581,35.781
248.606,35.781
249.584,35.781
250.700,35.781
251.578,35.781
252.602,35.781
253.604,35.812
254.600,35.844
255.725,35.875
256.599,36.031
257.684,35.969
258.619,35.969
259.577,35.938
260.843,35.906
261.641,35.906
262.596,35.906
263.619,35.938
264.594,35.938
265.569,35.938
266.598,35.844
267.568,35.875
268.641,35.875
269.571,35.938
270.591,35.938
271.615,36.000
272.736,35.969
273.593,35.969
274.783,35.969
275.563,35.969
276.713,35.938
277.570,35.969
278.586,36.000
279.566,36.000
280.584,36.031
281.621,36.000
282.583,36.062
283.559,36.062
284.635,36.031
285.752,36.031
286.727,36.062
287.656,36.062
288.581,36.031
289.558,36.031
290.579,36.031
291.602,36.031
292.577,36.062
293.552,36.031
294.627,36.062
295.611,36.062
296.574,36.062
297.599,36.000
298.574,36.031
299.795,35.938
300.574,35.969
301.596,36.031
302.571,36.031
303.597,36.094
304.570,36.094
305.593,36.125
306.574,36.125
307.641,36.125
308.568,36.125
309.594,36.188
310.568,36.188
311.591,36.156
312.711,36.156
313.589,36.125
314.574,36.125
315.588,36.156
316.574,36.125
317.592,36.125
318.561,36.156
319.831,36.188
320.585,36.188
321.584,36.188
322.576,36.188
323.583,36.188
324.558,36.219
325.630,36.250
326.558,36.312
327.606,36.344
328.555,36.375
