df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,acc_mag
26.483,1.043
26.513,1.042
26.543,1.042
26.573,1.037
26.603,1.045
26.633,1.047
26.663,1.044
26.693,1.044
26.723,1.047
26.753,1.046
26.783,1.046
26.813,1.049
26.843,1.044
26.873,1.042
26.903,1.042
26.933,1.042
26.963,1.034
26.993,1.030
27.023,1.042
27.053,1.058
27.083,1.035
27.113,1.038
27.143,1.046
27.173,1.048
27.203,1.049
27.233,1.039
27.263,1.025
27.293,1.040
27.323,1.048
27.353,1.049
27.383,1.043
27.413,1.046
27.443,1.044
27.473,1.041
27.503,1.036
27.533,1.040
27.563,1.043
27.593,1.041
27.623,1.043
27.653,1.030
27.683,1.037
27.713,1.047
27.743,1.056
27.773,1.048
27.803,1.043
27.833,1.044
27.863,1.045
27.893,1.041
27.923,1.047
27.953,1.039
27.983,1.050
28.013,1.061
28.043,1.023
28.073,1.019
28.103,1.030
28.133,1.026
28.163,1.032
28.193,1.038
28.223,1.051
28.253,1.053
28.283,1.061
28.313,1.045
28.343,1.058
28.373,1.069
28.403,1.063
28.433,1.059
28.463,1.049
28.493,1.046
28.523,1.046
28.553,1.043
28.583,1.039
28.613,1.033
28.643,1.039
28.673,1.038
28.703,1.039
28.733,1.041
28.763,1.041
28.793,1.045
28.823,1.041
28.853,1.042
28.883,1.052
28.913,1.070
28.943,1.073
28.973,1.062
29.003,1.044
29.033,1.044
29.063,1.039
29.093,1.042
29.123,1.045
29.153,1.032
29.183,1.035
29.213,1.043
29.243,1.054
29.273,1.047
29.303,1.046
29.333,1.050
29.363,1.045
29.393,1.046
29.423,1.041
29.453,1.045
29.483,1.049
29.513,1.049
29.543,1.045
29.573,1.047
29.603,1.047
29.633,1.049
29.663,1.049
29.693,1.048
29.723,1.053
29.753,1.053
29.783,1.046
29.813,1.042
29.843,1.056
29.873,1.050
29.903,1.045
29.933,1.044
29.963,1.050
29.993,1.052
30.023,1.047
30.053,1.042
30.083,1.040
30.113,1.050
30.143,1.051
30.173,1.041
30.203,1.036
30.233,1.042
30.263,1.058
30.293,1.046
30.323,1.033
30.353,1.043
30.383,1.059
30.413,1.054
30.443,1.051
30.473,1.043
30.503,1.050
30.533,1.061
30.563,1.063
30.593,1.047
30.623,1.048
30.653,1.055
30.683,1.049
30.713,1.049
30.743,1.043
30.773,1.031
30.803,1.042
30.833,1.050
30.863,1.051
30.893,1.052
30.923,1.049
30.953,1.046
30.983,1.045
31.013,1.040
31.043,1.039
31.073,1.044
31.103,1.045
31.133,1.053
31.163,1.052
31.193,1.038
31.223,1.039
31.253,1.055
31.283,1.053
31.313,1.048
31.343,1.041
31.373,1.040
31.403,1.050
31.433,1.049
31.463,1.047
31.493,1.040
31.523,1.046
31.553,1.047
31.583,1.045
31.613,1.042
31.643,1.049
31.673,1.046
31.703,1.048
31.733,1.040
31.763,1.045
31.793,1.046
31.823,1.044
31.853,1.037
31.883,1.049
31.913,1.049
31.943,1.050
31.973,1.039
32.003,1.051
32.033,1.050
32.063,1.054
32.093,1.050
32.123,1.063
32.153,1.093
32.183,1.064
32.213,1.038
32.243,1.029
32.273,1.019
32.303,1.008
32.333,1.007
32.363,0.991
32.393,0.993
32.423,1.010
32.453,1.030
32.483,1.061
32.513,1.082
32.543,1.073
32.573,1.076
32.603,1.064
32.633,1.061
32.663,1.056
32.693,1.055
32.723,1.049
32.753,1.049
32.783,1.033
32.813,1.040
32.843,1.044
32.873,1.041
32.903,1.045
32.933,1.042
32.963,1.029
32.993,1.019
33.023,1.030
33.053,1.053
33.083,1.048
33.113,1.042
33.143,1.041
33.173,1.050
33.203,1.058
33.233,1.066
33.263,1.057
33.293,0.958
33.323,1.007
33.353,1.053
33.383,1.061
33.413,1.053
33.443,1.042
33.473,1.045
33.503,1.060
33.533,1.065
33.563,1.053
33.593,1.045
33.623,1.034
33.653,1.038
33.683,1.035
33.713,1.039
33.743,1.048
33.773,1.052
33.803,1.050
33.833,1.049
33.863,1.052
33.893,1.050
33.923,1.048
33.953,1.037
33.983,1.036
34.013,1.042
34.043,1.052
34.073,1.046
34.103,1.046
34.133,1.049
34.163,1.052
34.193,1.044
34.223,1.049
34.253,1.038
34.283,1.043
34.313,1.049
34.343,1.045
34.373,1.052
34.403,1.048
34.433,1.040
34.463,1.044
34.493,1.042
34.523,1.044
34.553,1.043
34.583,1.046
34.613,1.044
34.643,1.041
34.673,1.045
34.703,1.053
34.733,1.052
34.763,1.049
34.793,1.049
34.823,1.050
34.853,1.047
34.883,1.034
34.913,1.035
34.943,1.044
34.973,1.045
35.003,1.048
35.033,1.051
35.063,1.048
35.093,1.043
35.123,1.044
35.153,1.043
35.183,1.046
35.213,1.051
35.243,1.049
35.273,1.053
35.303,1.047
35.333,1.037
35.363,1.043
35.393,1.048
35.423,1.050
35.453,1.050
35.483,1.048
35.513,1.049
35.543,1.046
35.573,1.044
35.603,1.043
35.633,1.037
35.663,1.044
35.693,1.047
35.723,1.048
35.753,1.043
35.783,1.048
35.813,1.051
35.843,1.049
35.873,1.045
35.903,1.047
35.933,1.049
35.963,1.048
35.993,1.044
36.023,1.047
36.053,1.048
36.083,1.042
36.113,1.047
36.143,1.055
36.173,1.046
36.203,1.045
36.233,1.044
36.263,1.044
36.293,1.047
36.323,1.041
36.353,1.042
36.383,1.042
36.413,1.051
36.443,1.051
36.473,1.048
36.503,1.048
36.533,1.043
36.563,1.044
36.593,1.045
36.623,1.046
36.653,1.047
36.683,1.040
36.713,1.044
36.743,1.049
36.773,1.050
36.803,1.045
36.833,1.040
36.863,1.047
36.893,1.054
36.923,1.051
36.953,1.041
36.983,1.046
37.013,1.044
37.043,1.048
37.073,1.046
37.103,1.044
37.133,1.040
37.163,1.044
37.193,1.051
37.223,1.047
37.253,1.046
37.283,1.043
37.313,1.048
37.343,1.047
37.373,1.045
37.403,1.045
37.433,1.047
37.463,1.048
37.493,1.049
37.523,1.054
37.553,1.047
37.583,1.041
37.613,1.047
37.643,1.047
37.673,1.050
37.703,1.047
37.733,1.047
37.763,1.046
37.793,1.044
37.823,1.043
37.853,1.045
37.883,1.038
37.913,1.047
37.943,1.050
37.973,1.049
38.003,1.047
38.033,1.045
38.063,1.048
