df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,rr_int
21.333,5360
22.061,720
22.744,695
23.429,685
24.109,670
24.840,695
25.083,700
25.381,255
26.058,395
26.790,685
27.473,640
28.155,735
28.500,655
29.569,300
29.981,1115
30.251,690
31.664,715
32.354,705
33.079,705
33.520,755
33.712,285
34.492,345
34.980,675
35.662,665
36.543,705
36.686,745
37.222,215
37.225,535
38.061,10
38.739,745
39.026,745
39.416,270
39.708,490
39.713,260
40.099,10
40.403,430
40.447,275
40.829,10
41.080,380
41.512,285
42.780,395
44.145,1275
44.291,1365
44.323,210
45.414,430
45.705,715
45.709,170
45.756,20
45.760,15
46.393,10
46.783,470
47.508,680
47.753,700
48.246,230
48.873,485
49.020,660
49.166,195
49.169,30
49.173,10
49.556,10
50.142,430
50.973,655
51.119,730
52.244,10
52.481,1240
52.774,280
53.456,365
54.192,675
54.285,670
54.303,200
54.431,15
54.437,10
54.874,15
55.412,420
56.138,635
56.824,715
57.503,690
57.795,695
57.798,215
58.185,10
58.920,470
59.598,700
60.281,705
60.966,720
61.695,690
62.378,695
63.061,725
63.743,700
64.720,645
65.205,945
65.302,405
65.308,165
65.451,65
65.693,10
65.985,425
66.375,215
67.127,430
67.691,660
68.325,635
69.349,650
69.592,1035
70.031,285
70.470,350
71.688,425
71.935,1310
71.983,280
71.986,20
71.989,10
71.993,15
72.225,155
72.371,165
73.395,755
73.450,285
73.492,15
73.506,15
73.521,10
73.527,15
73.590,10
73.593,15
73.597,20
73.601,20
73.639,15
73.834,210
75.055,660
75.150,645
75.154,190
75.599,25
76.418,420
77.251,725
77.405,770
77.547,190
77.562,60
77.567,10
77.929,10
78.903,490
79.057,750
79.343,235
79.590,475
80.040,285
80.317,475
80.321,160
80.366,10
80.370,55
80.373,10
80.708,10
81.390,425
81.682,675
82.122,295
82.267,385
82.272,200
82.371,20
82.964,30
83.781,575
84.900,675
85.156,1260
86.121,325
86.411,1040
86.414,10
86.461,210
86.464,10
86.467,10
86.470,15
86.509,15
86.557,20
86.561,15
86.850,10
87.392,295
88.069,665
88.361,645
88.370,200
88.605,15
88.800,15
89.485,450
90.019,650
90.855,685
92.408,800
92.652,1460
92.797,435
92.802,95
92.947,75
94.098,750
94.103,315
94.358,300
95.723,1405
95.869,135
96.552,465
97.288,325
97.432,705
97.526,10
97.529,240
98.258,10
98.940,665
99.623,705
100.327,670
100.480,660
101.037,260
101.730,505
102.548,730
102.694,765
102.700,210
103.266,25
104.206,455
104.644,985
105.329,450
106.009,745
106.594,700
106.599,585
106.602,10
106.691,10
106.697,10
106.740,10
106.745,20
106.750,25
106.840,15
107.423,15
107.813,710
108.105,325
109.081,385
109.373,935
110.494,265
110.499,1145
110.599,10
110.641,10
110.646,90
110.890,15
111.859,320
112.005,880
112.008,155
112.298,40
113.273,295
114.102,1025
114.784,775
115.616,765
115.759,780
115.763,165
115.811,10
115.830,15
116.296,10
116.978,490
117.422,680
117.572,435
118.295,215
118.928,705
118.931,685
119.669,10
120.490,720
120.634,730
120.732,270
121.902,405
122.048,725
122.145,305
122.149,10
122.194,10
122.198,15
122.201,10
122.292,15
122.295,15
122.298,20
122.438,240
123.511,735
123.950,315
124.242,445
124.245,290
124.249,15
124.632,15
125.364,375
126.098,710
126.212,680
126.240,185
126.244,10
126.248,10
126.266,15
126.313,10
126.584,15
127.465,405
127.996,705
128.687,695
129.360,675
130.092,665
130.921,715
131.018,770
131.066,185
131.070,10
131.701,20
132.433,550
133.117,765
133.412,720
133.553,265
133.586,10
133.701,345
135.065,655
135.235,675
135.240,240
135.245,10
135.357,145
135.649,200
137.014,675
137.697,710
138.428,725
138.581,700
138.686,200
139.112,25
139.793,490
140.481,720
140.768,735
140.774,195
141.063,40
141.307,30
142.036,445
142.572,700
143.450,690
143.986,705
144.668,695
145.500,685
146.036,670
146.765,670
147.452,710
148.134,660
148.726,705
149.397,660
150.084,670
150.225,700
150.373,145
151.493,35
152.037,1210
152.322,520
153.443,345
153.836,1080
154.662,460
155.294,720
155.783,600
155.980,550
156.173,110
156.180,285
156.468,185
156.471,10
157.052,715
157.296,10
157.322,255
157.325,20
157.343,10
157.346,10
157.393,10
157.538,15
157.544,15
157.634,225
158.031,10
158.855,610
159.000,685
159.108,270
160.079,315
160.805,670
161.048,645
161.438,245
162.170,360
162.320,850
162.462,15
162.466,20
162.469,130
162.611,10
162.774,240
162.778,130
164.266,795
164.999,675
165.631,690
166.221,680
166.899,655
167.291,680
167.605,185
168.313,535
168.556,730
168.559,190
169.141,65
169.824,460
170.652,725
170.667,935
173.482,1435
174.417,1120
174.702,1110
174.991,365
175.527,315
175.917,535
176.794,375
176.895,890
177.188,45
177.239,290
177.253,15
177.262,10
177.273,15
177.336,195
178.598,595
178.847,670
178.893,250
178.898,10
178.991,130
179.184,165
180.256,1000
181.089,10
181.630,840
181.913,610
181.917,270
181.921,10
182.060,10
182.207,275
183.620,610
184.058,605
184.594,585
184.693,600
184.845,235
184.890,15
185.375,350
185.814,195
186.499,445
186.788,715
186.791,205
