df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,perfusion_ir
246.657,0.160
257.964,0.160
311.006,0.170
316.811,0.170
318.174,0.170
319.636,0.170
320.418,0.170
320.999,0.170
321.537,0.180
323.095,0.180
324.414,0.180
325.539,0.180
333.582,0.180
350.786,0.180
352.593,0.180
357.320,0.180
370.438,0.180
378.043,0.180
378.722,0.180
379.651,0.180
381.452,0.180
387.112,0.180
388.518,0.180
394.567,0.180
397.007,0.180
409.093,0.180
410.556,0.180
421.186,0.190
426.446,0.190
428.204,0.180
444.144,0.180
445.657,0.180
446.440,0.180
447.314,0.190
447.996,0.190
450.141,0.190
470.620,0.190
472.645,0.190
473.300,0.190
477.437,0.190
478.269,0.190
489.384,0.190
490.112,0.200
491.090,0.200
491.622,0.200
494.498,0.200
495.519,0.200
497.712,0.200
498.498,0.200
499.180,0.200
500.452,0.200
501.184,0.200
515.551,0.200
534.659,0.200
