df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,quality
24.356,52
25.233,67
26.111,66
27.329,62
28.207,60
29.089,51
30.546,49
31.228,52
32.347,53
33.326,54
34.154,45
35.129,53
36.296,54
37.175,53
38.358,51
39.226,53
40.397,65
41.074,67
42.343,59
43.124,35
44.002,25
45.269,22
46.098,23
46.976,26
48.240,41
49.072,65
49.949,71
51.190,64
52.237,47
53.218,43
54.142,43
55.065,42
55.991,41
57.116,46
57.993,63
58.949,58
60.135,59
61.123,61
61.893,64
63.075,66
63.940,63
64.916,56
66.037,55
66.965,51
67.841,46
69.011,48
69.937,29
71.058,0
72.081,0
73.205,0
73.934,0
75.007,25
75.904,30
76.859,50
78.370,46
79.053,39
80.034,56
80.955,60
81.880,34
82.954,37
83.929,44
84.852,32
85.734,30
87.096,25
87.780,23
88.707,19
89.878,26
90.847,34
91.826,25
92.851,26
93.776,25
94.673,24
95.823,23
96.751,39
97.822,44
98.797,35
100.064,35
100.668,40
101.820,42
103.042,32
103.621,51
104.825,40
105.671,42
106.550,46
107.769,45
108.645,49
109.617,31
110.884,25
111.718,20
112.639,36
113.715,0
114.640,0
115.518,30
116.883,35
117.859,40
118.492,30
119.861,48
120.586,58
121.613,57
122.636,52
123.616,57
124.489,48
126.068,49
126.536,50
127.459,50
128.681,50
129.510,62
130.436,68
131.665,61
132.485,56
133.363,50
134.584,44
135.603,32
136.385,29
137.554,33
138.574,37
139.311,47
140.573,52
141.405,58
142.331,62
143.501,73
144.578,72
145.360,72
146.475,69
147.447,71
148.424,69
149.546,65
150.327,36
151.253,25
152.423,0
153.353,34
154.226,0
155.596,0
156.323,0
157.246,27
158.370,19
159.442,31
160.174,29
161.649,30
162.316,37
163.171,23
164.366,26
165.244,35
166.216,45
167.340,40
168.218,54
169.096,72
170.315,68
171.193,45
172.363,44
173.288,24
174.411,0
175.291,0
176.262,0
177.139,10
178.211,0
179.235,0
180.115,17
181.084,0
182.361,0
183.186,16
184.357,19
185.208,24
186.260,28
187.083,56
188.227,36
189.083,36
189.960,33
191.131,26
192.057,28
192.934,28
194.296,33
195.127,26
195.908,0
197.370,33
198.050,37
198.884,60
200.102,49
201.057,50
201.901,55
203.074,66
203.954,57
204.991,56
206.048,59
206.925,69
207.854,68
209.045,29
210.140,24
210.825,26
212.041,31
212.922,33
213.897,37
215.131,37
215.896,60
216.822,57
217.967,56
219.016,49
219.771,39
221.111,37
221.938,37
222.721,36
223.988,34
224.866,0
225.694,54
226.934,58
228.086,60
228.909,53
229.887,66
230.765,65
231.642,64
232.862,63
233.740,65
234.673,64
235.835,70
236.807,69
237.788,54
239.052,10
239.740,15
240.612,13
241.782,14
242.660,14
243.587,14
244.902,12
245.682,0
246.714,0
247.729,31
248.656,0
249.579,28
251.093,36
251.680,39
252.508,34
253.677,46
254.607,45
255.503,45
256.845,51
257.672,53
258.603,53
259.674,56
260.551,53
261.622,56
262.796,48
263.594,42
264.402,35
265.718,40
266.593,37
267.523,0
268.653,0
269.482,0
270.445,0
271.569,22
272.492,34
273.565,33
274.599,26
275.472,23
276.490,0
277.562,29
278.443,0
279.320,25
280.492,0
281.560,0
282.344,3
283.464,0
284.630,0
285.268,19
286.438,24
287.555,15
288.436,17
289.412,31
290.337,26
291.215,33
292.434,43
293.312,64
294.189,67
295.408,65
296.334,63
297.209,67
298.382,64
299.356,50
300.182,30
301.355,31
302.233,21
303.110,17
304.329,17
305.353,24
306.390,28
307.400,23
308.372,27
309.107,39
310.278,68
311.154,70
312.081,60
313.251,49
314.371,44
315.100,55
316.473,63
317.150,64
318.027,70
319.198,68
320.124,69
321.050,71
322.563,71
323.292,71
324.003,67
325.483,67
326.072,34
326.949,31
328.168,0
329.143,34
330.215,0
331.142,0
332.022,0
332.946,49
334.265,27
334.993,0
336.065,0
337.089,4
338.026,12
338.987,3
340.102,31
341.230,24
341.869,28
343.299,24
344.109,0
345.136,0
346.011,0
346.937,0
347.911,0
349.277,0
349.959,42
351.077,55
352.202,65
353.030,57
353.762,64
355.124,61
355.858,64
357.028,68
357.955,59
358.833,52
359.852,47
360.974,37
361.923,33
362.878,40
363.902,39
364.831,36
366.001,20
366.925,0
367.803,0
368.681,19
370.144,23
370.825,27
371.654,29
372.881,29
373.750,35
374.676,26
375.797,29
376.724,29
377.942,40
378.819,53
379.746,65
380.823,66
381.939,65
382.673,65
383.600,63
384.864,53
385.937,38
386.522,43
387.741,64
388.665,72
389.542,58
390.742,28
391.592,0
392.519,0
393.740,0
394.770,0
395.493,0
396.662,26
397.541,25
398.561,44
399.882,30
400.514,32
401.550,33
402.706,27
403.512,25
404.416,25
405.729,34
406.507,26
407.387,41
408.606,50
409.491,37
410.361,53
411.579,67
412.473,72
413.335,71
414.506,64
415.433,47
416.309,34
417.529,30
418.405,37
419.283,32
420.548,35
421.379,25
422.308,25
423.570,0
424.352,0
425.279,20
426.546,0
427.326,49
428.497,59
429.567,58
430.543,58
431.370,56
432.397,46
433.625,25
434.152,0
435.370,0
436.294,0
437.271,0
438.344,0
