df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,omega
246.660,0.707
257.970,0.673
311.010,0.720
316.814,0.687
318.176,0.668
319.639,0.687
320.438,0.680
321.005,0.682
321.545,0.674
323.130,0.650
324.417,0.674
325.543,0.674
333.585,0.674
350.799,0.660
352.597,0.642
357.324,0.642
370.441,0.660
378.186,0.660
378.726,0.660
379.655,0.642
381.455,0.642
387.129,0.642
388.522,0.642
394.570,0.628
397.010,0.628
409.096,0.618
410.559,0.618
421.190,0.618
426.449,0.611
428.210,0.583
444.163,0.583
445.660,0.568
446.443,0.568
447.317,0.568
448.000,0.568
450.145,0.568
470.623,0.596
472.649,0.613
473.303,0.642
477.443,0.642
478.293,0.676
489.387,0.676
490.115,0.676
491.105,0.686
491.626,0.702
494.501,0.702
495.523,0.702
497.716,0.702
498.509,0.702
499.185,0.702
500.456,0.702
501.187,0.702
515.554,0.702
534.665,0.725
