df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,spo2
246.609,94
257.921,95
310.911,94
316.809,94
318.125,95
319.539,94
320.270,95
320.758,95
321.490,95
323.001,95
324.366,95
325.536,95
333.579,95
350.691,95
352.495,96
357.226,96
370.434,95
378.040,95
378.625,95
379.648,96
381.258,96
387.059,96
388.472,96
394.518,96
397.003,96
409.045,96
410.411,96
421.183,96
426.401,96
427.914,97
444.122,97
445.654,97
446.437,97
447.119,97
447.948,97
450.049,97
470.617,97
472.621,96
473.297,96
477.394,96
478.123,95
489.381,95
490.015,95
490.899,95
491.620,94
494.207,94
495.474,94
497.619,94
498.253,94
499.177,94
500.449,94
501.180,94
515.548,94
534.629,94
