df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,ppg_quality
68.178,94
71.208,74
73.228,66
75.248,51
76.258,46
77.268,47
79.278,53
80.288,53
82.308,42
84.328,56
86.348,82
88.368,65
91.398,87
93.418,111
95.438,84
97.458,91
99.478,71
100.488,56
101.498,30
102.508,12
103.518,6
104.528,16
106.548,11
108.568,27
110.588,53
112.608,48
113.618,38
114.628,28
115.638,25
116.648,28
117.658,22
119.678,16
121.698,34
123.718,39
124.728,41
125.738,44
126.748,42
128.768,56
129.778,59
130.788,58
132.808,67
134.828,64
136.848,57
137.858,51
138.868,53
139.878,53
141.898,53
143.918,70
145.938,99
146.948,103
147.958,109
148.968,102
150.988,82
153.008,61
155.028,44
157.048,12
168.158,8
170.178,53
171.188,38
173.208,54
175.228,73
176.238,75
177.248,73
179.268,63
180.278,50
181.288,71
182.298,69
184.318,68
186.338,69
188.358,77
190.378,81
191.388,78
192.398,74
193.408,68
194.418,64
195.428,56
197.448,50
199.468,64
201.488,57
202.498,61
203.508,64
205.528,85
206.538,89
208.558,84
210.578,52
212.598,30
214.618,10
215.628,8
217.648,2
219.668,14
221.688,42
223.708,68
224.718,72
225.728,72
226.738,66
228.758,61
230.778,69
232.798,65
234.818,69
236.838,78
237.848,85
239.868,79
240.878,71
241.888,63
242.898,57
243.908,56
245.928,41
247.948,29
248.958,28
249.968,33
250.978,36
251.988,38
252.998,42
254.008,38
255.018,45
257.038,57
258.048,63
259.058,67
260.068,76
261.078,79
262.088,74
263.098,78
264.108,80
266.128,77
267.138,80
268.148,68
270.168,41
272.188,25
273.198,17
274.208,11
275.218,7
277.238,10
278.248,30
279.258,39
280.268,45
281.278,46
283.298,68
285.318,80
286.328,75
288.348,64
290.368,66
292.388,70
294.408,76
296.428,85
297.438,83
299.458,81
301.478,85
302.488,83
303.498,85
304.508,90
305.518,81
307.538,62
308.548,70
309.558,67
310.568,65
312.588,62
313.598,56
314.608,50
316.628,70
317.638,78
319.658,82
320.668,88
321.678,92
323.698,103
325.718,103
327.738,104
329.758,83
330.768,74
332.788,58
333.798,52
334.808,33
336.828,33
338.848,33
340.868,35
341.878,38
342.888,43
343.898,48
344.908,42
345.918,24
347.938,14
349.958,17
351.978,24
353.998,30
355.008,56
357.028,92
358.038,92
359.048,107
361.068,93
363.088,69
364.098,58
365.108,45
368.138,59
370.158,64
371.168,60
372.178,64
374.198,70
375.208,67
376.218,58
377.228,31
378.238,36
379.248,35
381.268,49
383.288,63
385.308,87
387.328,103
388.338,105
390.358,111
392.378,106
394.398,97
395.408,98
396.418,107
397.418,101
398.428,99
400.448,85
401.458,98
402.468,106
403.478,119
405.498,109
407.518,101
408.528,103
409.538,105
411.558,109
412.568,102
413.578,95
414.588,98
416.608,99
418.628,103
420.648,87
421.658,76
422.668,72
423.678,68
425.698,67
426.708,65
427.718,57
428.728,58
429.738,60
431.758,72
433.778,100
434.788,82
436.808,84
437.818,84
438.828,87
440.848,96
442.868,85
444.888,98
445.898,99
447.918,105
448.928,104
449.938,101
451.958,114
453.978,118
454.988,114
455.998,110
459.028,69
460.038,62
461.048,60
462.058,60
463.068,64
465.088,55
467.108,93
468.118,113
470.138,136
472.158,131
474.178,127
476.198,117
477.208,113
478.218,105
480.238,87
481.248,89
483.268,97
484.278,100
485.288,92
486.298,82
487.308,67
489.328,72
491.348,56
492.358,53
494.378,52
495.388,61
496.398,72
498.418,70
499.428,72
501.448,85
502.458,88
503.468,91
504.478,94
505.488,95
507.508,96
509.528,102
510.538,87
511.548,85
512.558,76
513.568,65
514.578,48
515.588,40
516.598,33
517.608,27
518.618,27
520.638,64
522.658,64
524.678,79
525.688,77
526.698,73
527.708,66
529.728,26
531.748,5
533.768,29
534.778,34
535.788,42
537.808,62
538.818,71
540.838,84
541.848,75
542.858,65
543.868,57
544.878,55
545.888,60
546.898,64
547.908,55
549.928,41
550.938,32
551.948,22
553.968,5
561.038,6
563.058,6
564.068,34
565.078,25
566.088,15
567.098,5
568.108,13
569.118,4
576.188,6
578.208,16
580.228,29
581.238,27
582.248,31
583.258,39
585.278,38
587.298,41
588.308,35
589.318,37
591.338,36
593.358,65
594.368,68
595.378,68
596.388,64
597.398,60
598.408,64
600.428,48
602.448,14
604.468,12
605.478,10
607.498,5
609.518,7
611.538,24
613.558,17
614.568,8
616.588,7
618.608,16
619.618,15
620.628,15
622.648,11
627.698,3
628.708,15
629.718,29
631.738,45
633.758,61
635.778,84
636.788,82
637.798,84
638.808,66
639.818,56
640.828,42
642.848,24
644.868,36
646.888,37
648.908,31
649.918,31
650.928,38
651.938,41
652.948,45
654.968,21
655.978,12
669.108,36
670.118,69
671.128,77
673.148,73
675.168,78
676.178,77
678.198,82
679.208,75
680.218,65
682.238,69
684.258,91
686.278,99
687.288,89
689.308,65
690.318,60
692.338,52
695.368,39
697.388,44
699.408,44
701.428,46
702.438,51
703.448,45
704.458,42
706.478,38
708.498,35
710.518,35
712.538,33
713.548,37
714.558,32
715.568,43
716.578,41
717.588,41
719.608,29
720.618,34
721.628,35
