df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,temperature
4.933,34.688
5.818,34.688
6.793,34.719
7.817,34.750
8.799,34.781
9.815,34.844
10.791,34.844
11.814,34.875
12.789,34.875
13.861,34.906
14.937,34.938
15.818,35.062
16.787,35.094
17.811,35.094
18.786,35.188
19.809,35.188
20.807,35.250
21.808,35.312
22.807,35.344
23.834,35.375
24.785,35.406
25.894,35.375
26.975,35.375
27.806,35.375
28.807,35.375
29.803,35.406
30.851,35.406
31.802,35.406
32.777,35.406
33.801,35.406
34.776,35.406
35.800,35.469
36.777,35.531
37.798,35.562
38.773,35.562
39.946,35.562
40.821,35.531
41.798,35.562
42.870,35.562
43.795,35.625
44.770,35.625
45.965,35.625
46.768,35.688
47.793,35.719
48.786,35.719
49.790,35.750
50.915,35.875
51.790,35.844
52.813,35.844
53.788,35.875
54.812,35.906
55.835,35.906
56.811,35.906
57.835,35.906
58.809,36.000
59.840,36.031
60.817,36.031
61.783,36.094
62.807,36.125
63.782,36.062
64.806,36.094
65.781,36.125
66.807,36.156
67.780,36.156
68.804,36.094
69.782,36.062
71.199,36.062
71.778,36.031
72.810,36.062
73.802,36.062
74.799,36.062
75.924,36.094
76.847,36.031
77.774,36.031
78.797,36.031
79.776,36.094
80.799,36.125
82.015,36.125
82.800,36.125
83.770,36.156
84.793,36.188
86.210,36.156
86.792,36.219
87.768,36.219
88.791,36.219
89.817,36.219
90.939,36.219
92.109,36.281
92.889,36.250
93.764,36.281
94.788,36.281
95.767,36.344
96.788,36.312
97.761,36.375
98.785,36.375
99.815,36.406
100.784,36.438
101.815,36.344
102.783,36.375
103.811,36.344
104.781,36.375
105.805,36.375
107.024,36.406
107.804,36.438
108.779,36.438
109.803,36.375
110.777,36.375
111.893,36.469
112.799,36.500
113.805,36.531
114.775,36.531
115.798,36.500
116.774,36.469
117.798,36.438
118.812,36.438
119.796,36.500
120.771,36.531
121.944,36.500
122.770,36.500
123.794,36.500
124.769,36.531
125.792,36.562
126.768,36.562
127.792,36.594
128.791,36.531
129.790,36.531
130.787,36.531
131.818,36.531
132.765,36.469
133.792,36.500
134.763,36.531
135.786,36.500
136.762,36.469
137.790,36.500
138.760,36.594
139.784,36.562
140.759,36.562
141.783,36.594
142.813,36.625
143.830,36.625
144.757,36.594
145.781,36.625
146.782,36.656
147.779,36.625
148.803,36.594
149.814,36.625
150.801,36.625
151.831,36.656
152.802,36.688
153.798,36.750
154.799,36.750
155.774,36.750
157.044,36.750
157.773,36.750
158.797,36.750
159.772,36.750
160.795,36.719
161.819,36.688
162.794,36.688
163.770,36.625
164.793,36.656
165.768,36.625
166.792,36.625
168.025,36.656
168.791,36.625
169.765,36.625
170.789,36.656
171.910,36.625
172.836,36.656
173.768,36.688
174.787,36.656
175.762,36.625
176.786,36.656
177.761,36.719
178.883,36.719
179.763,36.719
180.783,36.719
182.107,36.750
182.782,36.719
183.773,36.750
184.781,36.781
185.756,36.812
186.828,36.750
187.759,36.750
188.789,36.781
189.753,36.750
190.776,36.750
191.801,36.750
193.033,36.750
193.751,36.781
194.775,36.750
195.801,36.719
196.784,36.750
197.797,36.688
198.869,36.688
199.796,36.719
200.771,36.688
201.795,36.688
202.793,36.719
203.814,36.719
204.768,36.688
205.813,36.750
206.913,36.719
207.801,36.750
208.766,36.781
209.790,36.812
210.773,36.844
211.788,36.875
212.860,36.875
213.805,36.875
214.762,36.875
215.789,36.875
216.809,36.906
217.815,36.875
218.760,36.875
219.807,36.875
220.807,36.875
221.832,36.844
222.757,36.844
223.781,36.844
224.756,36.844
225.780,36.844
226.754,36.812
227.778,36.844
228.830,36.844
229.777,36.781
230.752,36.812
231.775,36.812
232.751,36.812
233.778,36.812
234.772,36.781
235.773,36.781
236.749,36.812
237.772,36.875
238.785,36.844
239.771,36.875
240.794,36.875
241.790,36.875
242.891,36.906
243.769,36.906
244.744,36.938
245.768,36.969
246.791,36.938
247.918,36.906
248.790,36.844
249.765,36.875
250.788,36.875
251.764,36.875
252.787,36.875
253.762,36.875
254.787,36.875
255.761,36.906
256.784,36.938
257.760,36.938
258.784,37.000
259.759,36.969
260.790,36.938
261.758,36.938
263.025,36.906
263.756,36.938
264.779,36.906
265.755,36.906
266.779,36.875
267.880,36.844
268.780,36.844
269.753,36.875
270.776,36.875
271.751,36.875
272.775,36.844
273.993,36.781
274.774,36.781
275.749,36.750
276.773,36.750
277.747,36.750
278.771,36.750
279.843,36.750
280.771,36.750
281.745,36.750
282.918,36.781
283.744,36.781
285.018,36.812
285.743,36.812
286.766,36.812
287.790,36.812
288.770,36.812
289.740,36.781
290.766,36.812
291.739,36.844
292.762,36.812
293.933,36.812
294.761,36.812
296.026,36.781
296.790,36.812
297.784,36.844
298.859,36.875
299.799,36.875
300.758,36.875
301.781,36.875
302.759,36.906
303.843,36.906
304.817,36.906
305.780,37.000
306.754,37.000
307.782,37.000
308.753,37.000
309.777,37.031
310.752,37.000
311.775,36.969
312.799,37.000
313.774,37.031
314.847,37.000
315.773,36.906
316.748,36.906
