df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,perfusion_ir
52.475,0.400
53.498,0.390
54.867,0.390
55.546,0.390
56.423,0.380
58.032,0.370
58.763,0.350
59.543,0.340
60.035,0.340
60.811,0.330
62.709,0.330
63.453,0.320
65.248,0.310
65.300,0.310
68.614,0.300
70.853,0.290
72.804,0.280
75.443,0.270
79.395,0.270
82.221,0.270
85.782,0.270
86.605,0.270
96.057,0.260
96.691,0.260
98.300,0.260
99.129,0.260
99.763,0.270
100.398,0.270
101.138,0.260
101.807,0.260
102.593,0.270
103.175,0.270
103.806,0.270
104.299,0.270
105.027,0.260
106.441,0.270
108.346,0.270
112.096,0.270
113.361,0.260
114.144,0.270
114.583,0.260
118.626,0.270
121.798,0.270
122.535,0.270
124.353,0.270
125.161,0.270
125.847,0.270
128.476,0.260
129.208,0.270
129.988,0.270
130.677,0.270
130.732,0.260
132.376,0.260
133.788,0.260
134.329,0.260
135.006,0.260
137.785,0.260
144.857,0.260
146.320,0.260
152.364,0.260
155.684,0.260
156.172,0.260
159.836,0.260
160.514,0.260
162.650,0.260
163.287,0.250
163.915,0.250
164.602,0.250
165.575,0.250
165.920,0.250
166.550,0.250
169.134,0.250
174.543,0.250
181.698,0.240
182.446,0.250
185.286,0.250
186.106,0.250
187.659,0.250
202.528,0.250
205.014,0.250
205.800,0.240
207.211,0.240
207.696,0.240
208.522,0.240
209.405,0.250
210.133,0.260
210.962,0.270
213.020,0.270
215.845,0.260
220.425,0.250
229.195,0.260
232.948,0.270
238.079,0.280
244.990,0.280
247.525,0.280
274.731,0.280
276.138,0.280
276.727,0.280
282.674,0.290
282.966,0.300
283.503,0.300
284.141,0.310
287.208,0.310
288.089,0.320
288.765,0.340
291.007,0.350
295.158,0.350
295.788,0.350
298.615,0.360
299.444,0.360
306.610,0.360
310.998,0.360
311.678,0.350
314.800,0.350
315.970,0.350
318.336,0.350
319.188,0.340
327.280,0.340
329.181,0.340
331.425,0.340
337.323,0.320
350.095,0.320
353.456,0.320
372.675,0.310
377.937,0.310
379.545,0.290
383.344,0.270
383.926,0.260
384.173,0.260
388.951,0.250
404.986,0.240
407.479,0.230
408.309,0.230
408.520,0.230
410.448,0.230
410.884,0.220
411.567,0.220
417.127,0.220
418.587,0.220
446.280,0.220
