df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,omega
52.479,0.598
53.502,0.590
54.874,0.590
55.552,0.590
56.427,0.590
58.036,0.590
58.767,0.596
59.547,0.601
60.038,0.604
60.816,0.596
62.713,0.596
63.458,0.596
65.256,0.596
65.304,0.596
68.617,0.590
70.857,0.596
72.809,0.596
75.482,0.596
79.675,0.596
82.247,0.590
85.788,0.592
86.611,0.591
96.061,0.597
96.697,0.605
98.304,0.603
99.134,0.603
99.808,0.594
100.540,0.594
101.151,0.594
101.811,0.603
102.596,0.601
103.178,0.602
103.810,0.602
104.306,0.608
105.031,0.612
106.444,0.608
108.350,0.608
112.100,0.608
113.365,0.602
114.147,0.602
114.586,0.602
118.630,0.608
121.801,0.602
122.539,0.602
124.359,0.602
125.167,0.598
125.852,0.598
128.482,0.594
129.211,0.587
129.991,0.579
130.698,0.574
130.735,0.574
132.380,0.573
133.791,0.573
134.333,0.573
135.010,0.573
137.789,0.573
144.861,0.571
146.327,0.571
152.368,0.572
155.688,0.572
156.178,0.571
159.840,0.569
160.518,0.568
162.654,0.568
163.290,0.568
163.921,0.569
164.611,0.571
165.579,0.572
165.923,0.573
166.556,0.580
169.138,0.576
174.546,0.583
181.758,0.583
182.450,0.589
185.292,0.589
186.110,0.598
187.663,0.607
202.533,0.607
205.018,0.599
205.808,0.599
207.215,0.599
207.699,0.611
208.525,0.611
209.408,0.611
210.137,0.608
210.968,0.595
213.026,0.589
215.852,0.588
220.429,0.583
229.202,0.583
232.952,0.582
238.086,0.582
244.996,0.573
247.528,0.566
274.741,0.566
276.142,0.562
276.735,0.560
282.678,0.554
282.971,0.554
283.509,0.554
284.147,0.547
287.236,0.536
288.329,0.519
288.769,0.505
291.011,0.491
295.161,0.485
295.795,0.480
298.619,0.480
299.447,0.476
306.614,0.476
311.001,0.476
311.681,0.476
314.806,0.481
315.977,0.481
318.343,0.481
319.195,0.481
327.285,0.476
329.185,0.481
331.431,0.481
337.326,0.488
350.100,0.494
353.462,0.494
372.762,0.494
377.943,0.502
379.594,0.507
383.347,0.510
383.929,0.521
384.179,0.550
388.958,0.571
404.997,0.573
407.486,0.573
408.352,0.573
408.527,0.576
410.452,0.580
410.887,0.581
411.570,0.584
417.132,0.584
418.591,0.584
446.313,0.581
