df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,rr_int
13.423,7715
13.962,560
14.544,600
15.226,595
15.811,625
16.594,660
17.323,705
18.006,710
18.692,710
19.371,700
20.102,700
20.638,700
21.466,670
22.607,810
23.270,1060
23.856,670
24.538,685
25.227,695
25.904,665
27.317,635
27.326,1405
27.467,170
28.584,430
29.267,725
29.949,660
30.110,650
30.486,230
31.217,425
31.899,690
32.582,665
33.314,710
33.996,740
34.678,685
35.361,660
36.043,660
36.774,700
37.505,695
38.142,755
38.822,685
39.407,660
40.482,660
40.775,700
41.750,700
42.430,765
42.576,825
43.014,160
43.019,385
43.066,10
43.163,185
43.989,470
44.672,325
45.532,805
45.799,740
45.940,290
45.968,10
46.086,330
47.987,1330
48.718,615
49.401,665
50.083,685
50.766,735
51.497,685
52.179,710
52.862,700
53.447,680
54.130,645
54.818,645
55.494,680
56.177,675
56.764,685
57.445,650
57.981,635
58.712,635
59.394,635
59.954,670
60.662,670
61.345,680
61.886,635
62.563,625
63.148,635
63.446,645
63.489,195
63.493,20
63.831,10
64.416,415
65.098,615
65.257,615
65.636,230
66.220,370
66.902,620
67.585,670
68.267,695
68.564,680
69.001,220
69.534,435
70.217,635
70.802,615
71.484,625
72.021,640
72.707,665
73.434,685
74.121,655
74.804,675
75.384,660
76.067,630
76.750,730
77.432,680
78.115,665
78.701,675
79.383,645
80.065,670
80.650,655
81.332,640
82.018,650
82.161,645
82.248,180
82.310,35
82.599,10
83.282,420
83.965,670
84.550,650
85.232,640
85.770,625
86.511,615
87.036,635
87.718,575
88.305,690
88.986,615
89.573,645
89.964,640
90.814,295
91.082,985
91.085,235
92.548,10
92.751,1085
93.571,650
94.105,665
94.690,655
95.372,635
95.908,620
96.640,605
97.323,660
98.151,740
98.980,775
99.735,810
100.345,705
101.076,700
101.758,705
102.443,705
103.026,700
103.716,650
104.245,630
104.976,625
105.658,660
106.341,690
107.027,695
107.609,655
108.294,635
108.878,630
109.568,660
110.241,655
110.781,660
111.518,625
112.045,620
112.642,615
113.312,630
113.995,645
114.531,650
115.266,665
115.802,645
116.482,615
117.066,620
117.751,600
118.432,635
118.577,685
118.631,185
119.016,10
119.704,490
120.390,695
121.064,680
121.649,645
122.339,635
122.867,625
123.599,635
124.286,660
124.964,715
125.798,725
126.377,720
127.060,680
127.742,685
128.425,690
129.156,685
129.839,685
130.375,675
130.704,635
130.739,175
131.057,20
131.788,455
132.325,645
133.008,650
133.690,655
134.279,645
134.958,640
135.640,660
136.372,695
137.063,715
137.736,700
138.419,675
139.005,680
139.693,675
140.224,640
140.954,625
141.636,625
142.322,645
142.904,665
143.587,700
144.296,725
144.805,605
145.537,655
146.219,680
146.902,695
147.657,675
148.169,670
148.852,640
149.388,630
150.119,625
150.805,645
151.338,645
152.022,670
152.313,655
152.752,205
152.903,435
153.288,195
153.971,450
154.702,660
155.421,685
156.076,695
156.652,685
157.346,650
157.870,630
158.553,620
159.139,625
159.821,635
160.505,670
161.186,705
161.922,690
162.599,690
163.143,645
163.866,655
164.554,690
165.231,680
165.819,670
166.499,645
167.039,625
167.718,625
168.303,610
168.985,630
169.681,705
170.448,590
170.497,735
170.795,225
170.936,175
171.228,255
171.618,215
172.448,470
173.032,740
173.714,635
174.396,670
174.547,660
174.594,195
174.984,15
175.664,425
176.200,615
176.884,620
177.517,635
178.199,670
178.889,705
179.565,710
179.808,680
179.811,185
180.248,35
180.929,450
181.622,665
182.372,695
183.026,725
183.914,755
184.536,785
185.219,730
185.964,675
186.633,645
187.182,710
187.608,645
187.900,335
188.583,320
189.119,670
190.097,635
190.534,675
191.215,705
192.044,725
192.727,750
193.458,745
194.141,720
196.188,640
197.602,2095
197.748,1390
198.139,220
198.458,395
198.462,230
198.873,10
199.552,435
200.234,735
200.537,690
200.925,210
201.648,485
202.331,700
202.476,670
203.013,210
203.603,470
204.282,675
204.963,700
205.664,685
206.332,660
206.916,650
207.595,655
208.424,680
209.253,765
210.082,825
210.813,835
211.495,750
212.178,705
212.866,680
213.153,705
213.592,240
214.275,490
214.567,710
214.957,265
215.650,420
215.835,680
216.370,210
217.053,465
217.590,680
218.321,625
218.857,700
219.539,615
220.414,665
221.197,765
222.075,885
223.001,880
223.878,895
224.707,885
225.535,805
226.072,945
226.758,555
227.548,610
228.171,715
228.855,680
229.143,725
229.203,230
229.533,10
230.119,420
230.801,640
230.957,665
231.093,165
231.097,45
231.337,10
232.069,405
232.897,655
233.462,780
234.116,580
234.723,705
235.384,620
235.676,635
235.921,310
236.212,325
236.651,295
237.480,425
238.041,760
238.698,635
239.430,685
240.139,665
240.798,730
241.480,700
242.209,715
242.452,670
242.456,195
242.897,20
243.427,435
244.159,620
244.841,625
245.381,675
246.163,665
246.796,670
247.327,635
247.766,645
247.769,410
248.010,45
249.570,255
250.691,1485
250.694,1090
250.791,195
253.324,1275
254.299,1250
254.981,965
255.664,635
256.787,770
257.662,1145
258.296,780
259.271,710
259.856,1040
261.074,525
261.078,1245
261.126,10
261.129,15
261.235,95
263.176,655
