Time (s),Resistance,Stage
0,0.9914408003111326,Relaxation
1,0.9708818884063078,Relaxation
2,0.9768415294092895,Relaxation
3,0.9885544756866603,Relaxation
4,0.9856515220314297,Relaxation
5,1.0,Relaxation
6,0.9856515220314297,Relaxation
7,0.9885544756866603,Relaxation
8,0.9494599637419256,Relaxation
9,0.9319872641986471,Relaxation
10,0.9222073579049322,Relaxation
11,0.9155862887193407,Relaxation
12,0.9155862887193407,Relaxation
13,0.9238498989022804,Relaxation
14,0.8934907186252611,Relaxation
15,0.9238498989022804,Relaxation
16,0.9319872641986471,Relaxation
17,0.9335999408142254,Relaxation
18,0.9319872641986471,Relaxation
19,0.930369497063449,Relaxation
20,0.947895477378749,Relaxation
21,0.9494599637419256,Relaxation
22,0.9319872641986471,Relaxation
23,0.9463262398639272,Relaxation
24,0.9400014389202126,Relaxation
25,0.7569738421952492,Relaxation
26,0.8668404909432869,Relaxation
27,0.8174478578075337,Relaxation
28,0.8576673745882619,Relaxation
29,0.8426747762037893,Relaxation
30,0.8194273912037179,Relaxation
31,0.850220283752351,Relaxation
32,0.8464600865931325,Relaxation
33,0.850220283752351,Relaxation
34,0.8445704857102329,Relaxation
35,0.7931575950213362,Relaxation
36,0.7931575950213362,Relaxation
37,0.8194273912037179,Relaxation
38,0.8154611976838816,Relaxation
39,0.8194273912037179,Relaxation
40,0.8539560464173942,Relaxation
41,0.8613546076329289,Relaxation
42,0.8722734328495984,Relaxation
43,0.8668404909432869,Relaxation
44,0.9038003783274182,Relaxation
45,0.797275486025845,Relaxation
46,0.7503602391051003,Relaxation
47,0.713856801646885,Relaxation
48,0.7020050538678786,Relaxation
49,0.7115039634785761,Relaxation
50,0.7503602391051003,Relaxation
51,0.7721344277271781,Relaxation
52,0.7827373013594403,Relaxation
53,0.8054271047771472,Relaxation
54,0.8074473623302908,Relaxation
55,0.8054271047771472,Relaxation
56,0.8174478578075337,Relaxation
57,0.8174478578075337,Relaxation
58,0.8445704857102329,Relaxation
59,0.8194273912037179,Relaxation
60,0.7254927113940083,Under Stress
61,0.7569738421952492,Under Stress
62,0.525178728143854,Under Stress
63,0.6726432760683813,Under Stress
64,0.6313489809119089,Under Stress
65,0.5584350928205347,Under Stress
66,0.5220786016953467,Under Stress
67,0.5282656192413496,Under Stress
68,0.5554741072416374,Under Stress
69,0.0,Under Stress
70,0.48055217884420776,Under Stress
71,0.4400808510262829,Under Stress
72,0.3863375204554047,Under Stress
73,0.40466101551115247,Under Stress
74,0.3863375204554047,Under Stress
75,0.3937174164323328,Under Stress
76,0.4366104741174226,Under Stress
77,0.40102977818230423,Under Stress
78,0.37137105340498094,Under Stress
79,0.3327051632122401,Under Stress
80,0.32474935978231556,Under Stress
81,0.38262178050086626,Under Stress
82,0.3483907510009658,Under Stress
83,0.2795916996023284,Under Stress
84,0.29629301573920785,Under Stress
85,0.2837978262802486,Under Stress
86,0.2795916996023284,Under Stress
87,0.32474935978231556,Under Stress
88,0.34058528758381534,Under Stress
89,0.39003595264323526,Under Stress
90,0.37137105340498094,Under Stress
91,0.3863375204554047,Under Stress
92,0.10282103022614801,Under Stress
93,0.45720468029161215,Under Stress
94,0.49357746107958383,Under Stress
95,0.5031999006330571,Under Stress
96,0.5282656192413496,Under Stress
97,0.5063801179235838,Under Stress
98,0.49034226617716226,Under Stress
99,0.4967987418950443,Under Stress
100,0.49357746107958383,Under Stress
101,0.4706338104168321,Under Stress
102,0.46394860068403015,Under Stress
103,0.10793937801995049,Under Stress
104,0.525178728143854,Under Stress
105,0.525178728143854,Under Stress
106,0.5282656192413496,Under Stress
107,0.4400808510262829,Under Stress
108,0.3937174164323328,Under Stress
109,0.41902137135883627,Under Stress
110,0.4435362957442577,Under Stress
111,0.4366104741174226,Under Stress
112,0.3937174164323328,Under Stress
113,0.3483907510009658,Under Stress
114,0.4400808510262829,Under Stress
115,0.4366104741174226,Under Stress
116,0.47395418668089284,Under Stress
117,0.4400808510262829,Under Stress
118,0.4366104741174226,Under Stress
119,0.4366104741174226,Under Stress
