Time (s),Resistance,Stage
0,1.0,Relaxation
1,0.9753193108321085,Relaxation
2,0.9003695853035465,Relaxation
3,0.8877438991249521,Relaxation
4,0.912951790858197,Relaxation
5,0.8877438991249521,Relaxation
6,0.8940594597532445,Relaxation
7,0.8877438991249521,Relaxation
8,0.9003695853035465,Relaxation
9,0.906663405619869,Relaxation
10,0.8623838252078895,Relaxation
11,0.8877438991249521,Relaxation
12,0.8240556551986516,Relaxation
13,0.8940594597532445,Relaxation
14,0.9255013859448885,Relaxation
15,0.8877438991249521,Relaxation
16,0.9003695853035465,Relaxation
17,0.912951790858197,Relaxation
18,0.906663405619869,Relaxation
19,0.906663405619869,Relaxation
20,0.9003695853035465,Relaxation
21,0.9442524050220122,Relaxation
22,0.906663405619869,Relaxation
23,0.912951790858197,Relaxation
24,0.912951790858197,Relaxation
25,0.9317625957932482,Relaxation
26,0.9317625957932482,Relaxation
27,0.8940594597532445,Relaxation
28,0.906663405619869,Relaxation
29,0.7918419479319502,Relaxation
30,0.9255013859448885,Relaxation
31,0.8940594597532445,Relaxation
32,0.8940594597532445,Relaxation
33,0.8940594597532445,Relaxation
34,0.8940594597532445,Relaxation
35,0.9192347410185305,Relaxation
36,0.78537420511984,Relaxation
37,0.8623838252078895,Relaxation
38,0.9003695853035465,Relaxation
39,0.8877438991249521,Relaxation
40,0.8750801674004003,Relaxation
41,0.8940594597532445,Relaxation
42,0.8240556551986516,Relaxation
43,0.78537420511984,Relaxation
44,0.8368715691070132,Relaxation
45,0.8240556551986516,Relaxation
46,0.8560193488776546,Relaxation
47,0.8750801674004003,Relaxation
48,0.8623838252078895,Relaxation
49,0.8047556932441965,Relaxation
50,0.8240556551986516,Relaxation
51,0.8240556551986516,Relaxation
52,0.78537420511984,Relaxation
53,0.8240556551986516,Relaxation
54,0.7918419479319502,Relaxation
55,0.7659003206696011,Relaxation
56,0.6871025599217327,Relaxation
57,0.8240556551986516,Relaxation
58,0.8940594597532445,Relaxation
59,0.7659003206696011,Relaxation
60,0.8304636121528344,Under Stress
61,0.8368715691070132,Under Stress
62,0.8560193488776546,Under Stress
63,0.746334039893472,Under Stress
64,0.6738300994619261,Under Stress
65,0.6871025599217327,Under Stress
66,0.6871025599217327,Under Stress
67,0.6871025599217327,Under Stress
68,0.6871025599217327,Under Stress
69,0.6605141583781716,Under Stress
70,0.6337572694168132,Under Stress
71,0.6135822599054294,Under Stress
72,0.6671775639980433,Under Stress
73,0.6203163215392135,Under Stress
74,0.6738300994619261,Under Stress
75,0.6270395130170086,Under Stress
76,0.6871025599217327,Under Stress
77,0.6000760910919076,Under Stress
78,0.6404587205826384,Under Stress
79,0.6404587205826384,Under Stress
80,0.5661340290233147,Under Stress
81,0.48358062938203017,Under Stress
82,0.5112723517582446,Under Stress
83,0.5387901516386754,Under Stress
84,0.5797434643187116,Under Stress
85,0.6000760910919076,Under Stress
86,0.6404587205826384,Under Stress
87,0.5729441817490056,Under Stress
88,0.6538398826023148,Under Stress
89,0.6000760910919076,Under Stress
90,0.5797434643187116,Under Stress
91,0.6404587205826384,Under Stress
92,0.5593130061416386,Under Stress
93,0.4696668297190058,Under Stress
94,0.5043643676286729,Under Stress
95,0.5387901516386754,Under Stress
96,0.3994401869666828,Under Stress
97,0.3710364693733343,Under Stress
98,0.43469210283167575,Under Stress
99,0.3280884830697326,Under Stress
100,0.39235828034132336,Under Stress
101,0.3208870047285184,Under Stress
102,0.29197782488178636,Under Stress
103,0.2774552964835032,Under Stress
104,0.23359421707701533,Under Stress
105,0.23359421707701533,Under Stress
106,0.09941301157671399,Under Stress
107,0.2555791075601922,Under Stress
108,0.1220501114190975,Under Stress
109,0.20411435404097794,Under Stress
110,0.15953584433936552,Under Stress
111,0.1744442632751774,Under Stress
112,0.05379640197836613,Under Stress
113,0.08426001413120209,Under Stress
114,0.10697320506549245,Under Stress
115,0.0766617750964702,Under Stress
116,0.14457850970161126,Under Stress
117,0.04614924724169583,Under Stress
118,0.0,Under Stress
119,0.0,Under Stress
