df_hash,22ZHK4.JN5XDQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z542
person_label,V150
date_time_start,2026-06-08_18-01-19.110000_+03
date_time_start_unix,1780923679.11
date_time_end,2026-06-08_18-21-11.009000_+03
length_difference_noticed,no

time,quality
14.893,54
15.905,84
16.983,83
17.912,82
18.792,79
20.255,81
20.838,78
21.743,82
23.076,76
23.956,81
24.688,76
25.907,74
26.785,74
27.715,82
29.081,84
29.788,86
30.685,87
32.049,83
32.977,84
33.658,82
34.830,83
35.757,79
36.634,81
37.867,83
38.681,80
39.658,76
40.829,70
41.855,38
42.729,35
43.752,41
44.697,15
45.576,0
46.870,0
47.650,20
48.674,28
49.746,28
50.624,27
51.502,0
52.776,0
53.644,40
54.521,40
55.790,44
56.572,58
57.473,65
58.668,80
59.591,78
60.472,75
61.737,75
62.522,76
63.527,81
64.710,86
65.768,84
66.435,81
67.598,81
68.467,86
69.637,84
70.564,82
71.563,78
72.511,79
73.735,84
74.464,82
75.341,82
76.513,83
77.438,83
78.315,89
79.485,80
80.411,85
81.289,76
82.700,69
83.431,55
84.333,45
85.483,49
86.459,56
87.285,44
88.455,54
89.338,83
90.502,84
91.429,82
92.603,74
93.184,69
94.549,81
95.378,76
96.158,75
97.379,80
98.307,83
99.183,75
100.351,72
101.294,71
102.300,73
103.324,69
104.203,40
105.128,26
106.344,35
107.468,49
108.102,67
109.318,44
110.152,32
111.224,40
112.594,59
113.197,77
114.104,77
115.223,78
116.148,84
117.070,90
118.244,88
119.139,84
120.289,83
121.362,84
122.389,81
122.971,80
124.287,83
125.068,82
126.251,81
127.164,82
128.322,85
129.114,76
130.138,79
131.114,82
132.036,84
133.160,80
134.132,85
134.918,86
136.232,86
136.963,85
137.890,85
139.060,82
140.134,81
140.866,82
142.034,80
143.056,85
144.129,77
145.009,75
146.228,70
146.813,65
147.983,59
148.907,60
149.979,64
150.965,75
151.881,78
152.904,81
154.028,79
154.902,74
155.925,76
157.099,80
157.829,79
158.755,78
159.925,81
160.802,83
161.682,86
162.899,85
163.871,85
164.654,80
165.873,76
166.797,82
167.722,84
168.848,85
169.874,82
170.723,85
172.064,82
172.795,76
173.624,79
174.794,85
175.783,84
176.599,81
177.768,81
178.692,84
179.572,79
180.744,84
181.762,83
182.689,79
183.761,85
184.687,87
185.714,85
186.786,82
187.619,84
188.514,85
189.715,84
190.590,84
191.513,82
192.841,85
193.614,87
194.687,84
195.705,83
196.704,84
197.704,83
198.886,84
199.511,82
200.389,80
201.657,80
202.485,82
203.389,81
204.581,80
205.505,81
206.628,81
207.604,87
208.433,88
209.405,86
210.530,86
211.446,79
212.333,78
213.649,82
214.453,79
215.309,76
216.523,69
217.650,77
218.304,79
219.646,79
220.377,79
221.543,84
222.714,85
223.397,84
224.286,82
225.688,82
226.326,84
227.205,75
228.470,66
229.347,42
230.465,14
231.589,10
232.299,0
233.199,12
234.385,11
235.538,0
236.172,2
237.347,3
238.377,1
239.192,0
240.342,0
241.244,0
242.123,0
243.313,68
244.219,80
245.435,82
246.310,84
247.192,85
248.071,88
249.334,87
250.213,84
251.387,83
252.262,80
253.442,77
254.067,68
255.234,70
256.112,77
257.038,77
258.208,70
259.386,75
260.012,78
261.182,82
262.084,77
263.131,76
264.202,72
265.034,65
266.105,67
267.130,82
268.056,77
268.936,77
270.104,79
271.030,79
272.005,76
273.086,78
274.148,45
274.889,0
276.345,0
276.977,0
277.901,0
279.120,0
280.195,0
281.106,0
282.291,0
282.980,0
283.952,0
285.070,0
285.900,23
286.777,0
287.997,0
289.113,23
289.797,21
291.071,0
292.090,0
292.870,0
294.040,0
295.110,5
295.748,1
297.109,30
297.795,30
298.966,32
300.234,0
301.011,36
301.886,0
302.969,1
303.839,17
304.741,0
305.982,0
306.765,33
307.688,32
309.010,54
310.031,47
310.662,50
311.980,59
313.053,58
313.794,64
314.760,65
315.927,59
316.760,71
317.760,69
318.855,61
319.592,67
320.760,73
321.683,66
322.514,66
323.828,53
324.607,58
325.485,70
326.704,64
327.681,50
328.582,74
329.723,81
330.557,85
331.459,83
332.654,83
333.531,76
334.502,66
335.630,74
336.721,82
337.463,85
338.662,80
339.721,78
340.449,79
341.574,78
342.523,82
343.377,83
344.690,79
345.771,81
346.351,79
347.521,79
348.593,76
349.467,80
350.546,80
351.421,88
352.300,81
353.517,86
354.397,80
355.297,80
356.491,81
357.563,77
358.292,80
359.465,84
360.343,88
361.512,86
362.439,83
363.711,83
364.437,78
365.415,77
366.531,75
367.219,81
368.387,78
369.313,79
370.336,78
371.360,82
372.576,79
373.164,79
374.366,81
375.410,81
376.184,81
377.384,80
378.236,79
379.217,83
380.331,84
381.451,85
382.424,85
383.304,83
384.478,80
385.401,80
386.570,78
387.156,78
388.176,79
389.252,82
390.130,81
391.056,84
392.369,84
393.348,80
394.030,79
395.200,79
396.176,79
397.103,78
398.174,81
399.243,79
399.978,65
401.315,67
402.125,59
402.997,47
404.172,52
405.096,56
405.974,29
407.387,28
408.021,45
408.948,68
410.118,78
411.045,80
411.873,83
413.481,82
414.066,81
414.893,82
416.067,80
416.943,81
418.112,78
419.042,78
420.212,75
420.797,77
422.013,73
423.183,72
423.864,80
424.990,84
426.008,86
426.791,81
428.131,83
429.183,81
