df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,acc_mag
5.201,0.998
5.231,1.008
5.261,1.000
5.291,1.010
5.321,1.010
5.351,0.999
5.381,1.015
5.411,1.016
5.441,1.008
5.471,1.008
5.501,1.004
5.531,0.953
5.561,1.006
5.591,1.009
5.621,1.015
5.651,1.009
5.681,0.998
5.711,0.990
5.741,1.014
5.771,1.013
5.801,1.006
5.831,1.026
5.861,1.012
5.891,1.009
5.921,0.971
5.951,1.005
5.981,1.018
6.011,0.970
6.041,0.967
6.071,1.026
6.101,1.016
6.131,1.003
6.161,1.013
6.191,1.029
6.221,1.003
6.251,0.971
6.281,1.003
6.311,1.050
6.341,1.009
6.371,1.049
6.401,0.990
6.431,0.991
6.461,1.005
6.491,0.956
6.521,0.999
6.551,1.034
6.581,1.001
6.611,1.013
6.641,1.031
6.671,1.021
6.701,1.011
6.731,1.005
6.761,1.005
6.791,0.996
6.821,0.983
6.851,0.996
6.881,1.020
6.911,1.012
6.941,1.010
6.971,1.009
7.001,1.005
7.031,0.992
7.061,1.018
7.091,1.021
7.121,0.981
7.151,0.969
7.181,0.955
7.211,0.888
7.241,0.950
7.271,1.031
7.301,1.021
7.331,0.982
7.361,1.018
7.391,1.098
7.421,1.174
7.451,1.222
7.481,1.203
7.511,1.026
7.541,0.979
7.571,1.002
7.601,0.954
7.631,0.958
7.661,0.967
7.691,0.931
7.721,0.932
7.751,0.982
7.781,0.967
7.811,0.980
7.841,0.973
7.871,0.965
7.901,0.952
7.931,0.959
7.961,1.018
7.991,1.173
8.021,1.222
8.051,1.127
8.081,1.084
8.111,1.025
8.141,0.977
8.171,0.975
8.201,0.973
8.231,0.967
8.261,0.979
8.291,0.963
8.321,0.981
8.351,0.973
8.381,0.947
8.411,0.957
8.441,1.000
8.471,1.011
8.501,1.017
8.531,1.018
8.561,1.027
8.591,1.022
8.621,1.015
8.651,1.008
8.681,1.008
8.711,0.993
8.741,0.990
8.771,0.993
8.801,0.979
8.831,0.991
8.861,0.999
8.891,0.989
8.921,1.004
8.951,1.021
8.981,1.028
9.011,0.980
9.041,0.951
9.071,0.936
9.101,0.951
9.131,1.039
9.161,1.051
9.191,0.997
9.221,0.978
9.251,0.995
9.281,1.012
9.311,1.012
9.341,1.036
9.371,1.016
9.401,1.017
9.431,1.039
9.461,1.040
9.491,1.023
9.521,0.995
9.551,1.014
9.581,0.983
9.611,1.043
9.641,1.033
9.671,0.997
9.701,1.031
9.731,1.071
9.761,1.020
9.791,0.992
9.821,0.998
9.851,1.095
9.881,1.045
9.911,1.039
9.941,1.037
9.971,1.010
10.001,1.027
10.031,1.041
10.061,1.034
10.091,1.038
10.121,1.003
10.151,0.972
10.181,1.024
10.211,1.020
10.241,1.009
10.271,1.033
10.301,1.065
10.331,1.044
10.361,1.025
10.391,0.994
10.421,0.987
10.451,0.967
10.481,0.987
10.511,1.009
10.541,1.014
10.571,1.022
10.601,1.016
10.631,1.001
10.661,0.985
10.691,1.003
10.721,1.011
10.751,1.013
10.781,1.014
10.811,1.004
10.841,1.004
10.871,1.008
10.901,0.986
10.931,1.020
10.961,1.020
10.991,1.018
11.021,0.994
11.051,1.021
11.081,1.016
11.111,1.013
11.141,1.018
11.171,1.009
11.201,0.993
11.231,1.003
11.261,0.998
11.291,0.998
11.321,1.005
11.351,0.993
11.381,1.009
11.411,1.000
11.441,0.990
11.471,1.018
11.501,1.021
11.531,1.008
11.561,0.998
11.591,1.005
11.621,1.000
11.651,0.998
11.681,1.026
11.711,1.011
11.741,1.016
11.771,1.007
11.801,1.026
11.831,1.006
11.861,1.012
11.891,1.008
11.921,1.023
11.951,1.016
11.981,1.006
12.011,1.003
12.041,1.006
12.071,1.014
12.101,1.090
12.131,1.003
12.161,1.002
12.191,1.028
12.221,1.005
12.251,1.005
12.281,0.998
12.311,1.019
12.341,1.018
12.371,1.027
12.401,1.011
12.431,1.006
12.461,0.999
12.491,1.017
12.521,0.997
12.551,1.032
12.581,0.984
12.611,1.018
12.641,0.979
12.671,1.021
12.701,0.992
12.731,1.039
12.761,1.033
12.791,1.004
12.821,1.045
12.851,1.006
12.881,1.076
12.911,1.062
12.941,1.030
12.971,1.001
13.001,1.002
13.031,0.993
13.061,1.031
13.091,1.031
13.121,1.010
13.151,1.038
13.181,0.940
13.211,1.015
13.241,1.013
13.271,1.013
13.301,1.029
13.331,1.054
13.361,0.696
13.391,1.007
13.421,1.000
13.451,1.012
13.481,1.013
13.511,1.010
13.541,1.011
13.571,1.031
13.601,1.025
13.631,1.026
13.661,1.033
13.691,1.044
13.721,1.023
13.751,1.007
13.781,1.025
13.811,0.996
13.841,1.009
13.871,0.996
13.901,1.000
13.931,1.029
13.961,0.988
13.991,0.990
14.021,1.047
14.051,1.000
14.081,0.983
14.111,1.026
14.141,1.039
14.171,1.012
14.201,0.985
14.231,1.017
14.261,1.038
14.291,1.003
14.321,0.995
14.351,1.019
14.381,1.010
14.411,1.006
14.441,1.008
14.471,1.019
14.501,1.012
14.531,1.007
14.561,1.009
