df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,rr_int
10.473,4115
11.741,955
12.033,1320
12.861,260
13.404,820
14.666,600
16.521,1175
16.616,2050
17.444,260
18.126,580
18.712,610
19.248,580
19.835,590
20.375,560
20.679,605
20.906,275
22.027,260
22.319,1145
22.324,215
22.368,20
22.612,10
23.148,300
23.497,585
23.684,270
24.276,280
24.806,575
26.219,460
27.486,1380
28.023,1325
28.607,485
29.001,685
29.534,390
30.039,490
30.411,515
31.393,420
33.043,945
33.341,1620
34.262,325
36.509,950
36.944,2180
37.483,555
38.214,570
38.601,540
38.893,540
39.137,270
39.728,280
39.966,560
40.307,260
40.795,285
41.383,560
41.916,550
42.501,565
43.037,555
43.574,555
44.159,595
44.694,515
45.134,545
45.672,500
46.118,530
46.287,255
46.791,275
47.766,565
48.159,1040
48.604,340
48.891,490
49.426,300
50.499,550
50.739,990
50.983,260
51.384,280
51.568,535
52.592,365
53.621,545
54.610,1115
55.712,980
55.955,1410
58.198,740
58.636,1505
58.642,145
58.886,345
59.856,225
60.586,1055
60.981,550
61.269,505
61.805,310
61.810,535
61.952,205
63.219,810
63.609,400
64.205,435
64.584,530
65.281,495
65.413,570
65.705,470
66.534,630
66.827,205
67.369,270
68.487,565
68.923,1045
69.562,540
69.752,570
70.002,270
70.580,290
71.154,575
71.412,800
71.556,215
73.067,1175
73.505,270
73.509,465
74.334,300
74.912,555
75.455,540
75.704,540
75.998,225
76.527,330
76.824,535
76.870,350
77.140,215
78.624,490
79.062,1140
79.111,295
79.209,15
79.457,260
79.909,260
80.428,310
81.013,570
81.560,570
82.334,555
82.670,555
83.157,545
83.645,550
84.201,550
84.766,540
85.302,555
85.888,545
86.424,560
86.968,555
87.545,555
88.081,565
88.666,575
89.354,590
89.983,580
90.596,565
91.027,575
91.689,660
92.198,715
92.738,310
93.102,475
93.248,510
94.275,220
94.468,815
96.271,400
96.469,1820
96.888,210
97.977,295
98.221,1160
98.666,290
99.102,260
99.635,570
100.171,600
100.609,595
100.614,305
100.871,10
101.438,280
101.974,590
102.608,575
103.096,565
103.681,585
103.925,590
104.217,260
104.907,290
105.533,595
106.040,575
106.557,555
107.143,545
107.678,565
108.263,575
108.851,580
109.095,590
109.385,275
109.926,300
110.457,590
110.896,565
111.042,540
112.261,590
112.846,605
113.433,580
113.975,570
114.515,560
115.061,555
115.625,565
116.167,560
116.462,575
116.989,240
117.281,550
117.866,305
118.403,540
118.696,560
118.793,495
119.914,535
120.499,565
120.743,550
121.035,215
121.572,295
122.011,530
122.595,520
123.156,545
123.723,530
124.106,530
124.643,525
125.227,540
125.812,545
126.300,550
126.911,550
127.425,555
128.006,530
128.396,525
128.987,540
129.225,535
129.228,285
129.517,250
130.641,555
131.178,540
131.857,545
132.301,565
132.637,575
132.641,260
132.838,10
133.470,280
133.954,560
134.543,535
135.192,550
135.240,555
135.611,245
136.196,320
136.732,575
137.317,575
137.856,555
138.459,560
138.975,565
139.511,565
139.875,575
140.221,535
141.198,570
141.951,560
142.338,575
142.785,570
142.875,275
143.411,235
143.752,575
143.875,515
144.922,500
145.507,560
145.653,520
145.659,225
146.487,275
147.018,515
147.603,525
148.189,615
148.676,510
148.968,605
149.265,245
149.797,310
150.700,615
150.936,710
151.471,290
152.234,600
152.532,720
153.015,280
153.709,605
155.452,680
155.508,1685
155.979,160
157.305,265
157.939,1290
158.572,700
158.864,750
159.401,270
159.937,620
160.527,530
161.073,580
161.692,555
161.895,570
161.987,185
162.179,10
162.862,395
163.452,620
163.994,545
164.568,565
164.811,625
164.815,290
164.958,10
165.641,25
166.763,715
167.064,1160
167.593,270
167.883,270
168.421,590
169.150,605
169.686,605
170.567,610
170.808,655
171.785,530
172.076,615
172.612,555
173.150,555
174.269,585
174.854,1155
175.537,575
176.073,585
176.324,585
176.344,225
176.680,10
177.199,345
177.730,580
178.132,580
178.370,300
179.144,260
179.686,875
180.273,455
180.801,615
181.095,820
182.069,475
184.023,590
185.822,1895
185.969,1820
186.115,230
186.118,10
186.945,325
187.530,570
187.536,340
187.570,235
188.747,610
188.893,600
189.041,240
189.871,355
190.405,575
190.990,570
191.672,580
192.208,570
192.647,595
193.037,480
193.378,315
194.503,345
194.745,1400
195.578,360
196.450,530
196.837,845
197.230,325
197.623,540
197.913,325
199.034,245
199.332,1455
200.154,305
200.402,760
201.378,450
201.958,585
202.693,610
203.909,725
204.883,1175
205.712,1040
206.838,810
207.000,1045
207.662,250
207.906,660
208.345,265
209.856,395
210.002,1520
210.294,215
211.563,280
211.733,1200
211.952,230
212.540,270
213.074,555
213.904,590
214.340,575
214.928,570
215.413,560
216.004,545
216.534,570
217.129,635
217.705,515
218.192,580
218.654,570
218.687,365
218.777,10
218.803,195
220.434,865
221.019,825
221.754,465
222.384,835
222.894,680
223.664,370
224.057,890
225.607,385
227.552,1495
228.118,2005
228.770,550
229.209,685
229.896,485
230.227,590
230.428,210
231.013,355
231.615,545
231.710,545
231.996,200
232.673,320
233.109,545
233.694,595
233.938,520
234.182,265
234.480,300
