df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,spo2
87.549,87
88.130,87
88.672,87
89.397,87
90.001,87
90.616,87
101.981,87
103.102,88
106.562,87
107.190,87
107.682,88
108.267,87
108.900,88
109.246,88
110.460,87
113.677,87
114.551,87
115.188,87
115.631,87
116.212,87
116.650,87
122.599,87
123.229,88
123.816,88
124.110,88
124.664,87
125.231,87
125.816,87
126.303,88
126.915,88
130.687,87
131.861,88
134.588,88
135.224,88
135.319,88
136.738,88
137.323,88
137.864,88
138.487,88
138.980,88
139.516,89
139.901,89
141.269,89
142.342,89
147.067,89
147.607,89
150.705,89
158.868,89
161.697,89
164.572,89
168.471,89
169.154,89
169.706,89
170.570,89
171.789,89
172.080,89
177.734,89
178.156,89
188.750,89
188.898,89
190.409,89
190.993,90
191.675,90
192.214,89
192.696,89
218.296,89
218.679,90
254.235,90
255.398,90
256.087,90
256.228,89
257.743,89
260.573,89
260.865,89
262.183,89
263.911,90
264.433,90
264.963,90
267.207,89
269.454,90
324.666,90
325.746,90
327.593,90
353.101,95
353.735,96
354.126,96
354.858,97
355.293,97
355.833,97
356.464,97
357.813,97
358.227,97
358.372,97
359.833,97
360.418,97
360.955,97
361.785,97
362.076,97
362.613,97
364.414,97
365.439,97
365.982,97
366.569,97
367.343,97
367.638,97
368.364,97
377.942,97
384.998,97
385.731,97
385.876,97
387.842,96
388.365,96
389.046,96
389.680,96
390.997,95
392.655,95
397.581,94
409.144,91
411.042,91
413.548,91
414.165,91
417.430,90
418.169,89
422.352,89
435.523,89
436.113,89
452.835,89
453.225,90
457.614,89
459.245,89
459.567,89
467.866,89
467.953,89
470.147,89
470.833,89
476.017,88
487.468,88
487.947,88
489.213,89
493.701,90
494.578,90
497.163,89
505.258,88
617.558,83
618.290,84
619.362,84
619.949,84
620.638,84
621.992,84
623.313,84
626.234,84
626.919,84
627.914,84
628.575,84
628.970,84
629.647,84
630.141,84
