df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,battery
13.253,96
23.245,96
33.239,96
43.281,96
53.420,96
63.224,96
73.363,96
83.322,96
93.353,96
103.252,96
113.237,96
123.260,96
133.223,96
143.314,96
153.259,96
163.352,96
173.197,96
183.288,96
193.329,96
203.323,96
213.317,96
223.216,96
233.207,96
243.205,96
253.301,96
263.204,96
273.204,96
283.252,96
293.362,96
303.348,95
313.250,95
323.275,95
333.248,95
343.312,95
353.245,95
363.245,95
373.290,95
383.303,95
393.435,95
403.285,95
413.379,95
423.390,95
433.281,95
443.274,95
453.272,95
463.415,95
473.314,95
483.311,95
493.309,95
503.354,95
513.312,95
523.303,95
533.311,95
543.291,95
553.423,95
563.288,95
573.333,94
583.422,94
593.369,94
603.316,94
613.498,94
623.510,94
633.419,94
