df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,quality
43.090,56
44.309,47
45.140,44
46.210,36
47.281,35
48.110,9
49.098,15
50.300,19
51.178,20
52.107,22
53.331,24
54.111,21
55.001,23
56.215,19
57.418,37
58.006,0
59.181,5
60.054,0
60.976,0
62.390,0
63.028,16
64.195,17
65.218,28
66.023,30
66.879,16
68.102,15
68.992,32
69.995,52
71.089,51
71.955,34
72.874,43
74.094,44
74.925,41
75.991,39
77.022,35
77.947,50
78.822,50
80.012,56
80.919,52
81.831,58
83.024,65
83.993,61
84.915,63
86.036,60
86.963,64
87.937,62
88.967,61
89.839,61
91.006,57
91.984,0
93.010,0
93.739,32
94.935,25
95.788,37
96.856,36
97.937,38
99.052,25
99.836,29
100.864,0
101.735,49
102.662,56
103.832,58
104.899,54
105.985,50
107.052,54
107.827,48
108.809,49
109.921,57
110.752,56
111.581,52
112.799,53
113.969,51
114.847,51
115.919,48
116.946,51
117.623,44
118.747,46
119.625,36
120.601,38
121.769,40
122.940,46
123.667,53
125.089,54
125.572,60
126.521,57
127.668,62
128.692,65
129.472,59
130.983,57
131.568,57
132.475,56
133.620,57
134.736,58
135.421,62
136.687,63
137.518,62
138.444,65
139.853,63
140.489,60
141.707,57
142.780,61
143.509,44
144.584,44
145.561,35
146.482,41
147.460,45
148.581,33
149.410,42
150.336,45
151.603,30
152.384,13
153.310,0
154.482,0
155.501,11
156.284,12
157.455,0
158.380,0
159.259,10
160.522,0
161.553,29
162.277,34
163.447,46
164.327,51
165.205,62
166.375,39
167.351,37
168.180,40
169.544,35
170.323,34
171.156,51
172.491,59
173.250,44
174.126,38
175.409,41
176.223,50
177.194,47
178.364,50
179.344,41
180.132,18
181.298,12
182.218,18
183.096,16
184.318,18
185.339,18
186.076,15
187.333,9
188.312,0
189.048,20
190.213,45
191.234,59
192.021,57
193.236,19
194.113,0
194.990,0
196.257,0
197.102,0
197.967,0
199.182,0
200.062,0
200.938,16
202.157,20
203.047,21
203.960,21
205.130,22
206.268,25
206.989,0
208.198,0
208.982,0
209.908,0
211.077,0
212.004,10
212.881,14
214.052,7
215.026,23
215.855,48
217.075,47
217.951,51
218.829,48
220.048,25
220.925,12
221.901,0
223.021,0
223.996,25
224.778,24
225.997,26
226.874,24
228.057,20
229.020,0
229.848,13
230.772,17
231.988,29
232.830,31
233.746,32
235.306,27
235.795,26
236.723,23
237.889,16
238.966,22
239.694,12
240.869,14
241.791,0
242.767,0
243.889,0
244.865,9
245.941,10
246.866,17
247.840,23
248.621,26
249.840,0
250.816,0
251.740,28
253.154,0
253.954,0
254.621,0
255.941,27
256.670,57
257.597,66
258.967,65
259.694,65
260.764,67
261.889,67
262.962,69
263.548,68
264.719,68
265.646,68
266.618,65
267.747,70
268.700,64
269.691,27
270.872,13
271.597,16
272.526,0
273.695,0
274.588,25
275.451,0
277.081,0
277.707,0
278.568,0
279.727,0
280.672,0
281.544,25
282.621,0
283.548,10
284.521,27
285.694,6
286.524,6
287.447,20
288.574,27
289.598,0
290.407,0
291.596,0
292.620,0
293.450,0
294.715,0
295.503,16
296.331,18
297.845,20
298.434,17
299.304,16
300.568,0
301.401,44
302.299,0
303.839,13
304.668,40
305.370,0
306.473,29
307.354,40
308.279,40
309.497,41
310.377,31
311.307,11
312.716,0
313.404,29
314.282,32
315.448,0
316.329,0
317.204,0
318.533,25
319.303,22
320.179,36
321.691,47
322.294,40
323.155,42
324.425,46
325.395,46
326.179,42
327.351,48
328.373,62
329.297,64
330.419,58
331.277,48
332.130,52
333.303,54
334.277,51
335.105,45
336.324,51
337.251,57
338.080,65
339.300,51
340.238,49
341.072,44
342.329,31
343.247,28
344.075,31
345.251,44
346.127,47
347.005,47
348.224,51
349.104,56
350.032,51
351.343,55
352.078,55
353.050,69
354.372,74
355.101,71
356.068,69
357.491,71
358.081,74
359.052,72
360.271,73
361.149,72
361.955,74
363.195,71
364.075,69
364.954,68
366.124,67
367.099,70
367.930,70
369.104,57
370.001,44
370.973,34
372.076,30
372.956,28
373.878,22
375.147,13
375.949,16
376.952,0
378.224,29
378.905,32
379.830,30
381.260,41
381.979,34
382.806,35
383.977,38
384.901,34
385.900,41
387.238,28
387.924,54
388.799,61
390.178,58
390.853,59
391.759,62
392.948,76
393.826,80
394.739,69
395.923,70
396.802,69
397.729,62
398.993,61
399.825,65
400.655,61
401.970,63
402.797,65
403.681,65
404.847,60
405.800,59
406.652,57
407.967,48
408.750,56
409.678,56
410.799,63
411.727,39
412.602,41
414.065,43
414.796,37
415.626,39
416.803,45
417.723,60
418.924,57
419.774,50
420.821,54
421.621,58
422.747,53
423.640,45
424.551,49
425.723,32
426.599,24
427.717,21
428.742,20
429.626,26
430.566,0
431.911,40
432.597,57
433.480,57
434.645,57
435.621,56
436.547,50
437.861,36
438.566,26
439.430,24
440.885,28
441.578,32
442.404,25
443.686,0
444.496,0
445.421,22
446.785,32
447.517,32
448.397,36
449.571,34
450.445,40
451.426,32
452.599,43
453.574,47
454.396,46
455.520,52
456.444,42
457.322,41
