df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,heart_rate
43.086,109
44.304,109
45.137,109
46.207,109
47.278,110
48.107,109
49.094,109
50.208,109
51.132,109
52.016,109
53.189,109
54.103,109
54.981,109
56.210,109
57.081,111
58.003,109
59.173,109
60.050,109
60.938,109
62.152,109
63.024,109
63.908,109
65.169,114
66.017,117
66.875,114
68.094,114
68.971,114
69.899,113
71.071,113
71.946,113
72.871,112
74.090,111
74.920,111
75.869,111
77.015,111
77.941,112
78.819,111
79.991,111
80.915,110
81.822,109
83.013,109
83.986,109
84.771,109
85.990,109
86.960,109
87.828,109
88.958,109
89.836,108
90.868,108
91.981,108
93.007,108
93.736,108
94.931,108
95.783,108
96.802,102
97.928,101
98.763,102
99.688,102
100.855,101
101.730,102
102.657,102
103.827,102
104.754,102
105.974,102
106.805,103
107.731,103
108.647,104
109.829,105
110.720,104
111.578,105
112.796,104
113.966,104
114.559,104
115.785,104
116.943,104
117.525,104
118.744,105
119.621,104
120.596,104
121.720,107
122.649,108
123.532,110
125.084,110
125.569,111
126.517,111
127.665,111
128.689,111
129.469,111
130.702,111
131.565,111
132.470,111
133.613,110
134.655,110
135.416,109
136.636,109
137.512,109
138.395,108
139.617,108
140.486,108
141.365,108
142.585,108
143.465,108
144.343,108
145.556,108
146.436,109
147.315,110
148.531,109
149.407,111
150.333,109
151.504,109
152.381,109
153.307,109
154.477,109
155.456,109
156.280,109
157.450,109
158.377,109
159.254,109
160.447,109
161.548,107
162.229,108
163.416,107
164.324,107
165.202,106
166.371,106
167.322,106
168.175,106
169.349,106
170.280,106
171.149,104
172.472,103
173.245,103
174.123,103
175.393,103
176.219,104
177.098,104
178.336,103
179.339,104
180.122,103
181.289,103
182.171,103
183.092,103
184.299,103
185.200,103
186.066,103
187.258,103
188.308,103
189.044,103
190.210,102
191.136,103
192.013,103
193.232,102
194.110,102
194.987,102
196.210,102
197.086,102
197.961,102
199.179,102
200.057,102
200.935,102
202.153,102
203.044,100
203.957,101
205.127,100
206.252,95
206.954,98
208.100,97
208.978,97
209.904,96
211.074,96
212.000,96
212.878,96
214.048,96
214.976,100
215.852,101
217.070,103
217.948,103
218.825,104
220.044,103
220.922,103
221.810,103
223.018,103
223.993,103
224.773,103
225.991,103
226.869,103
227.748,103
229.014,103
229.843,103
230.769,103
231.975,103
232.816,103
233.742,104
235.302,103
235.790,103
236.716,103
237.886,103
238.961,103
239.690,103
240.862,103
241.788,103
242.764,103
243.886,103
244.764,103
245.937,103
246.861,103
247.837,100
248.617,101
249.837,100
250.813,100
251.677,100
252.821,100
253.938,100
254.618,100
255.935,103
256.666,103
257.594,104
258.816,105
259.691,105
260.669,105
261.744,105
262.721,105
263.545,105
264.716,105
265.642,106
266.524,106
267.740,107
268.646,107
269.517,106
270.863,106
271.593,106
272.523,106
273.691,106
274.583,106
275.447,106
277.078,106
277.704,106
278.534,106
279.694,106
280.669,106
281.447,99
282.618,103
283.544,101
284.423,102
285.691,101
286.485,101
287.398,101
288.568,101
289.593,101
290.402,101
291.593,101
292.489,101
293.446,101
294.666,101
295.468,101
296.324,101
297.668,94
298.422,98
299.300,64
300.520,54
301.397,65
302.276,33
304.377,54
305.325,42
306.470,39
307.351,48
308.275,52
309.494,54
310.372,51
311.251,51
312.443,51
313.353,51
314.277,52
315.445,51
316.323,51
317.200,51
318.529,51
319.298,51
320.176,51
321.398,51
322.276,51
323.151,51
324.422,51
325.269,51
326.175,51
327.346,51
328.370,77
329.172,89
330.339,96
331.266,87
332.126,96
333.296,97
334.272,100
335.101,100
336.320,100
337.247,100
338.076,99
339.295,99
340.234,99
341.052,99
342.284,99
343.154,99
344.032,99
345.246,101
346.124,101
347.002,102
348.221,102
349.099,103
350.026,103
351.208,103
352.074,103
353.006,103
354.226,102
355.060,102
356.032,102
357.158,103
358.075,103
359.001,103
360.123,103
361.054,103
361.930,103
363.099,104
364.034,104
364.950,104
366.121,105
367.096,105
367.925,106
369.097,105
369.982,105
370.970,105
372.071,105
372.950,105
373.875,105
375.143,105
375.946,105
376.852,105
378.075,107
378.899,107
379.825,107
381.249,106
381.923,106
382.800,107
383.971,108
384.897,107
385.895,108
386.951,107
387.878,108
388.755,108
390.170,107
390.847,106
391.753,104
392.945,102
393.823,101
394.709,100
395.920,99
396.798,99
397.726,99
398.916,99
399.821,99
400.650,99
401.873,100
402.763,100
403.677,101
404.844,102
405.775,103
406.649,103
407.830,102
408.746,103
409.674,103
410.794,103
411.722,102
412.599,102
413.778,104
414.701,102
415.622,104
416.793,104
417.720,105
418.904,106
419.768,107
420.816,107
421.572,108
422.743,108
423.629,107
424.547,108
425.717,107
426.595,107
427.528,107
428.698,107
429.622,107
430.555,107
431.675,108
432.594,108
433.474,108
434.642,108
435.618,108
436.497,108
437.640,108
438.544,108
439.421,108
440.651,108
441.563,108
442.399,108
443.664,108
444.493,108
445.374,108
446.640,109
447.480,109
448.349,110
449.565,110
450.443,110
451.379,109
452.586,110
453.515,109
454.393,110
455.515,109
456.441,109
457.319,109
458.538,109
