df_hash,22ZHK4.HTY8RN
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5VZS
person_label,V60
date_time_start,2025-10-31_15-42-49.106000_+03
date_time_start_unix,1761910969.106
date_time_end,2025-10-31_15-51-37.227000_+03
length_difference_noticed,no

time,quality
21.892,61
22.869,64
23.767,73
24.720,58
25.936,45
26.719,33
27.891,25
28.816,0
29.816,0
30.817,31
31.887,33
32.907,33
33.603,45
34.763,45
35.787,51
36.566,48
37.785,39
38.663,34
39.541,52
40.759,38
41.637,34
42.812,46
43.733,59
44.905,88
45.583,92
46.706,73
47.584,72
48.516,50
49.732,46
50.702,43
51.536,42
52.704,44
53.583,44
54.459,61
55.654,58
56.555,65
57.504,70
58.653,65
59.531,53
60.601,64
61.719,66
62.505,60
63.380,70
64.598,70
65.727,43
66.497,43
67.599,45
68.501,39
69.869,21
70.606,28
71.470,30
72.646,33
73.569,24
74.449,21
75.324,20
76.591,0
77.565,0
78.298,5
79.468,0
80.443,0
81.272,0
82.591,28
83.417,74
84.344,55
85.608,40
86.487,47
87.221,52
88.484,43
89.437,41
90.336,51
91.412,33
92.433,35
93.216,40
94.417,26
95.312,26
96.192,35
97.600,37
98.286,33
99.163,39
100.390,50
101.260,65
102.150,46
103.357,56
104.279,65
105.257,47
106.378,37
107.207,48
108.137,46
109.349,44
110.181,28
111.307,25
112.375,0
113.221,35
114.130,29
115.316,37
116.185,40
117.057,72
118.327,79
119.152,51
120.031,38
121.342,38
122.125,24
123.003,12
124.221,1
125.100,11
126.224,24
127.196,18
128.228,6
129.002,0
130.316,0
131.144,0
132.023,26
133.200,0
134.135,0
134.947,33
136.214,46
137.044,26
137.921,27
139.195,25
140.163,31
140.895,27
142.113,29
142.991,26
143.869,28
145.328,37
145.965,22
146.891,32
148.061,23
148.988,0
149.868,27
151.330,38
151.961,48
153.060,38
154.034,34
155.084,39
155.812,25
157.031,29
157.913,31
159.127,40
160.050,58
160.883,63
162.003,67
162.979,66
164.099,63
164.783,55
166.198,56
166.830,59
167.800,44
168.927,33
169.854,36
170.732,39
171.904,37
172.874,46
173.750,28
174.925,29
176.146,30
176.680,31
177.948,48
178.776,30
179.702,59
181.214,64
181.797,65
182.772,60
183.844,31
184.773,0
185.940,19
186.819,6
187.744,10
188.622,10
189.792,0
190.743,27
191.792,23
192.770,31
193.738,33
194.716,24
195.837,22
196.670,38
197.544,38
198.762,30
199.641,51
200.520,45
201.741,44
202.619,44
203.737,40
204.758,45
205.931,49
206.517,44
207.684,54
208.610,36
209.489,0
210.658,0
211.591,0
212.462,0
213.682,39
214.603,33
215.727,35
216.654,35
217.686,26
218.409,19
219.772,25
220.801,19
221.432,24
222.700,26
223.482,29
224.457,28
225.577,0
226.548,0
227.428,3
228.650,12
229.477,17
230.356,1
231.574,48
232.591,54
233.424,40
234.546,44
235.715,45
236.398,29
237.520,29
238.501,24
239.324,26
240.785,33
241.372,53
242.343,28
243.467,35
244.396,29
245.322,27
246.493,26
247.659,23
248.246,24
249.421,23
250.484,31
251.313,26
252.629,23
253.555,27
254.192,0
255.654,23
256.289,28
257.215,28
258.580,31
259.307,0
260.191,0
261.361,0
262.239,32
263.209,0
264.439,0
265.305,0
266.143,0
267.550,0
268.473,0
269.159,0
270.375,0
271.306,0
272.282,0
273.305,23
274.227,43
275.060,55
276.277,55
277.154,35
278.081,0
279.251,27
280.327,0
281.106,23
282.397,26
283.102,35
284.076,20
285.198,26
286.170,25
287.002,24
288.173,28
289.192,0
289.978,33
291.194,30
292.072,28
293.051,28
294.168,25
295.145,33
295.972,39
297.286,41
298.019,39
299.336,37
300.116,37
300.996,28
301.969,27
303.090,51
304.115,52
304.894,65
306.161,46
306.990,53
307.964,41
309.086,36
310.253,21
310.887,0
312.110,0
312.938,28
314.000,28
315.083,31
316.011,32
316.789,22
318.057,40
318.888,37
319.763,35
320.981,31
322.151,33
322.742,41
324.342,0
324.899,8
325.759,24
326.929,0
327.806,0
328.761,24
329.952,31
330.880,44
331.707,28
332.880,38
333.812,0
334.681,0
335.851,25
337.020,20
337.656,25
338.874,27
339.960,21
340.630,0
341.850,29
342.874,33
343.602,27
344.821,29
345.699,45
346.629,27
347.797,30
348.720,35
349.853,25
350.769,0
351.669,24
352.572,30
353.742,35
354.669,0
355.546,21
356.717,32
357.642,0
358.519,33
359.698,27
360.618,0
361.640,0
362.713,6
363.839,11
364.711,19
365.832,23
366.565,16
367.441,50
368.660,43
369.829,0
370.418,0
371.682,29
372.511,0
373.439,19
374.851,23
375.485,26
376.655,33
377.582,25
378.486,30
379.580,0
380.555,0
381.486,0
382.371,0
383.534,0
384.457,24
385.334,9
386.792,0
387.479,35
388.355,0
389.526,28
390.404,34
391.566,43
392.499,28
393.423,23
394.254,18
395.473,27
396.350,26
397.277,31
398.495,29
399.324,30
400.299,33
401.664,28
402.396,28
403.255,0
404.395,0
405.367,0
406.342,0
407.370,0
408.297,0
409.172,30
410.345,30
411.271,31
412.146,31
413.413,44
414.242,28
415.119,0
416.777,0
417.219,0
418.125,0
419.507,0
420.284,35
421.123,39
422.287,40
423.163,32
424.136,23
425.262,36
426.284,26
427.063,0
428.274,31
429.160,36
430.037,3
431.219,0
432.135,30
433.109,0
434.235,38
435.108,44
435.985,32
