df_hash,22ZHK4.HTY8RN
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5VZS
person_label,V60
date_time_start,2025-10-31_15-42-49.106000_+03
date_time_start_unix,1761910969.106
date_time_end,2025-10-31_15-51-37.227000_+03
length_difference_noticed,no

time,ppg_quality
57.758,76
59.778,80
61.798,76
63.818,72
64.828,65
65.838,57
67.858,55
68.858,54
70.878,69
72.898,59
73.908,50
74.918,45
76.938,37
77.948,30
79.968,12
80.978,5
81.988,8
82.998,20
84.008,35
86.028,32
87.038,24
89.058,23
90.068,20
92.088,8
93.098,6
95.118,23
97.138,55
99.158,71
101.168,86
103.188,89
104.198,82
106.218,80
107.228,74
108.238,60
110.258,77
111.268,85
112.278,83
113.288,81
114.298,76
115.308,74
116.318,71
119.348,76
120.358,57
121.368,48
123.388,20
125.408,20
127.428,9
128.438,15
130.458,26
132.478,38
134.488,61
135.498,58
136.508,42
137.518,56
138.528,60
140.548,43
142.568,40
143.578,47
144.588,44
145.598,47
147.618,37
149.638,11
150.648,25
152.668,42
153.678,37
155.698,29
156.708,42
158.728,70
160.748,73
162.768,65
164.788,71
166.808,66
167.818,67
169.838,69
170.848,73
171.858,80
173.878,74
175.898,70
177.918,58
179.938,46
180.948,46
182.968,33
184.988,39
185.998,47
187.008,51
189.028,42
191.048,30
193.068,32
194.078,34
196.098,28
198.118,34
200.138,58
202.158,58
204.178,64
206.198,46
207.208,37
209.228,18
210.238,5
211.248,9
213.268,36
215.288,55
216.298,71
217.308,77
219.328,104
220.338,117
222.358,98
224.378,50
226.398,34
228.418,29
230.438,25
231.448,28
232.458,33
233.468,48
235.488,44
237.508,30
239.528,25
240.538,23
242.558,17
243.568,16
245.588,13
246.598,6
255.688,14
257.708,45
259.728,41
261.748,28
263.768,47
264.778,54
265.788,50
267.808,41
269.828,59
270.838,72
272.858,67
274.878,66
275.888,73
276.898,79
277.908,73
278.918,58
279.928,48
280.938,39
282.958,24
283.968,1
299.118,11
301.138,40
302.148,41
303.158,45
304.168,44
306.188,30
307.198,25
309.218,21
310.228,18
311.238,13
312.248,21
313.258,26
314.268,43
316.288,50
318.308,43
320.328,37
321.338,38
323.358,39
324.368,32
325.378,21
327.398,17
329.418,40
331.438,51
332.448,47
333.458,44
334.468,45
336.488,61
337.498,65
338.508,68
340.528,38
341.538,26
342.548,28
343.558,19
344.568,12
348.608,7
349.618,19
351.638,41
353.658,32
355.678,49
357.698,52
358.708,38
359.718,28
362.748,65
364.768,69
365.778,71
366.788,81
368.808,74
369.818,70
370.828,44
373.858,37
374.868,44
375.878,39
377.898,26
378.908,29
379.918,40
381.938,44
383.958,49
384.968,52
386.988,68
389.008,75
391.028,79
392.038,84
394.058,66
395.068,52
397.088,34
398.098,32
400.118,14
402.138,15
404.158,35
405.168,44
406.178,54
408.198,66
410.218,91
411.228,94
413.248,89
414.258,86
415.268,86
417.288,94
419.308,107
421.328,110
423.348,108
424.358,113
426.378,107
428.398,93
430.418,78
432.438,69
433.448,73
435.468,62
437.488,59
439.508,42
441.528,53
443.548,46
445.568,47
446.578,38
448.598,41
450.618,33
452.638,23
453.648,11
455.668,7
456.678,14
457.688,24
458.698,22
460.718,10
461.728,8
463.748,26
465.768,42
466.778,34
467.788,31
469.808,28
470.818,31
472.838,38
473.848,29
474.858,22
476.878,17
478.898,25
480.918,22
482.938,21
483.948,27
484.958,32
485.968,41
486.978,48
487.988,55
490.008,58
492.028,62
494.048,50
496.068,35
498.088,34
501.118,43
503.138,54
505.158,68
506.168,65
509.198,44
510.208,48
512.228,33
513.238,26
519.298,1
