df_hash,22ZHK4.HTY8RN
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5VZS
person_label,V60
date_time_start,2025-10-31_15-42-49.106000_+03
date_time_start_unix,1761910969.106
date_time_end,2025-10-31_15-51-37.227000_+03
length_difference_noticed,no

time,battery
6.241,14
16.288,14
26.228,14
36.260,14
46.216,14
56.210,14
66.205,14
76.310,14
86.217,14
96.272,14
106.230,14
116.223,14
126.229,14
136.310,14
146.206,14
156.297,14
166.202,14
176.241,14
186.230,14
196.273,14
206.218,14
216.216,14
226.206,14
236.298,14
246.292,14
256.196,14
266.182,14
276.201,14
286.222,14
296.213,14
306.207,14
316.299,14
326.195,14
336.189,14
346.182,13
356.177,13
366.171,13
376.165,13
386.207,13
396.201,13
406.195,13
416.189,13
426.296,13
436.180,13
446.171,13
456.169,13
466.203,13
476.202,13
486.196,13
496.191,13
506.183,13
516.177,13
