df_hash,22ZHK4.HTY8RN
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5VZS
person_label,V60
date_time_start,2025-10-31_15-42-49.106000_+03
date_time_start_unix,1761910969.106
date_time_end,2025-10-31_15-51-37.227000_+03
length_difference_noticed,no

time,rr_int
9.117,4050
11.067,285
11.212,2070
11.217,20
11.261,15
11.266,10
11.385,15
11.408,130
11.411,20
11.656,20
11.898,280
12.724,10
13.991,1060
14.040,1235
14.044,10
14.089,10
14.092,10
14.095,10
14.140,15
14.284,15
14.674,310
14.677,405
14.723,20
14.726,15
14.820,10
14.823,15
14.869,15
14.871,10
14.875,10
15.115,10
16.234,15
16.237,1370
16.283,10
16.286,10
16.478,20
16.481,205
16.526,15
16.531,115
16.624,10
16.627,10
16.966,295
17.063,10
17.066,165
17.163,15
17.166,10
17.745,35
17.748,700
17.891,15
17.894,10
18.720,10
18.723,835
19.696,10
20.670,990
20.817,960
21.499,180
21.503,765
21.645,15
22.084,15
22.182,550
22.474,10
22.477,280
22.481,10
23.351,20
23.400,830
23.451,10
23.477,110
23.486,25
23.495,15
23.547,15
23.550,10
23.599,10
23.611,15
23.618,15
23.666,15
23.669,20
23.673,40
24.034,45
24.768,460
24.771,605
24.863,10
25.009,370
25.940,905
26.082,15
26.086,170
26.131,20
26.231,10
26.375,20
26.667,410
27.644,780
28.620,260
28.623,970
28.627,10
28.714,10
28.763,140
28.767,15
28.861,15
28.873,95
29.007,15
29.011,10
29.015,15
29.446,145
30.421,340
30.518,1085
30.521,10
30.616,20
30.619,55
30.664,15
30.668,15
30.675,10
30.957,15
31.249,400
31.259,245
31.933,10
31.938,650
32.079,10
32.912,160
33.053,780
33.397,165
33.543,330
33.882,10
34.028,605
34.032,10
34.565,10
34.711,635
34.857,160
35.296,65
35.469,515
35.473,15
35.491,10
35.494,20
35.588,65
35.592,15
36.030,175
36.037,10
36.271,520
36.275,20
36.279,10
36.283,15
36.368,150
36.372,20
36.417,15
36.421,15
36.424,20
36.661,235
36.664,10
36.668,60
36.954,190
36.958,15
36.961,15
37.002,25
37.005,20
37.102,10
37.343,125
37.346,10
37.636,550
37.978,10
38.076,175
38.465,220
38.611,455
39.440,15
39.443,910
40.415,15
40.419,925
40.562,10
40.658,95
40.662,20
40.710,30
41.490,10
41.493,835
42.365,10
42.368,1005
43.343,10
43.635,1010
44.364,10
44.471,975
44.608,10
44.611,155
44.614,15
44.659,10
45.290,10
45.436,735
45.587,155
46.118,90
46.947,620
46.996,770
46.999,15
47.630,65
47.776,605
47.779,140
47.825,85
47.971,15
47.978,10
48.216,25
48.245,30
48.313,300
48.897,10
48.902,690
49.044,15
49.906,145
50.217,745
50.222,10
50.567,10
50.606,745
50.710,10
50.850,195
50.857,20
51.582,15
51.587,730
51.677,10
52.505,195
52.510,750
53.090,15
53.095,635
53.236,15
53.242,10
53.285,10
53.290,20
53.480,25
54.507,250
54.517,1045
55.430,10
56.405,960
56.408,995
57.234,10
57.238,835
57.380,10
58.063,145
58.068,670
58.211,15
58.258,65
58.263,25
58.268,15
58.274,25
58.306,25
58.431,15
58.453,10
58.989,15
58.996,570
59.136,15
59.769,230
59.779,690
59.918,10
60.842,10
60.845,985
60.849,15
61.723,15
61.768,875
61.771,10
62.696,15
63.669,925
63.767,1060
63.770,20
63.916,15
63.919,10
64.205,15
64.211,430
65.083,15
65.087,795
65.152,15
65.157,20
65.188,75
65.229,10
65.232,10
65.236,15
65.240,15
65.326,15
65.330,15
65.361,10
65.426,150
65.429,10
65.477,20
65.720,45
65.912,20
65.915,450
66.158,10
67.130,10
67.172,960
67.813,305
67.816,690
67.960,10
67.963,10
67.966,15
68.057,90
68.063,10
68.079,10
68.206,10
68.211,10
68.986,15
69.373,830
69.981,525
70.055,520
70.887,225
71.177,500
71.865,580
71.911,635
71.924,10
72.104,15
72.152,340
72.157,10
73.267,1065
73.271,10
73.371,15
73.419,55
73.425,20
73.471,10
73.479,10
73.809,15
73.813,465
74.202,10
74.784,10
74.789,935
74.932,15
74.938,10
74.979,20
74.984,35
74.991,20
74.996,20
75.177,15
75.469,25
75.760,510
76.004,330
76.150,320
77.271,1150
77.274,10
77.321,10
77.329,15
77.342,15
77.514,10
77.610,15
77.761,285
78.539,10
79.367,920
79.370,900
80.537,10
81.467,1005
81.612,995
82.442,10
82.495,890
82.499,155
82.596,10
82.833,75
82.836,15
83.268,10
83.950,730
84.925,665
84.928,975
84.976,15
84.979,10
85.615,10
85.753,655
85.802,160
85.808,10
85.921,45
86.096,20
86.600,10
86.780,755
86.875,225
86.880,15
87.704,755
87.850,210
87.854,10
88.873,650
88.877,355
88.971,10
88.975,100
89.264,10
90.141,350
90.211,855
90.239,20
90.244,20
90.247,15
90.250,10
90.287,15
90.775,20
91.604,590
91.608,770
91.948,10
92.462,10
92.920,825
92.924,395
92.969,15
92.972,10
92.975,10
93.020,15
93.069,15
93.073,20
93.077,20
93.554,25
94.579,615
95.608,940
95.652,1025
96.338,10
97.161,775
97.167,820
97.259,10
97.262,20
97.266,40
97.308,20
97.313,100
97.356,10
97.360,10
97.408,10
97.416,15
97.605,30
97.608,40
97.893,20
97.896,430
97.942,10
97.945,10
97.950,15
98.019,40
98.022,20
98.039,15
98.042,15
98.087,10
98.090,10
