df_hash,22ZHK4.HTY8RN
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5VZS
person_label,V60
date_time_start,2025-10-31_15-42-49.106000_+03
date_time_start_unix,1761910969.106
date_time_end,2025-10-31_15-51-37.227000_+03
length_difference_noticed,no

time,temperature
5.314,30.297
6.338,30.312
7.313,30.312
8.385,30.297
9.311,30.344
10.335,30.375
11.382,30.375
12.334,30.422
13.309,30.438
14.333,30.438
15.308,30.438
16.332,30.438
17.307,30.453
18.331,30.469
19.552,30.469
20.372,30.453
21.304,30.516
22.377,30.516
23.404,30.531
24.327,30.547
25.351,30.562
26.326,30.594
27.309,30.641
28.522,30.656
29.377,30.656
30.372,30.703
31.409,30.703
32.323,30.719
33.394,30.734
34.321,30.766
35.345,30.812
36.340,30.859
37.350,30.859
38.319,30.938
39.391,30.984
40.318,30.984
41.341,31.016
42.316,31.047
43.340,31.047
44.461,31.094
45.339,31.062
46.314,31.109
47.386,31.125
48.318,31.125
49.457,31.125
50.312,31.156
51.335,31.156
52.310,31.156
53.362,31.203
54.309,31.203
55.333,31.234
56.308,31.219
57.332,31.219
58.312,31.188
59.379,31.203
60.451,31.172
61.353,31.203
62.353,31.234
63.328,31.234
64.380,31.234
65.473,31.203
66.302,31.234
67.329,31.250
68.301,31.281
69.326,31.266
70.546,31.328
71.409,31.328
72.440,31.344
73.322,31.328
74.417,31.312
75.370,31.328
76.491,31.312
77.517,31.312
78.395,31.344
79.319,31.359
80.391,31.344
81.463,31.344
82.490,31.328
83.316,31.344
84.349,31.375
85.315,31.406
86.338,31.453
87.314,31.453
88.338,31.609
89.312,31.641
90.342,31.656
91.312,31.703
92.447,31.734
93.314,31.750
94.334,31.766
95.601,31.766
96.333,31.766
97.502,31.750
98.332,31.641
99.307,31.641
100.331,31.641
101.354,31.656
102.329,31.672
103.304,31.703
104.349,31.688
105.352,31.688
106.327,31.734
107.302,31.781
108.326,31.766
109.355,31.797
110.328,31.812
111.313,31.812
112.470,31.797
113.414,31.719
114.419,31.766
115.323,31.797
116.352,31.750
117.348,31.734
118.332,31.766
119.299,31.766
120.318,31.734
121.366,31.719
122.317,31.734
123.487,31.781
124.317,31.797
125.391,31.797
126.415,31.766
127.339,31.797
128.314,31.781
129.584,31.766
130.334,31.797
131.336,31.797
132.311,31.797
133.337,31.781
134.316,31.781
135.337,31.906
136.318,31.953
137.332,31.953
138.308,31.938
139.331,31.984
140.455,31.984
141.330,32.031
142.306,32.031
143.329,32.031
144.310,32.062
145.337,31.953
146.328,31.953
147.327,32.000
148.302,32.031
149.372,32.031
150.301,32.031
151.587,32.000
152.300,32.031
153.324,32.031
154.302,32.031
155.322,32.031
156.302,32.031
157.567,32.031
158.299,32.031
159.352,32.031
160.298,32.031
161.318,32.094
162.342,32.062
163.317,32.125
164.292,32.094
165.316,32.094
166.291,32.094
167.315,32.094
168.290,32.062
169.314,32.094
170.289,32.125
171.313,32.094
172.336,32.062
173.557,32.062
174.287,32.062
175.310,32.094
176.334,32.125
177.309,32.125
178.481,32.125
179.308,32.125
180.331,32.125
181.404,32.156
182.330,32.219
183.305,32.219
184.329,32.188
185.551,32.188
186.328,32.125
187.303,32.125
188.327,32.156
189.336,32.125
190.374,32.188
191.301,32.156
192.324,32.188
193.303,32.219
194.326,32.219
195.298,32.219
196.322,32.281
197.297,32.281
198.320,32.312
199.296,32.344
200.320,32.312
201.443,32.312
202.318,32.312
203.293,32.375
204.345,32.375
205.584,32.375
206.510,32.375
207.340,32.375
208.315,32.344
209.340,32.375
210.368,32.344
211.388,32.344
212.312,32.375
213.287,32.375
214.323,32.375
215.434,32.312
216.310,32.344
217.382,32.344
218.309,32.375
219.339,32.406
220.308,32.469
221.283,32.469
222.397,32.469
223.281,32.438
224.305,32.469
225.354,32.531
226.498,32.531
227.328,32.531
228.303,32.562
229.327,32.562
230.302,32.500
231.325,32.500
232.300,32.469
233.329,32.500
234.299,32.469
235.322,32.531
236.301,32.531
237.370,32.562
238.297,32.531
239.417,32.500
240.299,32.531
241.351,32.562
242.368,32.531
243.320,32.531
244.342,32.531
245.327,32.531
246.297,32.500
247.315,32.469
248.339,32.500
249.337,32.500
250.310,32.531
251.319,32.500
252.288,32.531
253.312,32.531
254.385,32.531
255.311,32.500
256.334,32.531
257.310,32.562
258.382,32.531
259.312,32.562
260.283,32.531
261.307,32.531
262.282,32.562
263.306,32.562
264.333,32.531
265.312,32.594
266.329,32.562
267.303,32.562
268.480,32.562
269.302,32.531
270.326,32.562
271.349,32.562
272.376,32.531
273.349,32.531
274.324,32.531
275.299,32.500
276.323,32.469
277.298,32.469
278.321,32.500
279.318,32.438
280.332,32.469
281.295,32.469
282.663,32.562
283.294,32.562
284.318,32.562
285.293,32.562
286.317,32.625
287.391,32.594
288.315,32.594
289.313,32.625
290.314,32.625
291.386,32.625
292.316,32.594
293.303,32.625
294.360,32.625
295.292,32.656
296.311,32.656
297.291,32.656
298.309,32.656
299.628,32.688
300.308,32.719
301.339,32.719
302.307,32.719
303.282,32.688
304.357,32.719
305.367,32.719
306.305,32.688
307.696,32.719
308.303,32.719
309.282,32.688
310.373,32.688
311.326,32.625
312.301,32.562
313.302,32.594
314.343,32.594
315.323,32.625
316.416,32.625
317.374,32.625
318.297,32.594
