df_hash,22ZHK4.HTY8RN
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5VZS
person_label,V60
date_time_start,2025-10-31_15-42-49.106000_+03
date_time_start_unix,1761910969.106
date_time_end,2025-10-31_15-51-37.227000_+03
length_difference_noticed,no

time,acc_mag
4.678,0.999
4.708,1.001
4.738,1.006
4.768,1.002
4.798,1.000
4.828,1.004
4.858,0.997
4.888,1.005
4.918,1.008
4.948,1.006
4.978,0.999
5.008,1.001
5.038,1.005
5.068,0.999
5.098,1.004
5.128,1.003
5.158,0.996
5.188,1.000
5.218,1.006
5.248,1.002
5.278,1.001
5.308,1.000
5.338,1.002
5.368,1.001
5.398,0.999
5.428,1.005
5.458,1.000
5.488,0.997
5.518,1.005
5.548,1.001
5.578,0.998
5.608,0.995
5.638,1.004
5.668,0.998
5.698,1.002
5.728,1.003
5.758,1.002
5.788,1.001
5.818,0.998
5.848,1.000
5.878,1.008
5.908,1.010
5.938,0.998
5.968,0.998
5.998,1.005
6.028,1.003
6.058,1.007
6.088,1.005
6.118,0.998
6.148,0.999
6.178,1.007
6.208,1.005
6.238,0.995
6.268,1.000
6.298,1.005
6.328,1.006
6.358,0.999
6.388,1.003
6.418,1.001
6.448,1.001
6.478,1.002
6.508,1.005
6.538,1.003
6.568,1.000
6.598,1.001
6.628,0.998
6.658,1.001
6.688,1.002
6.718,1.001
6.748,1.000
6.778,0.998
6.808,1.001
6.838,1.003
6.868,1.011
6.898,1.006
6.928,0.992
6.958,1.001
6.988,1.001
7.018,1.004
7.048,1.007
7.078,1.000
7.108,0.999
7.138,1.004
7.168,1.000
7.198,0.993
7.228,0.998
7.258,1.003
7.288,1.005
7.318,1.006
7.348,1.001
7.378,1.002
7.408,1.002
7.438,1.003
7.468,1.001
7.498,1.005
7.528,1.006
7.558,1.002
7.588,1.002
7.618,1.005
7.648,1.002
7.678,1.001
7.708,0.999
7.738,0.999
7.768,1.015
7.798,1.005
7.828,1.000
7.858,1.003
7.888,1.003
7.918,1.005
7.948,1.003
7.978,1.004
8.008,1.000
8.038,0.996
8.068,1.007
8.098,0.996
8.128,1.005
8.158,0.999
8.188,1.006
8.218,1.009
8.248,1.001
8.278,1.006
8.308,1.011
8.338,1.003
8.368,1.001
8.398,1.008
8.428,1.006
8.458,1.000
8.488,0.997
8.518,1.003
8.548,1.002
8.578,1.003
8.608,1.001
8.638,1.002
8.668,1.008
8.698,1.007
8.728,1.010
8.758,1.004
8.788,1.002
8.818,1.005
8.848,1.002
8.878,1.007
8.908,1.000
8.938,1.005
8.968,1.000
8.998,1.002
9.028,1.007
9.058,1.001
9.088,1.000
9.118,1.004
9.148,1.006
9.178,1.006
9.208,1.002
9.238,1.005
9.268,1.000
9.298,1.006
9.328,1.002
9.358,1.001
9.388,1.007
9.418,1.005
9.448,1.000
9.478,1.002
9.508,1.001
9.538,1.004
9.568,1.009
9.598,1.001
9.628,1.005
9.658,1.008
9.688,1.005
9.718,1.002
9.748,1.006
9.778,1.005
9.808,0.999
9.838,1.004
9.868,1.002
9.898,1.000
9.928,1.001
9.958,1.001
9.988,1.006
10.018,1.003
10.048,1.007
10.078,1.002
10.108,1.005
10.138,1.001
10.168,1.006
10.198,0.999
10.228,1.000
10.258,0.998
10.288,1.001
10.318,1.002
10.348,1.003
10.378,1.009
10.408,1.000
10.438,1.000
10.468,1.005
10.498,1.007
10.528,1.006
10.558,1.003
10.588,1.008
10.618,1.002
10.648,1.005
10.678,1.006
10.708,0.999
10.738,1.003
10.768,1.005
10.798,1.007
10.828,1.002
10.858,1.001
10.888,1.003
10.918,1.001
10.948,1.001
10.978,1.002
11.008,1.006
11.038,1.003
11.068,1.004
11.098,1.000
11.128,1.000
11.158,1.001
11.188,1.008
11.218,1.008
11.248,0.999
11.278,0.997
11.308,1.005
11.338,1.001
11.368,1.003
11.398,1.006
11.428,1.001
11.458,0.997
11.488,1.005
11.518,1.006
11.548,1.001
11.578,1.002
11.608,1.003
11.638,1.004
11.668,1.006
11.698,1.004
11.728,1.002
11.758,1.002
11.788,1.005
11.818,0.999
11.848,1.006
11.878,1.002
11.908,1.003
11.938,1.007
11.968,1.001
11.998,1.004
12.028,1.006
12.058,1.005
12.088,1.001
12.118,1.008
12.148,1.004
12.178,0.997
12.208,1.001
12.238,1.005
12.268,1.002
12.298,1.007
12.328,1.008
12.358,0.996
12.388,1.008
12.418,1.004
12.448,0.996
12.478,1.002
12.508,1.003
12.538,1.007
12.568,1.004
12.598,1.002
12.628,1.002
12.658,1.004
12.688,1.002
12.718,1.005
12.748,1.003
12.778,1.001
12.808,1.004
12.838,1.002
12.868,1.000
12.898,1.005
12.928,1.001
12.958,0.994
12.988,1.010
13.018,1.009
13.048,0.999
13.078,0.996
13.108,0.999
13.138,1.002
13.168,1.005
13.198,1.006
13.228,1.000
13.258,0.999
13.288,1.001
13.318,1.008
13.348,1.000
13.378,0.997
13.408,1.006
13.438,1.002
13.468,1.007
13.498,1.007
13.528,1.002
13.558,1.004
13.588,1.004
13.618,1.003
13.648,1.003
13.678,1.000
13.708,0.998
13.738,1.006
13.768,1.005
13.798,1.002
13.828,1.000
13.858,1.000
13.888,1.007
13.918,1.005
13.948,1.011
13.978,1.000
14.008,0.996
14.038,1.003
